Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
4,"Cain, Lexus",Jr,DS,5-5,108,0,108,31.0,,0,0,5,0.0,68.0,12.0,12.0,564.0,32.0,,,,12.0,2.0,
14,"Walker, Justice",Sr,MB,6-1,107,0,107,31.0,31.0,219,47,533,0.32299999999999995,4.0,,,22.0,,13.0,129.0,6.0,296.5,2.0,
1,"Redmond, Peyton",So,OH,6-0,107,0,107,31.0,27.0,168,98,683,0.102,15.0,25.0,22.0,301.0,18.0,1.0,30.0,2.0,209.0,,
9,"Daron, Danae",Fr,MB,6-0,106,0,106,31.0,31.0,171,58,410,0.276,5.0,21.0,13.0,76.0,,13.0,102.0,12.0,256.0,,
3,"McIntyre, Abby",Jr,OH,5-10,102,0,102,31.0,27.0,254,91,709,0.23,4.0,,,61.0,2.0,1.0,63.0,1.0,286.5,2.0,
2,"Coleman, Haley",So,OH,5-9,99,0,99,30.0,14.0,110,53,476,0.12,23.0,27.0,26.0,316.0,13.0,,17.0,5.0,145.5,,
12,"Hollas, Ann",Fr,S,5-11,94,0,94,29.0,21.0,47,24,165,0.139,784.0,19.0,5.0,209.0,,4.0,49.0,1.0,94.5,21.0,
20,"Evans, Corin",Fr,OH,5-10,81,0,81,26.0,15.0,29,20,155,0.057999999999999996,13.0,18.0,17.0,212.0,10.0,,2.0,,48.0,,
23,"Payne, KK",Fr,OH,5-11,68,0,68,23.0,5.0,149,46,501,0.20600000000000002,4.0,3.0,2.0,44.0,8.0,,26.0,3.0,165.0,1.0,
5,"Hanna, Makenzee",So,OH,6-0,65,0,65,22.0,5.0,97,61,389,0.09300000000000001,3.0,,,31.0,3.0,5.0,48.0,7.0,126.0,1.0,
7,"Connell, Shannon",Sr,S,5-8,34,0,34,10.0,10.0,7,2,21,0.23800000000000002,170.0,3.0,11.0,60.0,,,1.0,,10.5,2.0,
15,"Rodriguez, Sam",So,DS,5-3,23,0,23,12.0,,0,0,0,,6.0,1.0,1.0,30.0,4.0,,,,1.0,,
10,"Brewer, Mckenzie",So,S,5-10,20,0,20,7.0,,4,1,11,0.273,79.0,2.0,3.0,13.0,,,2.0,3.0,7.0,2.0,
13,"Williams, Xariah",Fr,OH,5-10,7,0,7,4.0,,9,6,37,0.081,1.0,,,5.0,,,2.0,,10.0,,
18,"Eagleton, Shayla",,,5-10,6,0,6,4.0,,6,2,14,0.28600000000000003,,2.0,1.0,,,,2.0,,9.0,,
-,TEAM,-,-,-,-,-,23,15.0,,0,0,0,,,,,,22.0,,,,,,
-,Totals,-,-,-,-,-,108,,,1270,509,4109,0.185,1179.0,133.0,113.0,1944.0,112.0,37.0,473.0,40.0,1676.5,33.0,
-,Opponent Totals,-,-,-,-,-,108,,,1446,698,4445,5.1579999999999995,1351.0,112.0,226.0,2080.0,132.0,37.0,315.0,42.0,1752.5,48.0,
