Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
16,"Thomas, Rachel",,,6-2,103,0,103,29.0,27.0,219,118,672,0.15,1.0,,7.0,50.0,,6.0,42.0,7.0,246.0,,
24,"Wade, Kennedy",Sr,L/DS,5-6,103,0,103,29.0,,2,3,33,-0.03,35.0,20.0,28.0,460.0,18.0,,,,22.0,,
3,"Morrett, Allison",Jr,L/DS,5-7,102,0,102,29.0,20.0,2,0,23,0.087,47.0,27.0,37.0,266.0,15.0,,,,29.0,,
6,"Povey, Alyssa",Sr,MB,6-3,101,0,101,29.0,28.0,181,99,489,0.168,3.0,7.0,16.0,60.0,2.0,14.0,59.0,13.0,231.5,2.0,
7,"Anderson, Sharon",Sr,S,5-9,98,0,98,29.0,28.0,32,22,157,0.064,856.0,15.0,8.0,289.0,1.0,1.0,20.0,5.0,58.0,11.0,
10,"Brugere, Kirsten",So,DS,5-5,96,0,96,28.0,,3,1,10,0.2,17.0,12.0,26.0,249.0,16.0,,,,15.0,2.0,
17,"Little, Shealene",So,OH,5-11,83,0,83,29.0,24.0,207,108,735,0.135,8.0,11.0,4.0,182.0,27.0,2.0,5.0,,222.5,,
22,"Johnson, K'Vonna",Jr,MB,5-11,70,0,70,26.0,4.0,148,108,599,0.067,2.0,,1.0,41.0,3.0,2.0,10.0,2.0,155.0,,
1,"James, Shaneice",So,MB,6-0,61,0,61,18.0,17.0,114,36,252,0.31,2.0,,,12.0,,8.0,21.0,8.0,132.5,,
5,"Lemon, Sydney",So,MB,6-3,47,0,47,20.0,11.0,29,23,119,0.05,1.0,,1.0,9.0,1.0,3.0,16.0,3.0,40.0,,
18,"Williams, Kellie",Jr,OH,6-0,45,0,45,17.0,2.0,98,46,391,0.133,,,,24.0,2.0,1.0,11.0,3.0,104.5,,
20,"Duncan, Abigail",,,5-10,32,0,32,16.0,4.0,63,39,232,0.10300000000000001,6.0,2.0,4.0,38.0,10.0,1.0,6.0,2.0,69.0,1.0,
8,"Brooks, Emily",,,5-11,31,0,31,17.0,5.0,39,39,186,0.0,4.0,1.0,9.0,41.0,9.0,,3.0,2.0,41.5,,
21,"Jeziorowski, Susie",So,S,5-9,30,0,30,13.0,4.0,18,13,77,0.065,105.0,,4.0,29.0,,,7.0,,21.5,12.0,
12,"Oliver, Jessica",So,DS,5-7,21,0,21,13.0,,0,0,2,0.0,1.0,,2.0,17.0,,,,,,,
2,"Bossong, Liz",,,5-9,19,0,19,11.0,,0,1,2,-0.5,2.0,1.0,4.0,21.0,5.0,,,,1.0,,
23,"Kingree, Lexi",,,6-2,1,0,1,1.0,,0,0,0,,,,,,,,,,,,
-,TEAM,-,-,-,-,-,9,7.0,,0,0,0,,,,,,5.0,,,,,,
-,Totals,-,-,-,-,-,103,,,1155,656,3979,0.125,1090.0,96.0,151.0,1788.0,114.0,38.0,200.0,45.0,1389.0,28.0,
-,Opponent Totals,-,-,-,-,-,103,,,1399,505,3869,7.185,1307.0,114.0,166.0,1807.0,96.0,53.0,426.0,44.0,1779.0,40.0,
