Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
2,"Witt, Brittany",Fr,L/DS,5-8,128,0,128,36.0,,2,5,10,-0.3,109.0,29.0,69.0,524.0,27.0,,,,31.0,2.0,
1,"Dimke, Lydia",Jr,S,6-3,128,0,128,36.0,36.0,146,45,337,0.3,1454.0,18.0,50.0,342.0,1.0,5.0,62.0,12.0,200.0,25.0,
9,"Wilkinson, Marysa",Jr,RS,6-0,128,0,128,36.0,35.0,321,80,715,0.337,4.0,,1.0,40.0,,14.0,96.0,17.0,383.0,2.0,
16,"Smith, Lauren",Sr,MB,6-4,128,0,128,36.0,36.0,280,76,592,0.345,9.0,11.0,13.0,64.0,,19.0,99.0,11.0,359.5,1.0,
5,"Winters, Jaali",So,OH,6-3,124,0,124,36.0,36.0,448,173,1243,0.221,48.0,36.0,37.0,360.0,50.0,1.0,31.0,3.0,500.5,2.0,
10,"Crawford, Kenzie",Jr,S,5-9,123,0,123,36.0,17.0,0,2,6,-0.33299999999999996,16.0,3.0,3.0,227.0,3.0,,,,3.0,1.0,
12,"Kloth, Taryn",So,OH,6-4,122,0,122,36.0,17.0,390,127,948,0.27699999999999997,10.0,16.0,16.0,103.0,,15.0,48.0,8.0,445.0,,
19,"Ballenger, Megan",Fr,MB,6-1,109,0,109,34.0,29.0,175,58,420,0.27899999999999997,27.0,39.0,40.0,149.0,16.0,5.0,70.0,16.0,254.0,1.0,
8,"Bohnet, Samantha",So,DS,5-6,97,0,97,32.0,2.0,0,0,1,0.0,29.0,9.0,14.0,147.0,8.0,,,,9.0,1.0,
7,"Foje, Amanda",Sr,DS,5-5,91,0,91,34.0,1.0,0,0,0,,2.0,10.0,15.0,20.0,,,,,10.0,,
13,"Bird, Jess",Sr,OH,5-11,53,0,53,24.0,6.0,87,39,270,0.17800000000000002,13.0,2.0,8.0,57.0,11.0,,15.0,3.0,96.5,,
14,"Lawrence, Brittany",So,MB,6-4,21,0,21,13.0,1.0,15,4,37,0.297,,1.0,3.0,4.0,,1.0,3.0,1.0,18.5,,
4,"Conlon, Mac",Fr,DS,5-3,20,0,20,14.0,,0,0,0,,1.0,,3.0,8.0,,,,,,,
3,"O'Connell, Kelsey",So,MB,6-2,10,0,10,8.0,,4,6,15,-0.133,,,,1.0,,,,2.0,4.0,,
-,TEAM,-,-,-,-,-,14,13.0,,0,0,0,,,,1.0,,13.0,,,,,,
-,Totals,-,-,-,-,-,128,,,1868,615,4594,0.273,1722.0,174.0,273.0,2046.0,129.0,60.0,424.0,73.0,2314.0,35.0,
-,Opponent Totals,-,-,-,-,-,128,,,1466,667,4500,6.321000000000001,1375.0,129.0,237.0,1810.0,174.0,47.0,365.0,67.0,1824.5,34.0,
