Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
2,"Krivoniak, April",Sr,OPP,5-10,115,0,115,30.0,28.0,193,90,612,0.168,13.0,30.0,41.0,338.0,10.0,5.0,41.0,5.0,248.5,1.0,
10,"Yurkovich, Allie",So,L/DS,5-7,115,0,115,30.0,,2,1,9,0.111,57.0,10.0,39.0,372.0,23.0,,,,12.0,,
7,"Fisher, Arden",Sr,OH,5-11,112,0,112,29.0,29.0,356,160,1152,0.17,39.0,31.0,20.0,598.0,15.0,7.0,48.0,11.0,418.0,,
12,"Frakes, Brianna",Jr,S,5-10,108,0,108,30.0,27.0,44,12,151,0.212,910.0,13.0,19.0,207.0,,3.0,19.0,3.0,69.5,60.0,
6,"Schmid, Brianna",So,MB,6-1,107,0,107,29.0,28.0,174,53,510,0.237,4.0,26.0,31.0,41.0,1.0,15.0,82.0,19.0,256.0,1.0,
14,"Lord, Taylor",So,OH,5-9,100,0,100,26.0,23.0,235,123,761,0.147,24.0,41.0,27.0,356.0,25.0,4.0,38.0,5.0,299.0,1.0,
8,"Dunivan, Leah",Sr,MB,6-1,88,0,88,24.0,22.0,194,63,528,0.248,5.0,,1.0,11.0,,14.0,79.0,10.0,247.5,1.0,
1,"Tamlin, Deja",Jr,OH,5-9,56,0,56,20.0,9.0,64,45,233,0.08199999999999999,,,2.0,34.0,6.0,2.0,25.0,4.0,78.5,,
3,"Harlow, Kendra",Fr,MB,6-1,46,0,46,17.0,11.0,66,33,182,0.18100000000000002,2.0,2.0,7.0,9.0,1.0,3.0,26.0,2.0,84.0,,
4,"Campbell, Liz",So,S,6-0,38,0,38,10.0,3.0,12,4,52,0.154,198.0,2.0,1.0,29.0,,,17.0,3.0,22.5,18.0,
9,"Renfrew, Schaely",Jr,L/DS,5-8,13,0,13,4.0,,0,0,0,,,1.0,4.0,11.0,2.0,,,,1.0,,
11,"Brennan, Holly",So,OPP,5-11,6,0,6,5.0,,0,0,2,0.0,1.0,1.0,2.0,,,,,,1.0,,
-,TEAM,-,-,-,-,-,20,15.0,,0,0,0,,,,,,18.0,,,,,,
-,Totals,-,-,-,-,-,115,,,1340,584,4192,0.18,1253.0,157.0,194.0,2006.0,101.0,53.0,375.0,62.0,1737.5,82.0,
-,Opponent Totals,-,-,-,-,-,115,,,1465,711,4510,5.142,1352.0,101.0,214.0,1958.0,157.0,53.0,304.0,69.0,1771.0,60.0,
