Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
17,"Zielinski, Lauren",Sr,DS,6-4,113,0,113,31.0,31.0,182,58,461,0.26899999999999996,10.0,,,28.0,,7.0,84.0,10.0,231.0,1.0,
5,"Radtke, Jenna",Sr,MB,6-2,113,0,113,31.0,31.0,304,63,620,0.389,48.0,37.0,21.0,90.0,,13.0,115.0,15.0,411.5,,
20,"Kelly, Mary Grace",Sr,OH,6-0,113,0,113,31.0,31.0,350,91,971,0.267,6.0,36.0,60.0,205.0,39.0,16.0,58.0,11.0,431.0,3.0,
7,"Brereton, Anna",Jr,DS,5-5,112,0,112,31.0,,3,2,16,0.062,34.0,34.0,26.0,451.0,26.0,,,,37.0,,
6,"Kinley, Chandler",Jr,S,5-8,112,0,112,31.0,30.0,4,1,10,0.3,660.0,22.0,12.0,252.0,,,,,26.0,7.0,
8,"Krage, Taylor",Jr,OH,6-1,110,0,110,31.0,30.0,202,97,650,0.162,8.0,21.0,20.0,234.0,32.0,5.0,39.0,3.0,247.5,,
15,"Boever, Samantha",Fr,S,5-7,110,0,110,31.0,1.0,2,1,4,0.25,504.0,13.0,24.0,133.0,,,,1.0,15.0,7.0,
18,"Wolowicz, Meg",So,MB,6-4,110,0,110,31.0,31.0,205,64,456,0.309,29.0,,3.0,21.0,3.0,16.0,103.0,13.0,272.5,2.0,
3,"Horwath, Brianna",Sr,RS,6-1,103,0,103,30.0,1.0,150,73,380,0.203,4.0,,,24.0,1.0,11.0,38.0,11.0,180.0,,
2,"Danker, Sydney",So,DS,5-7,58,0,58,28.0,,1,1,3,0.0,4.0,2.0,1.0,41.0,7.0,,,,3.0,,
9,"Dacanay, Paige",Sr,DS,5-3,56,0,56,25.0,,0,0,2,0.0,1.0,,,47.0,3.0,,,,,,
1,"Gabel, Malia",Sr,DS,5-6,36,0,36,20.0,,0,0,0,,1.0,1.0,,18.0,5.0,,,,1.0,,
11,"Milbrath, Brinley",Fr,MB,6-2,20,0,20,10.0,,13,10,36,0.083,,,,4.0,,1.0,8.0,3.0,18.0,,
14,"Martin, Autumn",So,OH,5-9,16,0,16,10.0,,4,4,17,0.0,,,,7.0,1.0,,,,4.0,,
10,"McAlpin, Chrystal",So,OH,5-11,14,0,14,8.0,,7,6,25,0.04,,,,1.0,,,7.0,1.0,10.5,,
-,TEAM,-,-,-,-,-,19,16.0,,0,0,0,,,,,,19.0,,,,,,
-,Totals,-,-,-,-,-,113,,,1427,471,3651,0.262,1309.0,166.0,167.0,1556.0,136.0,69.0,452.0,68.0,1888.0,20.0,
-,Opponent Totals,-,-,-,-,-,113,,,1403,699,3923,5.539,1323.0,136.0,211.0,1547.0,166.0,68.0,277.0,64.0,1745.5,23.0,
