Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
14,"Vaughn, Madison",Sr,MH,6-3,108,0,108,28.0,28.0,262,81,603,0.3,10.0,13.0,37.0,45.0,,17.0,84.0,10.0,334.0,1.0,
9,"Guthrie, Cara",So,OH,5-10,108,0,108,28.0,28.0,339,170,1032,0.16399999999999998,18.0,38.0,48.0,306.0,48.0,,30.0,6.0,392.0,1.0,
7,"Loveday, Julia",Fr,MB,5-11,108,0,108,28.0,28.0,135,46,354,0.251,6.0,1.0,3.0,24.0,,5.0,51.0,16.0,166.5,,
6,"Kennedy, Carter",Fr,S,5-7,105,0,105,28.0,20.0,31,6,76,0.32899999999999996,516.0,19.0,24.0,161.0,,2.0,,1.0,52.0,12.0,
1,"Hackett, Kailey",Fr,DS,5-10,104,0,104,28.0,7.0,54,27,188,0.14400000000000002,543.0,9.0,9.0,70.0,,3.0,34.0,7.0,83.0,13.0,
15,"Erickson, Shelby",Sr,OH,6-1,103,0,103,27.0,26.0,259,99,775,0.20600000000000002,11.0,18.0,24.0,232.0,21.0,6.0,36.0,7.0,301.0,1.0,
16,"Zyburt, Madisen",So,L/DS,5-8,94,0,94,24.0,,3,4,18,-0.055999999999999994,79.0,13.0,13.0,369.0,33.0,,,,16.0,3.0,
12,"Salisbury, Sheridan",Fr,L/DS,5-9,93,0,93,27.0,,3,2,9,0.111,13.0,20.0,23.0,148.0,20.0,,,,23.0,1.0,
5,"Rooks, Ansley",Fr,OPP,5-9,89,0,89,23.0,21.0,188,89,517,0.191,7.0,13.0,19.0,156.0,7.0,3.0,22.0,6.0,215.0,2.0,
10,"Tatum, Tearra",Fr,OH,5-10,52,0,52,23.0,8.0,36,36,157,0.0,1.0,,1.0,23.0,7.0,,11.0,5.0,41.5,,
13,"McMurrer, Lauren",Fr,DS,5-9,33,0,33,15.0,1.0,4,4,18,0.0,1.0,1.0,3.0,8.0,,,2.0,1.0,6.0,,
4,"Cunningham, Fiona",Jr,S,5-8,12,0,12,7.0,1.0,0,1,1,-1.0,1.0,,3.0,6.0,,,,,,,
3,"Gundling, Ashley",Fr,DS,5-4,11,0,11,9.0,,0,0,0,,,,2.0,3.0,,,,,,,
-,TEAM,-,-,-,-,-,65,20.0,,0,0,0,,,,,,16.0,,,,,,
-,Totals,-,-,-,-,-,108,,,1314,565,3748,0.2,1206.0,145.0,209.0,1551.0,152.0,36.0,270.0,59.0,1630.0,34.0,
-,Opponent Totals,-,-,-,-,-,108,,,1337,589,3727,0.201,1236.0,153.0,158.0,1619.0,146.0,46.0,337.0,59.0,1704.5,48.0,
