Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
15,"Coleman, Brooke",Sr,S,5-8,112,0,112,30.0,8.0,5,3,18,0.111,38.0,22.0,27.0,356.0,20.0,,,,27.0,,
14,"Kosiorek, Jaime",Jr,OH,6-0,112,0,112,30.0,27.0,360,126,1100,0.213,2.0,31.0,62.0,151.0,12.0,6.0,32.0,1.0,413.0,1.0,
8,"Lake, Ali",Jr,MB,6-1,109,0,109,29.0,21.0,293,95,628,0.315,4.0,,1.0,45.0,1.0,6.0,44.0,3.0,321.0,1.0,
9,"Walker, Erica",So,L,5-6,103,0,103,29.0,1.0,2,0,3,0.667,20.0,25.0,39.0,375.0,31.0,,,,27.0,,
6,"Salis, Mallory",Sr,L,5-8,102,0,102,27.0,24.0,363,149,1104,0.19399999999999998,19.0,25.0,22.0,286.0,15.0,6.0,26.0,1.0,407.0,1.0,
2,"Nelson, Katie",So,MB,6-4,102,0,102,27.0,27.0,201,66,460,0.293,2.0,12.0,15.0,39.0,,17.0,74.0,3.0,267.0,1.0,
1,"Olman, Stephanie",So,S,6-0,97,0,97,27.0,24.0,37,17,114,0.175,1065.0,13.0,35.0,159.0,,5.0,42.0,2.0,76.0,14.0,
7,"Howe, Meredith",Fr,L,5-4,88,0,88,25.0,3.0,2,2,4,0.0,11.0,6.0,12.0,143.0,23.0,,,,8.0,,
4,"Januszewski, Sara",Fr,MB,6-2,58,0,58,19.0,16.0,64,31,162,0.204,4.0,10.0,21.0,13.0,,7.0,28.0,2.0,95.0,,
11,"Miller, Simone",So,OH,6-0,50,0,50,16.0,12.0,57,23,138,0.24600000000000002,1.0,,,7.0,,10.0,39.0,4.0,86.5,1.0,
13,"Burke, Katelyn",Fr,S,5-9,34,0,34,15.0,6.0,5,4,34,0.028999999999999998,219.0,2.0,8.0,59.0,,1.0,9.0,,12.5,6.0,
16,"Bloch, Kat",So,L,5-9,27,0,27,14.0,,0,0,0,,,1.0,9.0,6.0,,,,,1.0,,
3,"Stephens, Lizzie",Fr,OH,6-0,26,0,26,13.0,6.0,67,38,221,0.131,2.0,3.0,14.0,44.0,3.0,,1.0,,70.5,,
12,"Burchesky, Natalie",Fr,MB,6-4,17,0,17,8.0,2.0,5,1,18,0.222,,,,2.0,,2.0,9.0,,11.5,,
10,"Remmers, Carley",So,OH,6-0,16,0,16,9.0,3.0,10,12,44,-0.045,,2.0,2.0,1.0,,1.0,6.0,,16.0,,
5,"Vaughn, Allyson",Fr,OH,5-11,9,0,9,4.0,,0,0,0,,,1.0,4.0,,,,,,1.0,,
-,TEAM,-,-,-,-,-,18,12.0,,0,0,0,,,,,,15.0,,,,,,
-,Totals,-,-,-,-,-,112,,,1471,567,4048,0.223,1387.0,153.0,271.0,1686.0,120.0,61.0,310.0,16.0,1840.0,25.0,
-,Opponent Totals,-,-,-,-,-,112,,,1436,567,3896,6.772,1353.0,120.0,184.0,1774.0,153.0,57.0,349.0,25.0,1787.5,43.0,
