Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
8,"Tsujimoto, Luna",Jr,DS,5-6,118,0,118,31.0,,2,0,6,0.33299999999999996,62.0,24.0,32.0,447.0,40.0,,,,26.0,3.0,
17,"Kekauoha, Harlee",So,OPP,6-0,118,0,118,31.0,31.0,300,121,825,0.217,142.0,51.0,48.0,266.0,35.0,5.0,58.0,8.0,385.0,6.0,3.0
20,"Geiger, Danielle",Jr,MB,6-0,118,0,118,31.0,31.0,228,99,499,0.259,7.0,5.0,28.0,35.0,,7.0,84.0,8.0,282.0,,
14,"Dennis, Victoria",Sr,OH,6-3,114,0,114,31.0,31.0,405,147,1081,0.239,8.0,18.0,26.0,99.0,16.0,10.0,31.0,1.0,448.5,,
6,"DeSales, Haley",So,OH,6-0,109,0,109,30.0,30.0,178,94,541,0.155,25.0,22.0,40.0,260.0,22.0,5.0,17.0,1.0,213.5,3.0,
11,"Anderson, Shelley",Sr,S,5-10,101,0,101,30.0,22.0,67,18,169,0.29,937.0,23.0,21.0,196.0,,6.0,37.0,5.0,114.5,10.0,
10,"Davis, Arden",Sr,L,5-9,99,0,99,31.0,1.0,2,1,6,0.16699999999999998,20.0,,8.0,169.0,15.0,,,,2.0,,
13,"Akpakpa, Idara",So,MB,6-0,95,0,95,28.0,26.0,124,47,268,0.287,4.0,,,19.0,1.0,9.0,58.0,11.0,162.0,1.0,
16,"Carter, Loryn",,OH,6-3,88,0,88,25.0,,176,66,490,0.22399999999999998,4.0,,4.0,39.0,2.0,7.0,37.0,3.0,201.5,,
4,"Montgomery, Brianna",Jr,OH,5-11,60,0,60,24.0,,7,6,19,0.053,,10.0,14.0,18.0,3.0,,1.0,,17.5,,
5,"Wolfe, Makayla",Fr,MB,6-3,48,0,48,21.0,5.0,37,10,103,0.262,1.0,5.0,7.0,8.0,,4.0,38.0,1.0,65.0,,
7,"Koumelis, Ali",Jr,S,5-9,32,0,32,10.0,9.0,9,1,15,0.5329999999999999,235.0,9.0,7.0,102.0,,,1.0,2.0,18.5,,
3,"Alonso, Erin",Fr,DS,5-4,18,0,18,10.0,,0,0,1,0.0,2.0,,1.0,15.0,7.0,,,,,,
2,"Luszczak, Nicole",Fr,OPP,6-2,10,0,10,7.0,,5,3,19,0.105,,,1.0,4.0,,1.0,1.0,1.0,6.5,,
9,"Kolte, Merin",Fr,OPP,6-0,3,0,3,2.0,,0,0,0,,,,,1.0,,,1.0,,0.5,,
1,"Green, Kylie",So,OH,6-0,3,0,3,3.0,,0,0,1,0.0,,,,,,,,,,,
19,"Blair, Emily",Jr,S,5-11,1,0,1,1.0,,0,0,1,0.0,,,,,,,,,,,
12,"Ferguson, Danika",,MB,6-2,1,0,1,1.0,,0,0,0,,,,,,,,,,,,
-,TEAM,-,-,-,-,-,10,8.0,,0,0,0,,,,1.0,,7.0,,,,,,
-,Totals,-,-,-,-,-,118,,,1540,613,4044,0.22899999999999998,1447.0,167.0,238.0,1678.0,148.0,54.0,364.0,41.0,1943.0,23.0,
-,Opponent Totals,-,-,-,-,-,118,,,1543,578,4078,7.537999999999999,1446.0,148.0,222.0,1651.0,168.0,58.0,391.0,68.0,1944.5,24.0,
