Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
13,"Manzi, Jet",Sr,OH,5-8,93,0,93,26.0,21.0,139,91,497,0.09699999999999999,9.0,26.0,37.0,187.0,26.0,2.0,10.0,2.0,172.0,2.0,
1,"Kidder, Katie",Jr,DS,5-9,91,0,91,26.0,6.0,3,4,28,-0.036000000000000004,56.0,21.0,32.0,314.0,37.0,,,,24.0,1.0,
8,"Musso, Sonia",,,6-0,81,0,81,25.0,19.0,100,77,415,0.055,9.0,25.0,42.0,188.0,27.0,3.0,13.0,4.0,134.5,1.0,
18,"Walsh, Elizabeth",Jr,OH,6-1,79,0,79,22.0,12.0,192,89,604,0.171,1.0,1.0,2.0,38.0,11.0,1.0,21.0,7.0,204.5,,
15,"Flynn, Kelly",Sr,MB,5-11,78,0,78,26.0,22.0,62,44,221,0.081,4.0,4.0,7.0,14.0,3.0,8.0,35.0,3.0,91.5,1.0,
19,"Smith, Tori",Jr,RS,6-0,74,0,74,23.0,19.0,120,69,422,0.121,49.0,17.0,14.0,131.0,19.0,1.0,22.0,6.0,149.0,5.0,
4,"Stevens, Katherine",Sr,RS,6-0,71,0,71,24.0,11.0,92,61,322,0.096,1.0,4.0,7.0,26.0,,4.0,26.0,4.0,113.0,,
10,"Ruggiero, Katrina",,,5-10,66,0,66,22.0,1.0,24,15,76,0.11800000000000001,9.0,10.0,19.0,153.0,29.0,,3.0,,35.5,1.0,
9,"Balus, Maria",So,S,5-8,65,0,65,20.0,13.0,14,2,62,0.19399999999999998,379.0,13.0,17.0,146.0,1.0,,7.0,3.0,30.5,8.0,
5,"Howard, Julia",,,5-9,59,0,59,21.0,13.0,9,8,51,0.02,314.0,11.0,20.0,98.0,1.0,,2.0,1.0,21.0,8.0,
11,"Rethmeyer, Katie",So,MB,6-2,59,0,59,21.0,7.0,79,23,213,0.263,6.0,2.0,8.0,21.0,,3.0,27.0,2.0,97.5,1.0,
4,"Kutschke, Carly",,,6-3,56,0,56,20.0,12.0,53,54,211,-0.005,3.0,8.0,15.0,19.0,1.0,6.0,25.0,3.0,79.5,,
20,"Shannon, Maggie",,,6-3,14,0,14,9.0,,9,12,49,-0.061,,1.0,1.0,1.0,,,3.0,3.0,11.5,,
3,"Luhnow, Christian",,,5-11,9,0,9,8.0,,6,5,20,0.05,1.0,,,4.0,1.0,,,1.0,6.0,,
-,TEAM,-,-,-,-,-,37,22.0,,0,0,0,,,,,,37.0,,,,,,
-,Totals,-,-,-,-,-,95,,,902,554,3191,0.109,841.0,143.0,221.0,1340.0,193.0,28.0,194.0,39.0,1170.0,28.0,
-,Opponent Totals,-,-,-,-,-,95,,,1183,478,3191,6.103,1080.0,192.0,209.0,1549.0,143.0,46.0,251.0,48.0,1546.5,27.0,
