Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
16,"Leavell, Micah",Fr,MB,6-0,79,0,79,23.0,23.0,228,86,490,0.29,10.0,12.0,30.0,106.0,23.0,8.0,27.0,4.0,261.5,2.0,
10,"Washington, Lena",So,RS,5-11,79,0,79,23.0,22.0,153,112,491,0.084,19.0,17.0,20.0,149.0,39.0,3.0,39.0,9.0,192.5,,
6,"Lilly, Brianna",Sr,S,5-8,79,0,79,23.0,23.0,27,18,93,0.09699999999999999,711.0,14.0,18.0,103.0,,1.0,21.0,12.0,52.5,28.0,
1,"Richardson, Reeana",So,OH,5-10,79,0,79,23.0,22.0,225,128,606,0.16,8.0,15.0,43.0,133.0,37.0,1.0,15.0,3.0,248.5,3.0,
14,"Humes, Summer",Jr,DS,5-7,75,0,75,23.0,5.0,1,2,18,-0.055999999999999994,28.0,19.0,56.0,174.0,43.0,,,,20.0,2.0,
7,"Nicholas, Kyndall",So,MB,5-10,68,0,68,20.0,20.0,92,44,232,0.207,2.0,1.0,9.0,11.0,1.0,7.0,46.0,10.0,123.0,,
13,"Richardson, Ravyn",Jr,OH,6-0,61,0,61,22.0,10.0,81,49,214,0.15,1.0,11.0,23.0,28.0,3.0,5.0,25.0,9.0,109.5,1.0,
8,"Beard, Mallory",Jr,DS,5-6,58,0,58,21.0,2.0,0,1,2,-0.5,9.0,4.0,4.0,45.0,18.0,,,,4.0,,
11,"Dunlap, Ashlyn",Fr,OH,5-9,38,0,38,15.0,1.0,26,16,74,0.135,,7.0,4.0,21.0,2.0,,2.0,1.0,34.0,,
4,"Dixon, Kelci",Fr,MB,6-1,21,0,21,9.0,4.0,5,10,24,-0.20800000000000002,,1.0,2.0,2.0,,1.0,13.0,,13.5,,
2,"Kenney, Kennedy",Jr,MB,6-1,20,0,20,8.0,6.0,7,5,19,0.105,,,1.0,1.0,1.0,1.0,7.0,,11.5,,
5,"Napoleon, Erin",So,MB,5-9,9,0,9,7.0,,0,0,1,0.0,1.0,,4.0,4.0,4.0,,,,,,
-,TEAM,-,-,-,-,-,35,16.0,,0,0,0,,,,,,10.0,,,,,,
-,Totals,-,-,-,-,-,79,,,845,471,2264,0.165,789.0,101.0,214.0,777.0,181.0,27.0,195.0,48.0,1070.5,36.0,
-,Opponent Totals,-,-,-,-,-,79,,,907,374,2214,5.818,822.0,181.0,181.0,773.0,101.0,30.0,210.0,34.0,1223.0,24.0,
