Date,TeamA,TeamB,Result,S,Team A Kills,Team A Errors,Team A Total Attacks,Team A Hit Pct,Team A Assists,Team A Aces,Team A SErr,Team A Digs,Team A RErr,Team A Block Solos,Team A Block Assists,Team A BErr,Team A PTS,Team B Kills,Team B Errors,Team B Total Attacks,Team B Hit Pct,Team B Assists,Team B Aces,Team B SErr,Team B Digs,Team B RErr,Team B Block Solos,Team B Block Assists,Team B BErr,Team B PTS
8252017,USC Upstate,Col. of Charleston,0,3.0,23,21,130,0.015,21,0,4,60,3,1,6,0,27.0,45,15,127,0.236,45,3,1,78,0,3,18,1,60.0
8262017,USC Upstate,Denver,0,4.0,41,24,152,0.112,39,5,3,60,5,3,2,0,50.0,62,19,149,0.289,58,5,9,81,5,1,22,2,79.0
8262017,USC Upstate,Tennessee St.,0,5.0,53,25,218,0.128,51,11,5,106,9,3,12,4,73.0,66,27,211,0.185,56,9,8,111,11,4,16,4,87.0
9012017,USC Upstate,Wofford,0,3.0,31,16,114,0.132,26,3,2,47,5,0,8,0,38.0,52,17,122,0.287,50,5,8,59,3,1,12,1,64.0
9012017,USC Upstate,Gardner-Webb,1,5.0,56,23,149,0.221,51,5,7,64,4,2,12,1,69.0,63,31,170,0.188,60,4,11,56,5,3,10,3,75.0
9022017,USC Upstate,N.C. Central,1,3.0,46,24,125,0.17600000000000002,42,3,3,63,2,2,8,0,55.0,28,20,117,0.068,27,2,5,50,3,2,10,1,37.0
9062017,USC Upstate,Charlotte,0,3.0,40,24,122,0.131,38,1,2,51,9,0,8,1,45.0,40,11,105,0.276,37,9,3,51,1,3,22,4,63.0
9082017,USC Upstate,UMES,0,4.0,51,25,158,0.165,50,2,4,79,10,0,10,0,58.0,57,20,162,0.228,53,10,8,71,2,3,16,0,78.0
9092017,USC Upstate,William & Mary,1,5.0,49,18,155,0.2,47,6,5,58,6,1,16,0,64.0,69,32,166,0.223,67,6,9,76,6,1,4,3,78.0
9092017,USC Upstate,Wake Forest,0,5.0,47,26,196,0.107,41,5,9,78,8,2,16,1,62.0,63,35,189,0.14800000000000002,62,8,15,102,5,5,16,4,84.0
9152017,USC Upstate,Furman,0,3.0,20,14,89,0.067,18,3,8,33,7,1,4,1,26.0,43,18,105,0.238,40,7,6,50,3,0,2,0,51.0
9162017,USC Upstate,Marshall,0,3.0,30,15,98,0.153,29,3,8,39,5,0,6,1,36.0,47,14,107,0.308,43,5,10,45,3,1,14,1,60.0
9162017,USC Upstate,Tennessee,0,4.0,43,17,140,0.18600000000000005,41,3,6,62,6,1,2,0,48.0,67,15,156,0.333,62,6,8,66,3,1,14,1,81.0
9232017,USC Upstate,NJIT,1,5.0,44,19,147,0.17,40,7,7,51,10,5,10,1,61.0,68,29,158,0.247,65,10,13,68,7,3,8,1,85.0
9292017,USC Upstate,Jacksonville,0,5.0,65,33,199,0.161,56,4,7,94,5,3,6,6,75.0,58,26,186,0.172,52,5,2,87,4,2,20,2,75.0
