Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
3,"León, Valeria",Sr,DS,5-6,132,0,132,35.0,,0,1,2,-0.5,144.0,19.0,29.0,529.0,40.0,,,,19.0,1.0,
10,"Sandbothe, Taylor",Sr,MB,6-2,132,0,132,35.0,35.0,506,170,1066,0.315,28.0,34.0,45.0,108.0,1.0,20.0,124.0,16.0,622.0,1.0,
5,"Schirmer, Luisa",Jr,OH,6-1,132,0,132,35.0,35.0,364,177,941,0.19899999999999998,26.0,31.0,60.0,319.0,25.0,8.0,38.0,4.0,422.0,2.0,
6,"Hughes, Taylor",So,S,6-1,132,0,132,35.0,35.0,227,66,491,0.32799999999999996,1263.0,42.0,83.0,241.0,1.0,10.0,71.0,14.0,314.5,14.0,2.0
9,"Appold, Audra",So,OH,6-1,118,0,118,31.0,31.0,349,159,951,0.2,20.0,9.0,19.0,288.0,30.0,16.0,20.0,3.0,384.0,1.0,
12,"Fesl, Abby",Sr,S,5-11,118,0,118,33.0,3.0,1,0,1,1.0,226.0,8.0,12.0,68.0,,,,,9.0,2.0,
4,"Smeathers, Madison",Fr,MB,6-3,115,0,115,31.0,30.0,171,56,382,0.301,6.0,,2.0,26.0,1.0,8.0,56.0,6.0,207.0,,
7,"Wenz, Ashley",Jr,OH,6-3,103,0,103,30.0,20.0,141,67,331,0.22399999999999998,5.0,,,35.0,2.0,3.0,50.0,12.0,169.0,,
15,"Goree, Kalisha",Jr,DS,5-4,61,0,61,23.0,,0,0,3,0.0,8.0,8.0,9.0,99.0,5.0,,,,8.0,1.0,
14,"Halm, Camry",Fr,DS,5-2,60,0,60,25.0,1.0,0,0,0,,6.0,8.0,19.0,99.0,10.0,,,,8.0,1.0,
11,"Bailey, Brooke",Fr,OH,6-2,59,0,59,27.0,7.0,47,24,135,0.17,3.0,,,20.0,1.0,,14.0,3.0,54.0,,
1,"Randall, Kylie",Sr,OH,6-2,54,0,54,22.0,10.0,44,19,112,0.223,,,2.0,8.0,,3.0,20.0,1.0,57.0,,
17,"Franklin, Bia",Fr,OPP,5-11,42,0,42,22.0,3.0,3,5,22,-0.091,1.0,5.0,9.0,23.0,3.0,,,,8.0,,
8,"Turk, Alexa",Fr,DS,5-11,13,0,13,11.0,,0,0,0,,,1.0,4.0,1.0,,,,,1.0,,
2,"Adams, Jenna",Fr,DS,5-10,9,0,9,6.0,,0,0,0,,,,3.0,,,,,,,,
-,TEAM,-,-,-,-,-,21,17.0,,0,0,0,,,,1.0,,18.0,,,,,,
-,Totals,-,-,-,-,-,132,,,1853,744,4437,0.25,1736.0,165.0,297.0,1864.0,137.0,68.0,393.0,59.0,2282.5,23.0,
-,Opponent Totals,-,-,-,-,-,132,,,1497,658,4244,6.585,1413.0,137.0,249.0,1589.0,165.0,53.0,464.0,60.0,1919.0,23.0,
