Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
17,"Fitzgerald, Allison",Jr,L/DS,5-10,110,0,110,31.0,12.0,0,0,3,0.0,16.0,21.0,26.0,342.0,19.0,,,1.0,21.0,,
99,"Pedersen-Henry, Amanda",So,MB,6-0,109,0,109,31.0,31.0,279,97,657,0.27699999999999997,13.0,14.0,24.0,99.0,2.0,12.0,76.0,4.0,343.0,3.0,
20,"Lough, Regan",Fr,L,5-6,107,0,107,30.0,,3,0,12,0.25,83.0,25.0,25.0,443.0,25.0,,,,28.0,1.0,
4,"Decker, Emma",Fr,S,6-3,106,0,106,30.0,30.0,72,17,170,0.324,1163.0,23.0,54.0,209.0,,6.0,43.0,3.0,122.5,4.0,
6,"Crutchfield, Claire",Sr,OH,6-1,105,0,105,31.0,21.0,329,130,837,0.23800000000000002,4.0,,,29.0,,6.0,27.0,4.0,348.5,1.0,
28,"Loitz, Allie",Jr,OH,6-3,97,0,97,28.0,28.0,347,135,895,0.237,18.0,36.0,56.0,249.0,30.0,6.0,47.0,4.0,412.5,1.0,
68,"Wolf, Darcy",So,OH,6-0,77,0,77,25.0,6.0,183,78,568,0.185,4.0,4.0,7.0,46.0,3.0,5.0,15.0,1.0,199.5,,
8,"Olsonoski, Allison",Fr,MB,6-1,73,0,73,24.0,18.0,90,26,242,0.264,4.0,1.0,8.0,32.0,1.0,3.0,50.0,8.0,119.0,,
98,"Northrup, Makenzie",Sr,L/DS,5-5,70,0,70,24.0,9.0,2,1,12,0.083,14.0,12.0,17.0,127.0,28.0,,,,14.0,,
11,"Knight, Ashley",So,S,5-8,67,0,67,25.0,1.0,1,4,7,-0.429,75.0,15.0,29.0,30.0,,,,,16.0,1.0,
9,"Berendt, Michaela",Sr,MB,6-4,60,0,60,22.0,16.0,101,25,234,0.325,3.0,,1.0,11.0,,3.0,35.0,6.0,121.5,,
2,"Fairchild, Remy",Fr,OH,6-0,52,0,52,21.0,14.0,101,46,320,0.172,8.0,3.0,1.0,81.0,8.0,1.0,19.0,1.0,114.5,,
3,"Greenberg, Jackie",Sr,DS,5-11,26,0,26,12.0,,0,0,4,0.0,5.0,2.0,4.0,27.0,4.0,,,,2.0,,
19,"Davine, Emily",So,OH,6-0,2,0,2,2.0,,1,0,2,0.5,,,,,,,,,1.0,,
22,"Mathews, Michelle",So,DS,5-5,1,0,1,1.0,,0,0,0,,,,,,,,,,,,
-,TEAM,-,-,-,-,-,18,15.0,,0,0,0,,,,,,20.0,,,,,,
-,Totals,-,-,-,-,-,110,,,1509,559,3963,0.24,1410.0,156.0,252.0,1725.0,140.0,42.0,312.0,32.0,1863.0,11.0,
-,Opponent Totals,-,-,-,-,-,110,,,1399,553,3941,6.568,1318.0,140.0,222.0,1623.0,156.0,36.0,393.0,61.0,1771.5,30.0,
