Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
3,"Irvin, Meg",,,-,104,0,104,29.0,,7,1,23,0.261,68.0,17.0,13.0,380.0,32.0,,,,24.0,4.0,
1,"Lux, Jacqueline",Jr,L,5-8,104,0,104,29.0,29.0,38,19,142,0.134,912.0,17.0,22.0,222.0,,,16.0,7.0,63.0,54.0,
4,"Coughlin, Regan",,,-,101,0,101,28.0,27.0,246,147,797,0.124,28.0,16.0,22.0,254.0,39.0,2.0,28.0,,278.0,2.0,
13,"Mason, Bailey",,,-,93,0,93,29.0,21.0,148,95,519,0.102,2.0,22.0,24.0,90.0,22.0,1.0,20.0,6.0,181.0,1.0,
9,"Garner, Steph",,,-,89,0,89,27.0,,4,5,19,-0.053,11.0,7.0,25.0,121.0,16.0,,,,11.0,,
15,"Gallagher, Delaney",So,MB,6-2,88,0,88,26.0,24.0,140,62,422,0.185,13.0,24.0,45.0,38.0,,14.0,53.0,14.0,204.5,,
2,"Sullivan, Sloan",,,-,87,0,87,28.0,5.0,0,3,11,-0.273,8.0,4.0,19.0,99.0,15.0,,2.0,,5.0,1.0,
32,"Covington, Lavondria",So,MB,5-11,83,0,83,25.0,22.0,141,66,320,0.23399999999999999,2.0,,,12.0,1.0,5.0,42.0,12.0,167.0,,
5,"Peonia, Dora",,,-,77,0,77,24.0,21.0,145,77,390,0.174,5.0,7.0,20.0,49.0,3.0,2.0,32.0,9.0,170.0,,
22,"Huddleston, Aubrie",,,-,73,0,73,27.0,12.0,150,82,438,0.155,2.0,13.0,26.0,36.0,5.0,2.0,15.0,2.0,172.5,,
11,"York, Makila",So,OH,6-1,71,0,71,25.0,12.0,128,81,364,0.129,1.0,4.0,13.0,29.0,,1.0,25.0,7.0,145.5,1.0,
12,"Sirmones, Sabrie",So,OH,6-1,30,0,30,19.0,1.0,10,21,61,-0.18,1.0,4.0,1.0,18.0,8.0,1.0,2.0,,16.0,1.0,
6,"Jager, Breanna",,,5-10,16,0,16,12.0,,0,1,1,-1.0,18.0,2.0,6.0,10.0,,,,,2.0,3.0,
-,TEAM,-,-,-,-,-,15,10.0,,0,0,0,,,,,,14.0,,,,,,
-,Totals,-,-,-,-,-,104,,,1157,660,3507,0.142,1071.0,137.0,236.0,1358.0,155.0,28.0,235.0,57.0,1439.5,67.0,
-,Opponent Totals,-,-,-,-,-,104,,,1267,398,3191,8.337,1134.0,155.0,218.0,1443.0,136.0,50.0,398.0,41.0,1671.0,31.0,
