Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
3,"Shashack, Katie",Jr,DS,5-6,117,0,117,30.0,,2,4,26,-0.077,137.0,25.0,21.0,542.0,48.0,,,,27.0,2.0,
12,"Knight, Sami",Fr,S,5-7,117,0,117,30.0,14.0,10,5,50,0.1,553.0,17.0,17.0,219.0,1.0,,1.0,1.0,27.5,14.0,
2,"Joens, Taylor",Jr,OH,6-0,117,0,117,30.0,30.0,331,89,767,0.316,22.0,24.0,25.0,107.0,1.0,13.0,92.0,9.0,414.0,1.0,
19,"Mangun, Mallory",Sr,S,5-7,117,0,117,30.0,16.0,35,15,102,0.196,659.0,25.0,17.0,318.0,,,1.0,2.0,60.5,10.0,
14,"Harrison, Emily",Jr,OH,6-2,111,0,111,29.0,15.0,229,81,594,0.249,5.0,,,50.0,1.0,9.0,88.0,7.0,282.0,1.0,
5,"Ramich, Carley",Jr,MB,6-0,111,0,111,30.0,30.0,135,61,333,0.222,3.0,,,38.0,,12.0,117.0,10.0,205.5,1.0,
11,"Held, Taylor",Sr,OH,5-11,110,0,110,30.0,15.0,183,114,584,0.11800000000000001,12.0,3.0,3.0,107.0,10.0,6.0,69.0,12.0,226.5,,
16,"Witt, Ashley",Jr,OH,5-11,102,0,102,29.0,3.0,253,129,709,0.175,5.0,,1.0,44.0,10.0,8.0,20.0,6.0,271.0,1.0,
7,"Scott, Jackie",Jr,OH,5-11,96,0,96,27.0,23.0,191,88,676,0.152,18.0,18.0,16.0,265.0,17.0,3.0,22.0,6.0,223.0,3.0,
6,"Otte, Dylynn",Fr,OH,5-11,78,0,78,24.0,17.0,78,48,268,0.11199999999999999,4.0,5.0,13.0,170.0,5.0,4.0,12.0,5.0,93.0,1.0,
15,"Leahy, Emma",Fr,OH,5-8,56,0,56,18.0,12.0,0,0,13,0.0,5.0,12.0,21.0,95.0,10.0,,,,12.0,1.0,
4,"Streetar, Alicia",Sr,OH,5-11,49,0,49,20.0,1.0,57,27,171,0.175,1.0,,1.0,17.0,1.0,2.0,5.0,1.0,61.5,,
8,"Amsden, Tessa",Sr,DS,5-6,35,0,35,14.0,4.0,0,0,2,0.0,2.0,8.0,12.0,63.0,12.0,,,,8.0,,
10,"Fields, Kiana",Fr,MB,6-0,12,0,12,5.0,,11,6,24,0.20800000000000002,,,1.0,1.0,,,5.0,,13.5,,
9,"McKinley, Madison",Fr,MB,6-0,3,0,3,3.0,,1,0,4,0.25,,,,,,,,,1.0,,
-,TEAM,-,-,-,-,-,30,14.0,,0,0,0,,,,,,12.0,,,,,,
-,Totals,-,-,-,-,-,117,,,1516,667,4323,0.196,1426.0,137.0,148.0,2036.0,128.0,57.0,432.0,59.0,1926.0,35.0,
-,Opponent Totals,-,-,-,-,-,117,,,1395,728,4489,4.316,1303.0,128.0,200.0,1894.0,137.0,52.0,285.0,54.0,1717.5,66.0,
