Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
14,"Thompson, Megan",Sr,MB,6-1,102,0,102,27.0,27.0,254,69,535,0.34600000000000003,4.0,,,20.0,2.0,23.0,143.0,12.0,348.5,,
1,"Hover, Jesse",Jr,L,5-5,102,0,102,27.0,11.0,2,0,15,0.133,34.0,21.0,27.0,374.0,16.0,,,,23.0,,
15,"Varley, Amanda",Jr,OH,6-1,96,0,96,27.0,14.0,310,146,876,0.187,4.0,,,48.0,20.0,8.0,52.0,12.0,344.0,,
3,"Cavalcanti, Thamires",Jr,L,5-4,95,0,95,25.0,3.0,1,1,7,0.0,21.0,17.0,28.0,338.0,17.0,,,,18.0,,
20,"Saunders, Aubrey",Fr,MB,5-9,94,0,94,27.0,26.0,108,38,287,0.244,3.0,19.0,13.0,40.0,,12.0,97.0,17.0,187.5,1.0,
18,"Roberts, Rylin",Fr,OH,5-9,89,0,89,27.0,24.0,184,73,690,0.161,8.0,17.0,17.0,181.0,30.0,4.0,20.0,2.0,215.0,,
8,"Gneiting, Megan",Fr,OH,6-0,83,0,83,26.0,13.0,100,36,274,0.23399999999999999,2.0,12.0,10.0,32.0,,4.0,59.0,7.0,145.5,,
5,"Hale, Andrea",So,OH,6-3,80,0,80,24.0,14.0,174,72,460,0.222,,5.0,8.0,38.0,,2.0,64.0,10.0,213.0,,
16,"Langston, Tanisha",Sr,OH,6-1,78,0,78,24.0,,17,13,73,0.055,4.0,11.0,11.0,108.0,8.0,1.0,8.0,2.0,33.0,,
4,"Irwin, Bailey",So,S,5-5,77,0,77,23.0,11.0,7,9,41,-0.049,557.0,14.0,24.0,111.0,,1.0,12.0,3.0,28.0,19.0,
6,"Christensen, Taylor",Jr,S,6-0,66,0,66,19.0,16.0,27,4,49,0.469,532.0,9.0,14.0,115.0,,2.0,34.0,3.0,55.0,37.0,
10,"Borho, Ciera",Sr,OPP,6-0,43,0,43,22.0,3.0,45,26,149,0.128,3.0,7.0,7.0,66.0,7.0,,3.0,2.0,53.5,,
7,"Erwin, Katelyn",Fr,L,5-7,33,0,33,14.0,,0,0,1,0.0,,,,33.0,1.0,,,,,,
12,"Hill, Hannah",Fr,MB,6-2,16,0,16,11.0,,12,3,29,0.31,,,2.0,2.0,,,12.0,3.0,18.0,,
9,"Parson, Rachel",Fr,OH,6-0,1,0,1,1.0,,0,0,0,,,,,,,,,,,,
-,TEAM,-,-,-,-,-,24,14.0,,0,0,0,,6.0,,,,12.0,,,,,,
-,Totals,-,-,-,-,-,102,,,1241,490,3486,0.215,1178.0,132.0,161.0,1506.0,113.0,57.0,504.0,73.0,1682.0,57.0,
-,Opponent Totals,-,-,-,-,-,102,,,1380,654,3794,5.245,1308.0,113.0,178.0,1546.0,132.0,55.0,319.0,44.0,1707.5,29.0,
