Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
13,"Ristic, Maja",Sr,OH,5-9,110,0,110,29.0,29.0,405,176,1099,0.20800000000000002,32.0,39.0,40.0,243.0,32.0,7.0,22.0,5.0,462.0,1.0,
6,"Rosado, Nathalie",Sr,L,5-7,110,0,110,29.0,,2,1,4,0.25,109.0,19.0,3.0,425.0,26.0,,,,21.0,,
12,"Kame, Sigourney",Fr,RS,6-1,108,0,108,28.0,18.0,310,140,719,0.23600000000000002,4.0,1.0,,53.0,,4.0,37.0,14.0,333.5,,
1,"Viera, Genesis",Sr,S,5-8,106,0,106,29.0,15.0,41,10,96,0.32299999999999995,847.0,23.0,17.0,221.0,,3.0,19.0,3.0,76.5,8.0,
18,"Wojciakowski, Brianne",Sr,MB,6-2,105,0,105,29.0,29.0,167,56,361,0.307,12.0,,,20.0,1.0,17.0,59.0,5.0,213.5,1.0,
10,"Reid, Abbi",So,OPP,5-11,98,0,98,26.0,25.0,234,68,495,0.335,5.0,9.0,23.0,52.0,1.0,11.0,71.0,7.0,289.5,,
15,"Dixon, Gabby",So,OPP,6-2,80,0,80,23.0,10.0,127,66,344,0.177,2.0,,,27.0,,5.0,40.0,4.0,152.0,,
8,"Cardona, Alex",So,L,5-7,75,0,75,23.0,,3,1,4,0.5,10.0,16.0,20.0,155.0,9.0,,,,19.0,,
9,"Varney, Kori",Fr,L/DS,5-6,72,0,72,23.0,12.0,1,2,11,-0.091,11.0,10.0,11.0,143.0,26.0,,,,11.0,,
3,"Tekavec, Kristi",Sr,OH,6-0,63,0,63,21.0,11.0,122,41,383,0.21100000000000002,3.0,,,41.0,4.0,6.0,16.0,3.0,136.0,,
14,"Martinez, Ivone",So,S,5-9,59,0,59,18.0,14.0,9,6,20,0.15,378.0,8.0,29.0,148.0,2.0,,4.0,,19.0,4.0,
4,"Riggs, Sydney",Fr,OH,6-1,51,0,51,19.0,6.0,64,52,238,0.05,16.0,10.0,17.0,86.0,16.0,6.0,14.0,1.0,87.0,,
2,"Gibbs, Cailea",Fr,MB,6-0,41,0,41,16.0,4.0,39,33,112,0.054000000000000006,5.0,7.0,6.0,18.0,,5.0,22.0,2.0,62.0,,
5,"Tekavec, Dena",Fr,L/DS,5-6,38,0,38,17.0,1.0,0,0,0,,5.0,8.0,1.0,33.0,4.0,,,,8.0,,
11,"De Vuono, Marcella",Fr,MB,6-3,2,0,2,1.0,,0,0,2,0.0,,,,,,,,,,,
7,"Hise, Emily",Fr,MB,6-2,1,0,1,1.0,,0,0,0,,,,,,,,,,,,
-,TEAM,-,-,-,-,-,18,13.0,,0,0,0,,,,,,10.0,,,,,,
-,Totals,-,-,-,-,-,112,,,1524,652,3888,0.22399999999999998,1439.0,150.0,167.0,1665.0,131.0,64.0,304.0,44.0,1890.0,14.0,
-,Opponent Totals,-,-,-,-,-,112,,,1361,568,3839,5.7989999999999995,1270.0,131.0,192.0,1442.0,150.0,58.0,457.0,52.0,1778.5,32.0,
