Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
2,"Johnson, Natalie",Jr,L,5-5,114,0,114,32.0,7.0,1,2,12,-0.083,12.0,23.0,19.0,294.0,14.0,,,,24.0,1.0,
4,"DeJarld, Ryann",So,L,5-9,114,0,114,32.0,,1,1,9,0.0,90.0,44.0,48.0,572.0,22.0,,,,45.0,2.0,
9,"Nunge, Rebecca",So,OH,6-2,114,0,114,32.0,24.0,227,80,641,0.22899999999999998,121.0,7.0,19.0,109.0,3.0,5.0,85.0,5.0,281.5,5.0,1.0
5,"Kuhn, Sydney",Jr,OH,6-1,113,0,113,32.0,31.0,237,90,921,0.16,13.0,33.0,18.0,254.0,15.0,,58.0,7.0,299.0,,
12,"Yeadon, Jemma",Fr,OH,5-9,108,0,108,31.0,29.0,318,141,1018,0.174,10.0,23.0,31.0,224.0,14.0,7.0,58.0,11.0,377.0,,
3,"Fry, Sam",Jr,MB,6-0,107,0,107,30.0,29.0,255,76,652,0.275,5.0,37.0,30.0,50.0,2.0,8.0,94.0,12.0,347.0,4.0,
18,"Higgins, Katie",Sr,MB,6-0,96,0,96,29.0,25.0,199,44,438,0.354,4.0,6.0,9.0,32.0,1.0,8.0,98.0,7.0,262.0,1.0,
8,"Holt, Caroline",Jr,S,5-8,76,0,76,22.0,22.0,25,7,60,0.3,834.0,20.0,18.0,147.0,,2.0,25.0,2.0,59.5,11.0,
16,"Morningstar, Meg",So,MB,6-2,47,0,47,18.0,12.0,69,18,177,0.28800000000000003,,,,2.0,,3.0,44.0,8.0,94.0,,
14,"Bonneval, Haley",Sr,OH,6-0,36,0,36,16.0,,26,17,100,0.09,6.0,,,9.0,,,13.0,,32.5,,
13,"Zwickl, Taylor",Jr,S,5-9,32,0,32,11.0,8.0,0,2,5,-0.4,163.0,6.0,7.0,48.0,1.0,,,,6.0,12.0,
10,"Woodard, Lauren",Fr,OH,5-11,31,0,31,14.0,1.0,26,24,102,0.02,3.0,,5.0,35.0,3.0,1.0,5.0,,29.5,,
6,"Plumlee, Maddie",Jr,OH,6-0,25,0,25,14.0,2.0,35,14,121,0.174,,1.0,1.0,10.0,2.0,,5.0,2.0,38.5,,
11,"Klein, Hanna",Fr,S,5-8,19,0,19,6.0,2.0,1,1,3,0.0,83.0,,2.0,29.0,,,1.0,,1.5,4.0,
1,"Byrne, Kelly",So,L,5-7,16,0,16,10.0,,0,0,0,,,2.0,1.0,5.0,,,,,2.0,,
17,"Baer, Kristin",So,MB,6-2,1,0,1,1.0,,0,0,0,,1.0,,,,,,,,,,
-,TEAM,-,-,-,-,-,25,11.0,,0,0,0,,,,,,13.0,,,,,,
-,Totals,-,-,-,-,-,114,,,1420,517,4259,0.212,1345.0,202.0,208.0,1820.0,90.0,34.0,486.0,54.0,1899.0,40.0,
-,Opponent Totals,-,-,-,-,-,114,,,1457,682,4239,5.707999999999999,1397.0,90.0,230.0,2039.0,202.0,55.0,375.0,55.0,1789.5,43.0,
