Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
13,"Holman, Briana",Jr,MB,6-1,117,0,117,34.0,34.0,283,87,560,0.35,4.0,,,19.0,3.0,13.0,125.0,14.0,358.5,1.0,
5,"Rolfzen, Amber",Sr,MB,6-3,117,0,117,34.0,33.0,227,66,504,0.319,13.0,,3.0,47.0,,17.0,144.0,12.0,316.0,,
2,"Foecke, Mikaela",So,OH,6-3,117,0,117,34.0,34.0,343,91,829,0.304,8.0,24.0,40.0,95.0,,6.0,40.0,6.0,393.0,,
17,"Albrecht, Annika",Jr,OH,6-0,117,0,117,34.0,26.0,25,19,86,0.07,34.0,28.0,33.0,229.0,10.0,,1.0,1.0,53.5,1.0,
11,"Maloney, Kenzie",So,L/DS,5-8,117,0,117,34.0,,0,0,2,0.0,27.0,2.0,4.0,226.0,21.0,,,,2.0,,
3,"Hunter, Kelly",Jr,S,5-11,117,0,117,34.0,34.0,109,29,267,0.3,1315.0,26.0,49.0,257.0,1.0,6.0,86.0,7.0,184.0,15.0,
6,"Rolfzen, Kadie",Sr,OH,6-3,117,0,117,34.0,34.0,370,109,886,0.295,50.0,25.0,31.0,302.0,9.0,8.0,99.0,14.0,452.5,1.0,
4,"Wong-Orantes, Justine",Sr,L,5-6,114,0,114,33.0,,1,1,10,0.0,94.0,19.0,24.0,482.0,14.0,,,,20.0,1.0,
7,"Townsend, Sydney",Jr,L/DS,5-8,113,0,113,33.0,,0,1,2,-0.5,8.0,13.0,26.0,52.0,1.0,,,,13.0,,
9,"Malloy, Andie",Sr,OH,6-2,108,0,108,33.0,8.0,287,114,787,0.22,4.0,2.0,,67.0,5.0,7.0,49.0,5.0,320.5,,
27,"Boender, Olivia",So,OH,6-2,17,0,17,11.0,,42,14,88,0.318,,,,4.0,,,2.0,,43.0,,
8,"Smith, Brooke",So,L/DS,5-10,8,0,8,5.0,1.0,0,0,0,,1.0,3.0,5.0,4.0,,,,,3.0,,
22,"Reeves, Tiani",Fr,OH,6-1,3,0,3,2.0,,1,2,5,-0.2,,,,1.0,,,,,1.0,,
-,TEAM,-,-,-,-,-,6,6.0,,0,0,0,,,,,,5.0,,,,,,
-,Totals,-,-,-,-,-,117,,,1688,533,4026,0.287,1558.0,142.0,215.0,1785.0,69.0,57.0,546.0,59.0,2160.0,19.0,
-,Opponent Totals,-,-,-,-,-,117,,,1309,708,4102,4.587,1243.0,69.0,236.0,1573.0,142.0,40.0,355.0,59.0,1595.5,22.0,
