Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
13,"Woods, Linzy",Jr,MB,5-9,109,,109,32,,163,94,469,0.147,15.0,18.0,25.0,66.0,6.0,18.0,82.0,11.0,240.0,4.0,0
2,"Johnson, Tamria",So,MB,5-11,108,,108,32,,181,86,481,0.198,10.0,,2.0,33.0,3.0,8.0,61.0,7.0,219.5,1.0,0
10,"Rivers, Saige",Fr,RS,5-11,107,,107,32,,123,81,387,0.109,7.0,,1.0,39.0,3.0,9.0,42.0,10.0,153.0,1.0,0
5,"Nicks, Chasity",Jr,OH,5-10,105,,105,32,,223,138,761,0.11199999999999999,28.0,20.0,23.0,153.0,20.0,10.0,49.0,3.0,277.5,2.0,0
3,"Borders, Sheila",So,S,5-7,105,,105,32,,6,10,124,-0.032,321.0,8.0,8.0,133.0,2.0,,,,14.0,23.0,0
4,"Mckenzie, Raven",Fr,MB,5-9,104,,104,32,,105,73,435,0.07400000000000001,13.0,5.0,4.0,80.0,12.0,6.0,22.0,4.0,126.5,,0
9,"Dame, Kabria",Sr,DS,5-6,103,,103,30,,6,3,88,0.034,47.0,13.0,8.0,329.0,15.0,,,,19.0,,0
11,"Harris, Maurisa",Fr,L/DS,5-3,103,,103,31,,4,10,41,-0.146,37.0,11.0,8.0,215.0,24.0,,1.0,,15.5,2.0,0
7,"Jones, Gillian",Fr,RS,5-8,103,,103,31,,136,83,532,0.1,139.0,10.0,10.0,123.0,12.0,6.0,34.0,4.0,169.0,4.0,1
6,"Cadwell, Kalee",Fr,DS,5-10,81,,81,27,,19,15,114,0.035,245.0,13.0,5.0,154.0,3.0,,2.0,,33.0,6.0,0
16,"Gipson, Charity",,,-,50,,50,14,,4,7,35,-0.086,13.0,5.0,2.0,71.0,6.0,,,,9.0,,0
16,"Rencher, Sydney",So,DS,5-4,27,,27,10,,4,4,14,0.0,3.0,5.0,2.0,41.0,5.0,,,,9.0,2.0,0
18,"Fields, Semira",Fr,OH,5-10,19,,19,16,,11,8,35,0.086,3.0,,,,1.0,1.0,3.0,2.0,12.5,,0
15,"Ratcliff, Victoria",So,MB,5-11,18,,18,12,,8,3,28,0.179,2.0,,,3.0,,1.0,5.0,2.0,11.5,,0
17,"Bell, Aliah",Fr,OH,6-1,16,,16,13,,9,9,36,0.0,,,,1.0,,,2.0,1.0,10.0,,0
1,"Watkins, Charleigh",So,OH,5-11,15,,15,8,,1,0,5,0.2,3.0,,,3.0,3.0,,,1.0,1.0,,0
14,"Lane, Romance",,,-,8,,8,4,,7,6,21,0.048,14.0,,2.0,16.0,,,5.0,,9.5,,0
12,"Hall, Laurun",So,OH,5-10,7,,7,5,,1,0,2,0.5,,,,3.0,,,,,1.0,,0
14,"Reynolds, Tess",Jr,RS,5-10,5,,5,4,,2,2,9,0.0,,,,,,1.0,2.0,,4.0,,0
8,"Hall, Resha",Fr,MH,5-10,4,,4,4,,0,0,0,,2.0,,,,,,,,,,0
-,TEAM,-,-,-,-,-,8,3,,0,0,0,,,,,,81.0,,,,,,0
-,Totals,-,-,-,-,-,109,26,,1014,634,3620,0.105,902.0,108.0,101.0,1467.0,196.0,59.0,309.0,45.0,1310.5,45.0,25
-,Opponent Totals,-,-,-,-,-,109,26,,1357,538,3838,0.213,1208.0,197.0,204.0,1581.0,108.0,79.0,219.0,38.0,1691.5,26.0,26
