Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
18,"Hunt, Braya",Sr,DS,5-10,104,,104,31,,1,3,13,-0.154,38.0,6.0,21.0,236.0,17.0,,2.0,,8.0,2.0,0
5,"Stafford, Shelly",Sr,MB,6-2,104,,104,31,,268,63,535,0.38299999999999995,42.0,23.0,22.0,82.0,,8.0,90.0,10.0,344.0,2.0,0
1,"Wulf, Tara",Sr,L/DS,5-5,104,,104,31,,0,0,4,0.0,89.0,20.0,36.0,342.0,27.0,,,,20.0,1.0,0
10,"van der Mark, Marieke",So,OPP,6-6,104,,104,31,,193,54,415,0.335,3.0,3.0,16.0,54.0,,8.0,78.0,16.0,243.0,1.0,0
14,"Lockin, Hannah",Jr,S,6-1,104,,104,31,,90,20,198,0.354,1193.0,24.0,24.0,284.0,,4.0,74.0,5.0,155.0,26.0,0
32,"Bramschreiber, Shanel",So,L/DS,5-7,104,,104,31,,1,2,6,-0.16699999999999998,26.0,20.0,37.0,179.0,25.0,,,,21.0,,0
17,"McGhee, Kara",Fr,MB,6-4,103,,103,31,,158,48,363,0.303,3.0,,,20.0,2.0,12.0,127.0,2.0,233.5,1.0,0
77,"Milana, Gia",Sr,OH,6-2,102,,102,31,,242,102,648,0.21600000000000003,13.0,,6.0,52.0,12.0,5.0,28.0,7.0,261.0,1.0,0
22,"Pressley, Yossiana",Jr,OH,6-0,101,,101,30,,546,198,1267,0.275,13.0,17.0,36.0,245.0,8.0,5.0,41.0,9.0,588.5,2.0,0
19,"Coleman, Bri",So,OH,6-0,41,,41,20,,1,0,1,1.0,,3.0,8.0,5.0,,,,,4.0,1.0,0
4,"Johnson, KJ",Fr,OH,5-9,10,,10,7,,13,8,35,0.14300000000000002,,,1.0,1.0,,,3.0,,14.5,,0
12,"Thomas, Nicole",Sr,MB,6-1,7,,7,6,,5,2,13,0.231,,,,1.0,,,1.0,,5.5,,0
7,"Fluegel, Hannah",Sr,S,5-10,2,,2,2,,0,0,0,,1.0,,1.0,,,,,,,,0
-,TEAM,-,-,-,-,-,10,10,,0,0,0,,,,,,9.0,,,1.0,,,0
-,Totals,-,-,-,-,-,104,5,,1518,500,3498,0.29100000000000004,1421.0,116.0,208.0,1501.0,100.0,42.0,444.0,50.0,1796.0,37.0,5
-,Opponent Totals,-,-,-,-,-,104,5,,1208,622,3561,0.165,1132.0,100.0,239.0,1263.0,116.0,23.0,396.0,36.0,1455.0,20.0,5
