Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
11,"Shemanova, Polina",So,OH,6-0,94,,94,25,,485,185,1120,0.268,36.0,31.0,62.0,267.0,11.0,8.0,43.0,13.0,545.5,,0
5,"Karakasi, Elena",So,S,6-0,93,,93,25,,90,32,227,0.256,803.0,9.0,30.0,164.0,,5.0,47.0,12.0,127.5,16.0,0
7,"Saada, Ella",Jr,OH,6-1,93,,93,25,,295,147,743,0.19899999999999998,28.0,12.0,37.0,192.0,24.0,2.0,33.0,14.0,325.5,1.0,0
13,"Yastrub, Yuliia",Jr,OH,6-2,90,,90,25,,78,39,241,0.162,35.0,16.0,18.0,142.0,7.0,2.0,63.0,7.0,127.5,,0
16,"Casiano, Abby",Fr,MB,6-2,83,,83,23,,69,14,161,0.342,2.0,,7.0,5.0,,8.0,69.0,16.0,111.5,1.0,0
15,"Gardner, Dana",Jr,MB,6-3,63,,63,21,,22,12,68,0.147,,,1.0,1.0,1.0,8.0,42.0,25.0,51.0,,0
8,"Hayes, Berkley",Fr,DS,5-6,61,,61,19,,1,0,1,1.0,3.0,12.0,16.0,27.0,4.0,,,,13.0,,0
4,"Bowllan, Aliah",Sr,DS,5-5,60,,60,18,,2,0,3,0.667,51.0,6.0,11.0,240.0,21.0,,,,8.0,,0
9,"Woodford, Lauren",Fr,S,5-8,50,,50,22,,3,1,10,0.2,161.0,6.0,21.0,33.0,,,3.0,2.0,10.0,5.0,0
3,"Markova, Marina",Fr,OH,6-4,48,,48,13,,133,61,333,0.21600000000000003,4.0,22.0,34.0,42.0,3.0,5.0,25.0,9.0,172.5,,0
6,"Lukacs, Kendra",Sr,OH,6-1,45,,45,15,,18,10,66,0.121,12.0,10.0,9.0,80.0,14.0,1.0,7.0,2.0,32.5,1.0,0
19,"Plummer, Izzy",Fr,MB,6-1,20,,20,7,,5,0,17,0.294,,,1.0,2.0,,3.0,11.0,4.0,12.5,,0
23,"Lokhmanchuk, Viktoriia",Fr,OH,6-5,3,,3,1,,4,3,10,0.1,1.0,,,2.0,,,,,4.0,,0
-,TEAM,-,-,-,-,-,9,7,,0,1,1,-1.0,,,,,21.0,,,,,,0
-,Totals,-,-,-,-,-,94,15,,1205,505,3001,0.233,1136.0,124.0,247.0,1197.0,106.0,42.0,343.0,104.0,1542.5,24.0,15
-,Opponent Totals,-,-,-,-,-,94,15,,1131,471,3002,0.22,1050.0,106.0,168.0,1117.0,124.0,37.0,283.0,43.0,1415.5,23.0,15
