Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
6,"Yost, Mallory",Jr,MB,6-1,106,,106,28,,198,58,438,0.32,5.0,2.0,20.0,38.0,2.0,8.0,82.0,14.0,249.0,1.0,0.0
15,"Fritsche, Kristen",So,S,5-8,106,,106,28,,21,5,42,0.381,487.0,12.0,39.0,160.0,,,,2.0,33.0,5.0,0.0
1,"Patterson, Serena",So,OH,5-10,106,,106,28,,259,119,823,0.17,13.0,24.0,44.0,237.0,47.0,11.0,27.0,19.0,307.5,1.0,0.0
9,"Masaki, Syenna",Jr,S,5-9,101,,101,27,,15,20,65,-0.077,487.0,20.0,27.0,166.0,2.0,,3.0,,36.5,34.0,0.0
11,"Jones, Cheyenne",Jr,OH,6-1,100,,100,26,,257,102,643,0.24100000000000002,2.0,4.0,10.0,50.0,,5.0,68.0,8.0,300.0,,0.0
8,"Mikovic, Anamarija",Jr,OH,6-0,91,,91,27,,149,89,441,0.136,12.0,16.0,15.0,105.0,11.0,7.0,28.0,5.0,186.0,,0.0
2,"Darley, Alianza",Fr,OH,5-11,90,,90,24,,132,76,374,0.15,1.0,,,27.0,2.0,6.0,47.0,6.0,161.5,3.0,0.0
16,"Torres, Alex",So,DS,5-7,84,,84,23,,2,2,6,0.0,79.0,18.0,25.0,300.0,20.0,,1.0,,20.5,3.0,0.0
5,"Sianez, Erika",Sr,DS,5-1,71,,71,24,,0,0,2,0.0,30.0,8.0,4.0,120.0,20.0,,,,8.0,,0.0
20,"Howard, Kenidy",Fr,MB,5-11,63,,63,19,,79,32,190,0.247,2.0,,,18.0,1.0,3.0,60.0,7.0,112.0,,0.0
12,"Alvarez, Izela",Jr,L/DS,5-2,55,,55,21,,0,0,1,0.0,3.0,15.0,17.0,28.0,6.0,,,,15.0,,0.0
10,"Arellano, Briana",Sr,OH,5-10,51,,51,22,,39,33,144,0.042,6.0,5.0,18.0,37.0,5.0,1.0,2.0,2.0,46.0,,0.0
14,"Lazda, Irbe",Fr,MB,6-3,40,,40,10,,75,19,138,0.406,2.0,15.0,27.0,15.0,1.0,6.0,31.0,7.0,111.5,,0.0
18,"Landeros, Jessica",Fr,OH,5-11,27,,27,12,,30,16,82,0.171,2.0,,,4.0,2.0,1.0,8.0,1.0,35.0,,0.0
13,"Kragholm, Martine",So,MB,6-0,22,,22,11,,7,10,46,-0.065,3.0,3.0,8.0,5.0,4.0,,3.0,2.0,11.5,,0.0
7,"Chacon, Sophia",Fr,S,5-7,20,,20,13,,0,3,3,-1.0,40.0,1.0,2.0,9.0,,,,,1.0,,0.0
4,"Perez, Emily",So,OH,5-11,11,,11,8,,4,2,8,0.25,,,,,,,,,4.0,,0.0
17,"Sanchez, Priscilla",Sr,S,5-8,3,,3,3,,0,0,0,,,1.0,1.0,,,,,,1.0,,
19,"Sifuentes, Sofia",Fr,DS,5-3,1,,1,1,,0,0,0,,,,,,,,,,,,
-,TEAM,-,-,-,-,-,20,10,,0,0,0,,,,,,15.0,,,,,,0.0
-,Totals,-,-,-,-,-,106,6,,1267,586,3446,0.198,1174.0,144.0,257.0,1319.0,138.0,48.0,360.0,73.0,1639.0,47.0,6.0
-,Opponent Totals,-,-,-,-,-,106,6,,1223,517,3303,0.214,1131.0,138.0,201.0,1362.0,142.0,66.0,351.0,38.0,1602.5,37.0,6.0
