Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
17,"DeWalt, Emily",So,S,5-10,117,,117,33,,77,27,179,0.27899999999999997,1196.0,38.0,39.0,267.0,,3.0,48.0,4.0,142.0,7.0,0
4,"Huskey, Cheyenne",Sr,OH,6-2,117,,117,33,,425,170,1072,0.23800000000000002,17.0,57.0,77.0,259.0,19.0,4.0,62.0,9.0,517.0,,0
12,"Johnson, Brooke",Jr,S,5-5,116,,116,33,,1,1,5,0.0,83.0,18.0,21.0,307.0,19.0,,,,19.0,3.0,0
2,"Dinwiddie, Micah",Sr,DS,5-4,112,,112,33,,0,1,3,-0.33299999999999996,36.0,25.0,38.0,229.0,18.0,,,,25.0,,0
3,"Scott, Tyeranee",Jr,MB,6-0,104,,104,32,,199,62,410,0.33399999999999996,4.0,1.0,6.0,27.0,,11.0,103.0,1.0,262.5,1.0,0
8,"Slaughter, Jillian",So,MB,6-0,99,,99,29,,140,46,351,0.268,2.0,3.0,7.0,17.0,,8.0,74.0,15.0,188.0,1.0,0
16,"Fitzgerald, Janell",So,OH,6-1,97,,97,30,,275,90,651,0.284,5.0,,1.0,56.0,,5.0,57.0,5.0,308.5,2.0,0
20,"Fuentes, Rylie",Sr,S,5-6,92,,92,30,,2,1,6,0.16699999999999998,37.0,7.0,18.0,125.0,9.0,,,,9.0,3.0,0
6,"Granado, Kayla",So,DS,5-4,84,,84,28,,0,0,5,0.0,19.0,20.0,17.0,180.0,9.0,,,,20.0,,0
18,"Teske, Lauren",Fr,OH,6-0,63,,63,24,,117,59,364,0.159,3.0,,3.0,37.0,3.0,3.0,14.0,5.0,127.0,1.0,0
10,"Buettner, Caitlan",Fr,OH,6-2,51,,51,23,,81,31,295,0.16899999999999998,3.0,2.0,3.0,49.0,4.0,2.0,14.0,2.0,92.0,,0
13,"Heiser, Courtney",Fr,OH,5-11,46,,46,20,,89,53,314,0.115,2.0,,6.0,51.0,6.0,,4.0,,90.5,,0
19,"Koenen, Kaylie",So,DS,5-4,40,,40,19,,0,2,2,-1.0,4.0,13.0,9.0,44.0,2.0,,,,13.0,,0
1,"Rutherford, Kenedi",So,OH,5-11,32,,32,12,,53,30,141,0.163,1.0,,,16.0,1.0,,12.0,1.0,59.0,,0
5,"Marshall, Tessa",Fr,MB,6-1,31,,31,14,,51,19,129,0.248,1.0,,,2.0,,2.0,20.0,2.0,63.0,,0
11,"Wood, Konner",Sr,DS,4-11,13,,13,7,,0,0,1,0.0,1.0,1.0,2.0,18.0,1.0,,,,1.0,,0
7,"Smylie, Allie",Fr,MB,6-1,13,,13,7,,11,4,31,0.226,,,,4.0,,,10.0,2.0,16.0,,0
21,"Foster, Michelle",Fr,DS,5-5,5,,5,4,,0,0,0,,1.0,,,3.0,1.0,,,,,,0
-,TEAM,-,-,-,-,-,22,7,,0,0,0,,,,,,33.0,,,,,,0
-,Totals,-,-,-,-,-,118,20,,1521,596,3959,0.23399999999999999,1415.0,185.0,247.0,1691.0,125.0,38.0,418.0,46.0,1953.0,18.0,20
-,Opponent Totals,-,-,-,-,-,118,20,,1317,665,3937,0.166,1218.0,125.0,251.0,1572.0,185.0,55.0,327.0,43.0,1660.5,54.0,20
