Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
5,"Barnes, Carissa",Fr,OH,5-7,117,,117,31,,8,2,29,0.207,76.0,48.0,46.0,590.0,38.0,,,,56.0,1.0,0
13,"Payne, Kaylee",So,L/DS,5-9,117,,117,31,,6,1,26,0.192,30.0,30.0,46.0,246.0,33.0,,1.0,,36.5,1.0,0
14,"Dumity, Sam",So,OH,6-0,116,,116,31,,196,82,504,0.226,45.0,19.0,46.0,102.0,1.0,10.0,49.0,3.0,249.5,,0
1,"Filipiak, Kylie",So,OH,5-9,116,,116,31,,238,85,660,0.23199999999999998,21.0,11.0,15.0,113.0,11.0,,28.0,4.0,263.0,1.0,0
7,"Simon, Chloe",Jr,OH,6-1,115,,115,31,,282,90,793,0.242,38.0,15.0,20.0,238.0,44.0,7.0,18.0,4.0,313.0,2.0,0
3,"Green, Madison",Sr,S,5-8,115,,115,31,,283,88,686,0.284,864.0,33.0,23.0,261.0,5.0,,19.0,3.0,325.5,14.0,7
8,"Young, Rachel",So,MB,6-1,105,,105,28,,217,51,488,0.34,37.0,1.0,,50.0,1.0,9.0,35.0,2.0,244.5,3.0,0
6,"Panhans, Faith",Fr,S,5-11,85,,85,29,,15,9,57,0.105,285.0,21.0,18.0,92.0,,,3.0,,36.5,11.0,0
17,"Carter, Julia",So,MB,6-5,76,,76,29,,102,47,349,0.158,8.0,,2.0,24.0,1.0,9.0,17.0,5.0,119.5,3.0,0
9,"van Velthooven, Eloise",Sr,OH,6-1,61,,61,24,,66,40,217,0.12,7.0,1.0,2.0,27.0,6.0,3.0,9.0,2.0,74.5,1.0,0
10,"Howard, Madison",Jr,RS,5-10,58,,58,25,,71,33,192,0.198,3.0,,,16.0,,1.0,3.0,2.0,73.5,,0
2,"Felan, Angel",So,S,5-7,45,,45,21,,0,0,3,0.0,4.0,5.0,8.0,49.0,1.0,,,,5.0,,0
21,"Froeschl, Hannah",Jr,MH,5-10,22,,22,8,,27,21,96,0.062,1.0,,,5.0,,1.0,1.0,2.0,28.5,,0
15,"Lyons, Jenna",So,OH,5-10,20,,20,12,,13,9,40,0.1,,,3.0,6.0,,1.0,1.0,,14.5,,0
11,"Buzhanski, Liza",So,L/DS,5-8,16,,16,8,,0,0,1,0.0,2.0,,,11.0,2.0,,,,,,0
4,"Skrobarczyk, Katie",Fr,MB,6-2,1,,1,1,,0,0,0,,,,,,,,,,,,0
-,TEAM,-,-,-,-,-,4,1,,0,0,0,,,,,,28.0,,,,,,0
-,Totals,-,-,-,-,-,117,27,,1524,558,4141,0.233,1421.0,184.0,229.0,1830.0,171.0,41.0,184.0,27.0,1787.0,37.0,27
-,Opponent Totals,-,-,-,-,-,117,27,,1457,534,4059,0.22699999999999998,1344.0,171.0,257.0,1703.0,185.0,64.0,286.0,52.0,1788.0,51.0,27
