Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
16,"Clothier, Emma",Fr,MB,6-2,105,,105,29,,140,55,332,0.256,3.0,5.0,5.0,20.0,,15.0,115.0,14.0,217.5,,0
7,"Tessier, Lily",Fr,S,6-3,105,,105,29,,7,5,41,0.049,617.0,15.0,11.0,168.0,1.0,,9.0,5.0,26.5,8.0,0
13,"Knuth, Taryn",Jr,MB,6-3,105,,105,29,,202,40,448,0.36200000000000004,9.0,,,19.0,1.0,25.0,135.0,17.0,294.5,,0
17,"Ell, Adrian",So,S,6-2,103,,103,29,,7,10,42,-0.071,465.0,23.0,8.0,188.0,,,5.0,1.0,32.5,17.0,0
1,"Roberts, Taylor",So,L,5-4,103,,103,29,,1,0,9,0.111,42.0,19.0,19.0,284.0,22.0,,,,20.0,1.0,0
3,"Chacon, Morgan",Fr,OH,5-11,101,,101,29,,254,100,786,0.196,14.0,21.0,28.0,320.0,26.0,1.0,31.0,8.0,291.5,,0
15,"Caffrey, Payton",Sr,OH,6-0,100,,100,28,,403,131,995,0.273,10.0,18.0,36.0,261.0,30.0,4.0,50.0,6.0,450.0,,0
4,"Martin, Jasmyn",Jr,OH,6-3,94,,94,26,,206,66,541,0.259,3.0,,6.0,39.0,1.0,4.0,76.0,6.0,248.0,4.0,0
9,"Sullivan, Madison",Sr,L,5-7,88,,88,28,,1,0,7,0.14300000000000002,47.0,12.0,25.0,187.0,22.0,,,,13.0,,0
11,"Stockman, Marissa",So,MB,6-3,47,,47,18,,27,12,77,0.195,,,,11.0,,,34.0,,44.0,,0
10,"Nunge, Jessica",Fr,OH,6-2,43,,43,17,,36,18,150,0.12,2.0,3.0,1.0,46.0,1.0,,28.0,5.0,53.0,,0
47,"Williams, Deion",Jr,MB,6-2,34,,34,14,,13,15,57,-0.035,2.0,,,8.0,1.0,1.0,34.0,3.0,31.0,,0
23,"Burrows, Lauryn",Fr,OH,5-8,26,,26,14,,3,0,8,0.375,5.0,4.0,7.0,46.0,2.0,,,,7.0,,0
2,"Collins, Alyssa",Fr,L,5-5,14,,14,8,,0,0,0,,2.0,1.0,,13.0,2.0,,,,1.0,,0
5,"Morrison, Caleigh",Jr,MB,6-4,9,,9,5,,11,4,22,0.318,,,,2.0,,,5.0,,13.5,,0
-,TEAM,-,-,-,-,-,21,13,,0,0,0,,,,2.0,,25.0,,,,,,0
-,Totals,-,-,-,-,-,105,6,,1311,456,3515,0.243,1221.0,121.0,148.0,1612.0,134.0,50.0,522.0,65.0,1743.0,30.0,6
-,Opponent Totals,-,-,-,-,-,105,6,,1382,658,3965,0.183,1318.0,134.0,247.0,1572.0,121.0,18.0,343.0,41.0,1705.5,32.0,6
