Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
9,"Vance, Olivia",Fr,MB,6-0,108,,108,28,,159,68,395,0.23,4.0,,1.0,19.0,3.0,6.0,62.0,10.0,196.0,,0
1,"Birnbrich, Zoe",Sr,MH,6-1,108,,108,28,,282,68,641,0.33399999999999996,9.0,24.0,20.0,78.0,1.0,21.0,65.0,4.0,359.5,,0
6,"Jaqua, Ryann",Fr,OH,5-7,108,,108,28,,156,99,619,0.092,16.0,16.0,29.0,295.0,34.0,4.0,14.0,,183.0,2.0,0
5,"Neal, Rhyen",Jr,DS,5-8,108,,108,28,,3,1,11,0.182,84.0,30.0,28.0,466.0,52.0,,,,33.0,,0
4,"Beasley, Megan",So,S,6-1,98,,98,26,,40,20,134,0.149,757.0,22.0,41.0,169.0,,2.0,17.0,6.0,72.5,19.0,0
11,"Kleespies, Chloee",Jr,OH,6-2,97,,97,26,,257,77,861,0.209,7.0,8.0,14.0,156.0,14.0,14.0,49.0,8.0,303.5,,0
7,"Ray, Abby",Fr,DS,5-6,96,,96,28,,2,0,3,0.667,21.0,3.0,10.0,133.0,19.0,,,,5.0,,0
10,"Swope, Emma",Jr,OH,6-1,94,,94,27,,219,108,742,0.15,4.0,23.0,50.0,98.0,13.0,12.0,25.0,2.0,266.5,1.0,0
3,"Barhorst, Caleigh",Jr,OH,6-0,59,,59,21,,1,2,8,-0.125,8.0,,2.0,73.0,17.0,,,,1.0,1.0,0
8,"Wilcox, Elise",So,OPP,6-1,55,,55,19,,64,29,198,0.177,1.0,16.0,28.0,36.0,,2.0,11.0,2.0,87.5,1.0,0
14,"Beasley, Liz",So,OH,6-1,48,,48,17,,77,48,253,0.115,3.0,,6.0,22.0,,3.0,12.0,4.0,86.0,,0
2,"Fogg, Maddie",So,S,5-11,47,,47,16,,13,0,34,0.382,218.0,10.0,6.0,108.0,,2.0,2.0,1.0,25.5,25.0,0
-,TEAM,-,-,-,-,-,5,3,,0,0,0,,,,,,27.0,,,,,,0
-,Totals,-,-,-,-,-,108,21,,1277,525,3913,0.192,1172.0,154.0,237.0,1664.0,180.0,66.0,258.0,37.0,1524.0,50.0,21
-,Opponent Totals,-,-,-,-,-,108,21,,1401,573,3892,0.213,1297.0,179.0,193.0,1834.0,154.0,53.0,323.0,33.0,1650.5,28.0,21
