Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
21,"Gordon, Nailah",So,OH,5-8,,,,0,,0,0,0,,,,,,,,,,,,0
4,"Reid, Hannah",Fr,S,5-9,,,,1,,0,0,0,,,,1.0,,,,,,,,0
2,"Irvin, Grace",Sr,DS,5-7,123,,123.0,30,,0,0,9,0.0,54.0,33.0,46.0,283.0,20.0,,,,33.0,1.0,0
20,"Terry, Lauryn",Sr,MB,6-3,122,,122.0,30,,214,91,634,0.19399999999999998,4.0,2.0,6.0,32.0,1.0,14.0,82.0,12.0,271.0,3.0,0
18,"Sharpton, Nina",So,S,5-10,122,,122.0,30,,27,9,81,0.222,1012.0,29.0,38.0,267.0,,2.0,40.0,6.0,77.0,26.0,0
15,"Parchment, Jade",So,OH,-,121,,121.0,30,,311,147,919,0.17800000000000002,17.0,18.0,32.0,303.0,36.0,10.0,26.0,4.0,352.0,,0
17,"Kemp, Jessica",Jr,MB,6-3,121,,121.0,30,,312,115,725,0.272,3.0,18.0,28.0,74.0,1.0,10.0,79.0,8.0,379.5,1.0,0
3,"Evans, Melissa",Jr,OPP,6-1,115,,115.0,28,,408,168,1102,0.218,9.0,6.0,32.0,132.0,1.0,6.0,67.0,6.0,453.5,3.0,0
1,"Frazier, Kaylee",So,L/DS,5-9,105,,105.0,26,,3,0,8,0.375,95.0,7.0,7.0,449.0,26.0,,,,10.0,,0
5,"McDaniel, Kristen",Fr,S,5-9,98,,98.0,30,,4,4,12,0.0,228.0,6.0,13.0,128.0,,,1.0,,10.5,13.0,0
7,"Chukwujekwu, Pam",So,MB,6-2,88,,88.0,24,,92,28,195,0.32799999999999996,1.0,,,13.0,,10.0,61.0,7.0,132.5,,0
8,"McDonald, Daniela",Fr,OH,6-1,61,,61.0,15,,101,67,381,0.08900000000000001,4.0,,3.0,58.0,13.0,1.0,15.0,2.0,109.0,,0
10,"Bryant, Savannah",So,OH,5-10,48,,48.0,19,,6,6,39,0.0,6.0,5.0,9.0,56.0,3.0,1.0,,,12.0,,0
30,"Adam, Lydia",Fr,MH,6-0,39,,39.0,13,,37,19,151,0.11900000000000001,4.0,,,16.0,,2.0,13.0,1.0,45.5,1.0,0
12,"Rowland, Taylor",Fr,OH,6-3,8,,8.0,3,,15,13,51,0.039,2.0,2.0,2.0,4.0,1.0,1.0,5.0,,20.5,,0
13,"Kearney, Erin",Fr,DS,5-4,5,,5.0,4,,0,0,0,,,,,3.0,,,,,,,0
-,TEAM,-,-,-,-,-,16.0,5,,0,0,0,,,,,,28.0,,,,,,0
-,Totals,-,-,-,-,-,123.0,21,,1530,667,4307,0.2,1439.0,126.0,217.0,1818.0,130.0,57.0,389.0,46.0,1907.5,48.0,21
-,Opponent Totals,-,-,-,-,-,123.0,21,,1590,583,4265,0.23600000000000002,1447.0,130.0,240.0,1806.0,128.0,40.0,501.0,48.0,2010.5,40.0,21
