Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
9,"McHugh, Gabriela",Fr,S,5-11,112,,112,31,,60,17,155,0.27699999999999997,1127.0,30.0,33.0,240.0,,4.0,45.0,8.0,116.5,27.0,0
10,"Howell, Grace",Sr,DS,5-7,112,,112,31,,2,5,37,-0.081,55.0,26.0,10.0,411.0,65.0,,,,28.0,,0
18,"Grisbee, Elayne",Fr,MH,6-3,110,,110,31,,120,71,332,0.14800000000000002,2.0,3.0,3.0,26.0,2.0,6.0,68.0,8.0,163.0,,0
1,"Esch, Maria",Jr,OH,6-0,108,,108,31,,384,155,1148,0.19899999999999998,27.0,23.0,71.0,292.0,25.0,4.0,38.0,13.0,430.0,3.0,0
12,"Garvens, Mandy",So,DS,5-7,107,,107,31,,6,7,44,-0.023,19.0,8.0,17.0,290.0,18.0,,1.0,,14.5,,0
17,"Robeck, Lauren",Sr,MH,6-1,102,,102,30,,180,68,474,0.23600000000000002,4.0,39.0,42.0,73.0,,18.0,80.0,6.0,277.0,,0
6,"Meysembourg, Stephanie",So,DS,5-8,101,,101,30,,4,1,13,0.231,13.0,10.0,23.0,173.0,26.0,,,,14.0,,0
5,"Keilen, Emily",Sr,OH,5-11,92,,92,29,,241,147,779,0.121,8.0,4.0,17.0,55.0,12.0,,21.0,6.0,255.5,1.0,0
4,"Knier, Hannah",Fr,OH,6-2,74,,74,28,,167,95,493,0.146,3.0,2.0,2.0,33.0,5.0,,19.0,1.0,178.5,,0
15,"Wood, Brittany",Fr,OH,5-9,63,,63,22,,93,61,290,0.11,3.0,1.0,2.0,19.0,1.0,,18.0,2.0,103.0,,0
8,"Breen, Grey",Fr,MH,6-2,28,,28,14,,20,10,59,0.16899999999999998,1.0,,,2.0,,,11.0,1.0,25.5,,0
14,"Behrends, Holly",Jr,OH,6-0,24,,24,8,,75,35,197,0.203,3.0,2.0,12.0,55.0,6.0,,18.0,2.0,86.0,1.0,0
7,"Anderson, Camille",Fr,OH,5-8,20,,20,13,,19,11,68,0.11800000000000001,1.0,,,2.0,4.0,,4.0,1.0,21.0,,0
16,"Quinones, Erika",Fr,S,5-5,3,,3,3,,0,0,0,,9.0,1.0,2.0,2.0,,,,,1.0,,0
-,TEAM,-,-,-,-,-,11,7,,0,0,0,,,,,,28.0,,,,,,0
-,Totals,-,-,-,-,-,112,15,,1371,683,4089,0.168,1275.0,149.0,234.0,1673.0,192.0,32.0,323.0,48.0,1713.5,32.0,15
-,Opponent Totals,-,-,-,-,-,112,15,,1429,614,4010,0.203,1315.0,192.0,212.0,1744.0,148.0,53.0,327.0,64.0,1837.5,37.0,15
