Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
8,"Glover, Kendall",Jr,DS,5-10,112,,112,30,,1,0,5,0.2,108.0,27.0,39.0,440.0,25.0,,,,28.0,,0
12,"Chandler, Brynn",Jr,DS,5-11,112,,112,30,,0,1,2,-0.5,17.0,35.0,66.0,171.0,30.0,,,,35.0,1.0,0
2,"Rothenberger, Claire",So,DS,5-9,112,,112,30,,1,0,1,1.0,20.0,13.0,27.0,216.0,19.0,,,,14.0,,0
22,"Donovan, Meghan",Sr,S,6-2,112,,112,30,,66,9,159,0.358,1271.0,13.0,21.0,301.0,2.0,1.0,48.0,4.0,104.0,17.0,0
17,"Young, Kianna",Jr,MB,6-2,110,,110,30,,269,95,653,0.266,3.0,19.0,28.0,69.0,1.0,2.0,61.0,5.0,320.5,,0
23,"Evans, Kacie",Fr,OH,5-11,109,,109,29,,396,173,994,0.22399999999999998,12.0,31.0,29.0,236.0,24.0,3.0,38.0,12.0,449.0,4.0,0
10,"Rivera, Kayla",So,OH,6-0,108,,108,30,,197,105,491,0.187,4.0,15.0,26.0,34.0,,3.0,49.0,3.0,239.5,,0
7,"Ritchie, Rachel",Jr,OH,5-10,107,,107,29,,324,134,887,0.214,2.0,6.0,12.0,67.0,6.0,2.0,28.0,4.0,346.0,,0
4,"Naves, Sage",So,MB,6-2,104,,104,29,,175,78,380,0.255,2.0,1.0,2.0,20.0,2.0,7.0,89.0,14.0,227.5,,0
14,"Hernandez, Mallory",So,OPP,6-0,41,,41,21,,89,40,232,0.21100000000000002,1.0,2.0,3.0,20.0,1.0,,7.0,1.0,94.5,,0
1,"House, Kaylah",Jr,OPP,6-3,25,,25,14,,18,7,49,0.22399999999999998,,,2.0,3.0,,,16.0,1.0,26.0,,0
9,"Hans, Dalaney",So,S,5-11,20,,20,11,,0,0,0,,9.0,3.0,9.0,5.0,,,,,3.0,1.0,0
5,"Froemming, Meghan",Fr,MB,6-0,15,,15,11,,10,5,23,0.217,,,,5.0,,,4.0,,11.0,,0
18,"Gray, Londyn",Fr,MB,6-1,3,,3,3,,3,1,6,0.33299999999999996,,,,,,,1.0,,3.5,,0
-,TEAM,-,-,-,-,-,8,5,,0,0,0,,,,,,36.0,,,,,,0
-,Totals,-,-,-,-,-,112,18,,1549,648,3883,0.23199999999999998,1449.0,165.0,264.0,1587.0,146.0,18.0,341.0,44.0,1902.5,23.0,18
-,Opponent Totals,-,-,-,-,-,112,18,,1311,494,3598,0.22699999999999998,1234.0,145.0,220.0,1456.0,165.0,70.0,472.0,39.0,1762.0,39.0,18
