Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
9,"Douglas, Lexie",Jr,OH,6-0,131,,131,33,,384,185,1078,0.185,21.0,37.0,53.0,334.0,47.0,5.0,58.0,8.0,455.0,1.0,0
4,"McHugh, Kaylie",Sr,L,5-6,130,,130,33,,10,7,52,0.057999999999999996,163.0,43.0,41.0,567.0,23.0,,1.0,,53.5,,0
31,"Dinkins, Kayla",So,MH,6-1,127,,127,33,,275,90,598,0.309,9.0,,4.0,22.0,,17.0,154.0,14.0,369.0,,0
7,"Burcescu, Yvette",So,OH,6-3,123,,123,33,,222,87,688,0.196,7.0,,1.0,63.0,,4.0,79.0,4.0,265.5,1.0,0
1,"Giardina, Amanda",So,S,5-9,121,,121,31,,27,6,73,0.28800000000000003,630.0,24.0,21.0,224.0,1.0,,1.0,,51.5,20.0,0
16,"Green, Lauryn",Fr,MH,6-1,116,,116,31,,235,65,521,0.326,3.0,9.0,13.0,45.0,2.0,13.0,112.0,21.0,313.0,3.0,0
33,"Heidelberg, Makala",So,OH,5-7,113,,113,29,,160,82,492,0.159,17.0,20.0,22.0,387.0,49.0,1.0,46.0,7.0,204.0,3.0,0
13,"Ibieta, Jenna",Jr,S,5-10,90,,90,26,,13,2,49,0.22399999999999998,424.0,13.0,11.0,149.0,1.0,,,1.0,26.0,10.0,0
10,"Hansel, Erika",Sr,MH,6-1,85,,85,26,,161,83,538,0.145,2.0,,,37.0,,3.0,46.0,3.0,187.0,,0
24,"Thompson, Kristen",Jr,RS,6-0,63,,63,21,,86,42,292,0.151,1.0,,,29.0,1.0,3.0,40.0,3.0,109.0,3.0,0
8,"Levine, Nicole",Jr,L,5-10,57,,57,18,,0,0,0,,5.0,19.0,29.0,18.0,,,,,19.0,,0
34,"Henigsman, Taylor",So,S,5-11,54,,54,19,,1,4,9,-0.33299999999999996,253.0,10.0,22.0,75.0,,,,,11.0,7.0,0
2,"Stefanov, Lizzy",Fr,OH,6-1,34,,34,10,,48,27,169,0.124,2.0,,1.0,24.0,4.0,,12.0,2.0,54.0,,0
11,"Benoit, Markenzie",Jr,MH,6-1,27,,27,13,,36,17,96,0.198,3.0,3.0,3.0,17.0,,2.0,18.0,1.0,50.0,,0
25,"Doyle, Meghan",Sr,OH,5-10,22,,22,12,,16,10,73,0.08199999999999999,5.0,2.0,8.0,52.0,9.0,,5.0,,20.5,,0
6,"Dits, Jillian",Fr,L,5-7,21,,21,9,,0,0,0,,5.0,2.0,3.0,11.0,2.0,,,,2.0,,0
5,"Primavera, Mia",Jr,L,5-6,18,,18,10,,0,0,0,,3.0,,,22.0,4.0,,,,,,0
20,"Bruss, Oona",Fr,MH,6-3,1,,1,1,,0,0,0,,,,,,,,,,,,0
-,TEAM,-,-,-,-,-,34,19,,0,0,0,,,,,,31.0,,,,,,0
-,Totals,-,-,-,-,-,131,10,,1674,707,4728,0.205,1553.0,182.0,232.0,2076.0,174.0,48.0,572.0,64.0,2190.0,48.0,10
-,Opponent Totals,-,-,-,-,-,131,10,,1542,768,4713,0.16399999999999998,1437.0,174.0,253.0,2026.0,181.0,68.0,418.0,63.0,1993.0,61.0,10
