Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
15,"Mattingly, Mallory",Sr,OH,5-10,116,,116,31,,394,214,1189,0.151,24.0,38.0,83.0,290.0,45.0,5.0,36.0,9.0,455.0,1.0,0
16,"Wehner, Natalie",Sr,L/DS,5-9,116,,116,31,,9,4,55,0.091,79.0,18.0,19.0,550.0,33.0,,,,27.0,9.0,0
9,"Wierzbicki, Lexi",Fr,OH,6-0,115,,115,31,,308,132,841,0.209,8.0,11.0,16.0,91.0,12.0,9.0,47.0,13.0,351.5,,0
17,"Lewis, Addyson",Fr,L/DS,5-4,111,,111,31,,2,1,10,0.1,12.0,21.0,38.0,172.0,34.0,,,1.0,23.0,,0
14,"Martin, Natalie",So,S,5-10,111,,111,30,,26,11,95,0.158,974.0,12.0,23.0,196.0,,,27.0,1.0,50.5,21.0,0
10,"Bolding, Sydney",Fr,MB,6-5,90,,90,26,,223,42,462,0.392,2.0,3.0,6.0,17.0,3.0,7.0,83.0,16.0,274.5,,0
18,"Foy, Bailey",So,MB,6-0,81,,81,22,,151,38,392,0.28800000000000003,7.0,24.0,47.0,49.0,1.0,11.0,65.0,3.0,218.5,,0
4,"Grossman, Lindsey",So,OH,6-1,73,,73,22,,105,72,348,0.095,14.0,13.0,21.0,100.0,19.0,2.0,24.0,2.0,131.5,1.0,0
11,"Rayam, Madison",Jr,RS,5-10,71,,71,23,,85,51,247,0.138,3.0,,1.0,18.0,,1.0,36.0,4.0,104.0,,0
6,"Jackson, Abby",Fr,L/DS,5-7,59,,59,18,,0,2,9,-0.222,9.0,3.0,5.0,85.0,8.0,,,,3.0,,0
5,"Kipp, Briana",Jr,MB,6-1,45,,45,15,,79,36,192,0.22399999999999998,5.0,,,13.0,,5.0,19.0,2.0,93.5,1.0,0
13,"Dagenhart, Madison",Fr,S,6-2,37,,37,13,,20,3,73,0.233,173.0,,4.0,36.0,,,20.0,,29.5,6.0,0
3,"DeYoung, Kari",Fr,MB,5-11,13,,13,7,,6,5,23,0.043,,,,2.0,,1.0,9.0,2.0,11.0,,0
7,"Clark, Grace",Fr,OH,5-11,1,,1,1,,0,0,0,,,,,1.0,,,,,,,0
-,TEAM,-,-,-,-,-,8,6,,0,0,0,,,,,,18.0,,,,,,0
-,Totals,-,-,-,-,-,116,23,,1408,611,3936,0.20199999999999999,1310.0,143.0,263.0,1620.0,173.0,41.0,366.0,53.0,1775.0,39.0,23
-,Opponent Totals,-,-,-,-,-,116,23,,1509,564,3919,0.24100000000000002,1390.0,173.0,234.0,1711.0,142.0,48.0,318.0,57.0,1889.0,37.0,23
