Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
17,"Stark, Princess",Jr,S,5-8,108,,108,30,,118,46,610,0.11800000000000001,646.0,22.0,21.0,231.0,2.0,7.0,37.0,7.0,165.5,18.0,0
18,"Carter, Jada",So,OH,5-10,105,,105,30,,204,136,686,0.099,33.0,14.0,25.0,162.0,26.0,2.0,9.0,2.0,224.5,1.0,0
5,"Hall, Arabella",Sr,MH,6-0,102,,102,30,,155,47,394,0.27399999999999997,22.0,12.0,23.0,41.0,,34.0,52.0,9.0,227.0,,0
14,"Hawkins, Brianna",Sr,RS,5-10,101,,101,29,,160,99,603,0.10099999999999999,29.0,20.0,22.0,197.0,19.0,13.0,46.0,7.0,216.0,2.0,0
16,"Jolly, Shelby",Sr,OH,5-11,97,,97,29,,205,105,655,0.153,18.0,1.0,4.0,54.0,2.0,10.0,19.0,5.0,225.5,,0
9,"Mohammed, Sameera",Sr,DS,5-4,94,,94,26,,6,8,121,-0.017,55.0,23.0,16.0,298.0,32.0,,1.0,1.0,29.5,,0
4,"Litz, Imani",So,OH,5-10,81,,81,29,,24,31,135,-0.052000000000000005,11.0,10.0,20.0,104.0,19.0,1.0,3.0,,36.5,,0
11,"Taylor, Xaria",So,MB,5-10,60,,60,27,,58,33,174,0.14400000000000002,7.0,1.0,1.0,13.0,2.0,12.0,37.0,6.0,89.5,,0
20,"Woods, Khari",So,L/DS,5-2,51,,51,19,,1,6,31,-0.161,10.0,7.0,11.0,63.0,16.0,,1.0,,8.5,,0
10,"Johnson, Holaimoana",Jr,MB,5-10,44,,44,25,,41,24,131,0.13,6.0,,3.0,11.0,,1.0,11.0,5.0,47.5,,0
96,"Fulton, Delaine",So,MB,-,42,,42,21,,43,24,135,0.141,2.0,1.0,7.0,9.0,,7.0,10.0,1.0,56.0,2.0,0
15,"Moore, Darrah",Sr,OH,5-9,24,,24,16,,7,7,29,0.0,3.0,,2.0,14.0,2.0,1.0,1.0,,8.5,,0
98,"Delgado, Moriah",Fr,L,-,24,,24,13,,0,0,11,0.0,24.0,2.0,4.0,50.0,1.0,,,,2.0,,0
97,"Dutton, Kendall",Fr,MB,-,20,,20,14,,17,7,53,0.18899999999999997,2.0,,1.0,4.0,1.0,,1.0,,17.5,1.0,0
94,"Jefferson, Brook",Fr,L,-,15,,15,12,,0,0,4,0.0,,,4.0,9.0,2.0,,,,,,0
92,"Tabor, Ayana",So,,-,6,,6,4,,2,2,7,0.0,,3.0,1.0,6.0,1.0,,,,5.0,,0
99,"Azore, Joilyn",Jr,DS,-,2,,2,2,,0,0,0,,,,,,,,,,,,0
-,TEAM,-,-,-,-,-,7,3,,0,0,0,,,,,,73.0,,,,,,0
-,Totals,-,-,-,-,-,108,25,,1041,581,3797,0.121,868.0,118.0,166.0,1284.0,200.0,88.0,230.0,43.0,1324.0,25.0,25
-,Opponent Totals,-,-,-,-,-,108,25,,1336,598,4078,0.18100000000000002,1169.0,207.0,231.0,1322.0,119.0,66.0,179.0,28.0,1660.5,26.0,24
