Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
20,"Walker, Alana",Jr,MB,6-3,118,,118,32,,237,97,583,0.24,6.0,9.0,19.0,51.0,,32.0,77.0,7.0,316.5,2.0,0
14,"Cronister, Charlotte",Fr,L,5-7,113,,113,31,,0,1,7,-0.14300000000000002,25.0,18.0,33.0,239.0,29.0,,,,18.0,1.0,0
18,"Robinson, Nia",Jr,OH,6-2,113,,113,31,,369,181,1016,0.185,5.0,9.0,22.0,113.0,2.0,2.0,27.0,3.0,393.5,,0
12,"Thomas-Ailara, Temi",Fr,OH,6-2,102,,102,28,,398,171,1049,0.21600000000000003,5.0,30.0,63.0,137.0,11.0,19.0,38.0,4.0,466.0,2.0,0
21,"Becker, Desiree",Fr,MB,6-2,95,,95,30,,136,49,325,0.268,3.0,2.0,10.0,46.0,1.0,15.0,61.0,8.0,183.5,2.0,0
17,"Chang, Payton",Sr,S,5-10,94,,94,28,,29,6,103,0.223,901.0,9.0,10.0,206.0,,,19.0,3.0,47.5,20.0,0
7,"Pitsas, Lexi",Jr,L,5-6,86,,86,23,,3,2,17,0.059000000000000004,49.0,8.0,26.0,257.0,30.0,,,,11.0,,0
5,"Ehman, Emily",Sr,OH,5-8,72,,72,22,,0,1,7,-0.14300000000000002,12.0,4.0,10.0,90.0,15.0,,,,4.0,1.0,0
1,"Lee, Michelle",So,L,5-7,70,,70,23,,1,0,2,0.5,16.0,17.0,26.0,140.0,23.0,,,,18.0,1.0,0
16,"Grbac, Ella",So,OH,6-3,69,,69,18,,123,53,322,0.217,3.0,,,21.0,,5.0,45.0,4.0,150.5,,0
3,"Lindroth, Allie",Sr,OH,6-2,53,,53,16,,8,5,24,0.125,16.0,6.0,10.0,66.0,9.0,,3.0,1.0,15.5,,0
15,"Williams, Danyelle",Jr,OPP,6-1,51,,51,17,,75,36,238,0.16399999999999998,1.0,,,17.0,,5.0,27.0,2.0,93.5,,0
13,"Viscuso, Olivia",Sr,MB,6-0,51,,51,16,,90,16,202,0.366,5.0,8.0,4.0,31.0,,13.0,35.0,2.0,128.5,1.0,0
9,"Johnson, Sarah",Sr,DS,5-7,35,,35,10,,0,0,3,0.0,28.0,7.0,10.0,91.0,12.0,,,,7.0,1.0,0
8,"McNulty, Kiara",So,S,5-10,33,,33,13,,12,0,31,0.387,270.0,4.0,4.0,63.0,,,1.0,1.0,16.5,6.0,0
10,"Wang, Amy",Jr,L,5-6,25,,25,13,,0,0,3,0.0,6.0,,5.0,26.0,5.0,,,,,,0
6,"Whalen, Ivey",Jr,OH,6-3,3,,3,2,,0,0,0,,,,,,,,,,,,0
19,"Lesiak, Hanna",So,OH,6-3,2,,2,2,,0,0,0,,,,,,,,,,,,0
22,"Haskins, Olivia",Fr,MB,6-4,2,,2,2,,0,0,0,,1.0,,,,,,,,,,0
4,"Hardwick, Tatyana",So,MB,6-3,1,,1,2,,0,0,1,0.0,,,,,,,,,,,0
11,"Bommer, Britt",Jr,S,6-1,1,,1,1,,1,0,5,0.2,4.0,1.0,,2.0,,,,,2.0,1.0,0
-,TEAM,-,-,-,-,-,1,1,,0,0,0,,,,,,26.0,,,,,,0
-,Totals,-,-,-,-,-,118,24,,1482,618,3938,0.21899999999999997,1356.0,132.0,252.0,1596.0,163.0,91.0,333.0,35.0,1675.5,38.0,24
-,Opponent Totals,-,-,-,-,-,118,24,,1446,609,3913,0.214,1325.0,163.0,258.0,1519.0,131.0,81.0,390.0,48.0,1770.0,22.0,24
