Match Num,Team,Number,Name,Points Scored,Attacks Won,Attacks Attempted,Blocks Won,Blocks Attempted,Serves Won,Serves Attempted
1,USA,11,Andrea Drews,15,12,22,1,12,2,10
1,USA,10,Jordan Larson,14,10,23,1,3,3,15
1,USA,24,Chiaka Ogbogu,12,9,11,3,15,0,9
1,USA,23,Kelsey Robinson,11,10,19,0,1,1,10
1,USA,22,Haleigh Washington,3,3,5,0,4,0,8
1,USA,25,Karsta Lowe,3,3,4,0,1,0,0
1,USA,2,Jordyn Poulter,2,0,1,1,3,1,19
1,USA,4,Justine Wong-Orantes,0,0,0,0,0,0,0
1,USA,6,Tetori Dixon,0,0,0,0,0,0,0
1,USA,7,Lauren Carlini,0,0,0,0,0,0,2
1,USA,14,Michelle Bartsch-Hackley,0,0,0,0,0,0,0
1,USA,15,Kimberly Hill,0,0,0,0,0,0,0
1,USA,17,Megan Courtney,0,0,0,0,0,0,0
1,USA,19,Hannah Tapp,0,0,0,0,0,0,0
9,USA,22,Haleigh Washington,16,11,19,5,18,0,14
9,USA,23,Kelsey Robinson,16,13,22,2,3,1,18
9,USA,25,Karsta Lowe,16,13,21,2,5,1,10
9,USA,10,Jordan Larson,12,11,24,0,4,1,18
9,USA,24,Chiaka Ogbogu,12,8,14,4,19,0,11
9,USA,11,Andrea Drews,3,3,10,0,1,0,3
9,USA,2,Jordyn Poulter,2,0,1,2,8,0,16
9,USA,4,Justine Wong-Orantes,0,0,0,0,0,0,0
9,USA,6,Tetori Dixon,0,0,0,0,0,0,0
9,USA,7,Lauren Carlini,0,0,0,0,0,0,0
9,USA,14,Michelle Bartsch-Hackley,0,0,0,0,0,0,7
9,USA,15,Kimberly Hill,0,0,0,0,0,0,0
9,USA,17,Megan Courtney,0,0,0,0,0,0,0
9,USA,19,Hannah Tapp,0,0,0,0,0,0,0
15,USA,25,Karsta Lowe,22,20,44,1,7,1,15
15,USA,14,Michelle Bartsch-Hackley,21,14,34,5,13,2,15
15,USA,6,Tetori Dixon,12,7,12,4,24,1,19
15,USA,15,Kimberly Hill,10,10,25,0,6,0,14
15,USA,19,Hannah Tapp,9,7,14,0,13,2,15
15,USA,7,Lauren Carlini,5,2,3,3,13,0,14
15,USA,2,Jordyn Poulter,0,0,0,0,0,0,0
15,USA,4,Justine Wong-Orantes,0,0,0,0,0,0,0
15,USA,10,Jordan Larson,0,0,0,0,0,0,0
15,USA,11,Andrea Drews,0,0,0,0,0,0,0
15,USA,17,Megan Courtney,0,0,0,0,0,0,0
15,USA,22,Haleigh Washington,0,0,0,0,0,0,0
15,USA,23,Kelsey Robinson,0,0,0,0,0,0,0
15,USA,24,Chiaka Ogbogu,0,0,0,0,0,0,0
21,USA,23,Kelsey Robinson,16,16,26,0,1,0,9
21,USA,10,Jordan Larson,14,9,19,1,7,4,17
21,USA,11,Andrea Drews,13,11,24,1,5,1,10
21,USA,22,Haleigh Washington,6,5,8,1,4,0,11
21,USA,2,Jordyn Poulter,5,1,1,2,5,2,16
21,USA,24,Chiaka Ogbogu,3,3,12,0,18,0,8
