,Team,Opponent,Set 1 Duration,Set 1 Scored,Set 1 Against,Set 2 Duration,Set 2 Scored,Set 1 Against,Set 3 Duration,Set 3 Scored,Set 3 Against,Attack,Block,Serve,Opp. Errors,Total,Dig,Reception,Set
2,USA,KEN,19,25,20,24,25,20,20,25,14,47,6,7,15,75,40,17,31
3,KEN,USA,19,14,25,24,20,25,20,14,25,29,4,2,13,48,19,11,13
4,CMR,RUS,21,14,25,26,15,25,21,10,25,20,6,1,12,39,22,6,15
5,RUS,CMR,21,25,15,26,25,15,21,25,10,39,9,8,19,75,40,5,14
6,ARG,NED,21,16,25,26,17,25,23,19,25,35,2,2,13,52,42,16,6
7,NED,ARG,21,25,17,26,25,17,23,25,19,47,8,4,16,75,43,15,14
8,CHN,KOR,25,25,15,23,25,15,22,25,14,46,12,6,11,75,53,22,24
9,KOR,CHN,25,21,25,23,15,25,22,14,25,37,4,2,7,50,45,14,14
10,SRB,BRA,28,20,23,29,25,23,26,18,25,58,13,5,24,100,81,17,25
11,BRA,SRB,28,25,25,29,23,25,26,25,18,64,18,3,25,110,78,19,51
12,DOM,JPN,30,21,25,25,11,25,37,26,24,53,5,0,14,72,74,21,23
13,JPN,DOM,30,25,11,25,25,11,37,24,26,74,6,3,16,99,107,22,45
14,KEN,NED,19,12,25,23,19,25,21,17,25,27,5,3,13,48,28,10,12
15,NED,KEN,19,25,19,23,25,19,21,25,17,38,7,5,25,75,35,11,21
16,CMR,CHN,22,18,25,25,14,25,29,19,25,37,4,4,6,51,29,5,21
17,CHN,CMR,22,25,14,25,25,14,29,25,19,44,7,7,17,75,44,3,25
18,USA,SRB,29,23,17,23,25,17,23,25,16,59,15,3,21,98,46,29,33
19,SRB,USA,29,25,25,23,17,25,23,16,25,51,5,4,13,73,34,30,5
20,KOR,DOM,24,17,24,33,26,24,31,23,25,62,7,5,15,89,85,20,51
21,DOM,KOR,24,25,26,33,24,26,31,25,23,70,6,2,21,99,84,17,35
22,BRA,ARG,26,25,19,25,25,19,25,25,16,42,17,6,10,75,45,13,21
23,ARG,BRA,26,17,25,25,19,25,25,16,25,38,7,2,5,52,53,8,23
24,RUS,JPN,25,25,25,31,23,25,34,25,27,73,17,4,19,113,59,14,16
25,JPN,RUS,25,11,23,31,25,23,34,27,25,60,5,6,18,89,71,26,40
26,SRB,KEN,22,25,11,21,25,11,23,25,17,43,10,8,14,75,51,10,25
27,KEN,SRB,22,13,25,21,11,25,23,17,25,26,5,1,9,41,34,8,25
28,DOM,CMR,24,25,15,24,25,15,31,23,25,70,13,4,29,116,74,15,30
29,CMR,DOM,24,17,25,24,15,25,31,25,23,61,8,5,23,97,73,28,45
30,ARG,USA,27,21,25,24,18,25,23,25,18,50,6,2,17,75,58,21,14
31,USA,ARG,27,25,18,24,25,18,23,18,25,60,13,6,14,93,61,10,29
32,CHN,RUS,29,25,16,24,25,16,25,25,18,53,9,7,6,75,48,9,26
33,RUS,CHN,29,22,25,24,16,25,25,18,25,41,7,0,8,56,43,4,14
34,NED,BRA,35,25,21,29,25,21,33,25,22,55,7,2,11,75,62,12,26
35,BRA,NED,35,23,25,29,21,25,33,22,25,47,4,0,15,66,52,14,11
36,JPN,KOR,31,25,25,27,19,25,34,22,25,65,3,6,17,91,78,18,36
37,KOR,JPN,31,23,19,27,25,19,34,25,22,63,17,5,15,100,65,16,21
38,SRB,ARG,21,25,25,27,23,25,28,25,23,63,13,4,18,98,58,12,20
39,ARG,SRB,21,15,23,27,25,23,28,23,25,56,11,5,14,86,55,20,31
40,RUS,KOR,26,25,27,36,29,27,21,25,12,43,9,7,20,79,28,16,14
41,KOR,RUS,26,18,29,36,27,29,21,12,25,33,2,3,19,57,35,15,14
42,USA,NED,29,25,18,24,25,18,24,25,19,45,5,7,18,75,34,15,5
43,NED,USA,29,23,25,24,18,25,24,19,25,39,7,0,14,60,32,14,10
44,CHN,DOM,24,25,21,31,25,21,28,25,19,49,8,2,16,75,25,16,23
45,DOM,CHN,24,19,25,31,21,25,28,19,25,37,5,4,13,59,34,10,17
46,KEN,BRA,28,20,25,27,17,25,24,14,25,35,5,1,10,51,52,6,21
47,BRA,KEN,28,25,17,27,25,17,24,25,14,47,10,2,16,75,64,14,40
48,CMR,JPN,26,17,25,28,17,25,31,20,25,33,7,1,13,54,51,12,20
49,JPN,CMR,26,25,17,28,25,17,31,25,20,40,5,8,22,75,56,20,27
50,NED,SRB,23,25,23,25,25,23,25,19,25,65,13,5,19,102,57,22,38
51,SRB,NED,23,18,25,25,23,25,25,25,19,79,9,3,16,107,89,8,12
52,DOM,RUS,24,16,25,31,23,25,34,25,23,59,9,5,21,94,72,14,26
