Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,Player 1 Kills,Player 1 Errors,Player 1 Total Attacks,Player 1 Hit Pct,Player 1 Assists,Player 1 Aces,Player 1 SErr,Player 1 Digs,Player 1 RErr,Player 1 Block Solos,Player 1 Block Assists,Player 1 BErr,Player 1 PTS,Player 5 Kills,Player 5 Errors,Player 5 Total Attacks,Player 5 Hit Pct,Player 5 Assists,Player 5 Aces,Player 5 SErr,Player 5 Digs,Player 5 RErr,Player 5 Block Solos,Player 5 Block Assists,Player 5 BErr,Player 5 PTS
8302019,FIU,W 3 - 1,4,58.0,16.0,130.0,0.32299999999999995,56.0,3.0,10.0,52.0,3.0,4.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8302019,Marshall,W 3 - 1,4,60.0,14.0,131.5,0.3495,58.5,4.0,7.5,53.0,3.0,3.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8312019,UT Martin,W 3 - 0,3,50.66666666666666,12.0,118.0,0.321,49.66666666666666,6.0,6.333333333333332,50.0,2.333333333333333,3.0,14.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8312019,Santa Clara,L 0 - 3,3,49.25,14.0,115.5,0.2985,47.0,5.25,6.25,48.75,3.75,3.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9062019,Oregon St.,W 3 - 0,3,49.0,12.2,113.6,0.32,46.2,4.8,6.0,46.8,3.6,2.8,11.2,2.6,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9062019,Oklahoma,L 2 - 3,5,49.33333333333334,15.0,124.0,0.28750000000000003,46.5,4.333333333333333,6.5,51.83333333333334,3.6666666666666665,2.6666666666666665,13.333333333333336,2.333333333333333,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9082019,Yale,W 3 - 1,4,50.714285714285715,14.428571428571427,124.71428571428572,0.29957142857142866,47.28571428571429,4.428571428571429,7.0,52.28571428571429,3.2857142857142856,2.7142857142857144,13.714285714285715,2.2857142857142856,28.714285714285715,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.42857142857142855,7.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9132019,"FGCU @ Lexington, Ky.",W 3 - 0,3,49.25,14.625,121.5,0.2911250000000001,45.875,4.625,8.25,49.875,3.125,2.625,12.75,2.125,31.375,0.0,0.0,0.0,0.0,1.25,0.0,0.5,7.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9132019,"Cleveland St. @ Lexington, Ky.",W 3 - 1,4,50.0,16.0,125.77777777777777,0.27888888888888896,46.22222222222222,4.4444444444444455,8.222222222222221,51.22222222222222,3.111111111111111,2.7777777777777777,13.333333333333336,1.8888888888888888,35.888888888888886,0.0,0.0,0.0,0.0,1.3333333333333333,0.2222222222222222,0.4444444444444444,8.0,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9142019,@ Kentucky,W 3 - 2,5,49.7,17.8,129.7,0.2589000000000001,46.0,4.6,8.3,52.3,3.1,3.3,13.8,2.1,39.3,0.0,0.0,0.0,0.0,1.3,0.2,0.4,8.9,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9202019,"Stetson @ Tampa, FL",W 3 - 1,4,49.7,17.7,131.3,0.2561000000000001,45.6,5.0,7.8,53.2,3.2,3.4,13.6,1.7,47.3,0.0,0.0,0.0,0.0,1.3,0.4,0.4,9.4,0.1,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
