Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,Player 1 Kills,Player 1 Errors,Player 1 Total Attacks,Player 1 Hit Pct,Player 1 Assists,Player 1 Aces,Player 1 SErr,Player 1 Digs,Player 1 RErr,Player 1 Block Solos,Player 1 Block Assists,Player 1 BErr,Player 1 PTS
8302019,"SFA @ Dallas, TX",L 1 - 3,4,56.0,28.0,170.0,0.165,55.0,3.0,12.0,78.0,8.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
8302019,@ SMU,L 0 - 3,3,45.5,24.5,142.0,0.14400000000000002,43.5,3.0,7.5,62.5,6.5,0.5,10.0,2.5,21.5,0.0,0.0,0.0,0.0,10.0,0.0,0.5,5.5,0.0,0.0,0.0,0.0,0.0
8312019,"Bradley @ Dallas, TX",W 3 - 1,4,51.33333333333334,21.0,152.33333333333334,0.19033333333333333,49.0,4.0,7.0,68.33333333333333,4.666666666666667,0.6666666666666666,9.333333333333334,2.0,14.333333333333336,0.3333333333333333,0.0,0.6666666666666666,0.16666666666666666,16.0,0.0,0.6666666666666666,6.666666666666668,0.0,0.0,0.0,0.0,0.3333333333333333
9062019,Houston,L 1 - 3,4,50.25,19.5,148.25,0.2015,48.0,4.0,8.0,66.25,4.25,1.0,9.0,1.75,25.0,0.25,0.0,0.5,0.125,17.75,0.0,0.75,7.25,0.0,0.0,0.0,0.0,0.25
9072019,UTRGV,W 3 - 0,3,49.2,18.2,140.2,0.2204,46.4,5.0,8.2,63.2,3.8,0.8,8.0,1.4,31.2,0.4,0.0,0.6,0.3,17.2,0.6,0.6,6.6,0.0,0.0,0.0,0.0,1.0
9072019,Maryland,L 1 - 3,4,49.16666666666666,18.83333333333333,138.33333333333334,0.21850000000000006,46.33333333333334,5.166666666666667,8.5,59.83333333333334,4.5,0.8333333333333334,8.666666666666666,1.3333333333333333,36.333333333333336,0.3333333333333333,0.0,0.5,0.25,17.833333333333332,0.6666666666666666,0.6666666666666666,6.0,0.0,0.0,0.0,0.0,1.0
9132019,"SIUE @ Tulsa, OK",W 3 - 1,4,49.714285714285715,19.428571428571427,140.0,0.2158571428571429,46.714285714285715,5.857142857142858,9.571428571428571,58.28571428571429,4.0,1.1428571428571428,8.0,1.1428571428571428,40.857142857142854,0.2857142857142857,0.0,0.42857142857142855,0.21428571428571427,17.857142857142858,0.5714285714285714,0.7142857142857143,6.142857142857142,0.0,0.0,0.0,0.0,0.8571428571428571
9132019,@ Tulsa,W 3 - 1,4,50.625,20.0,141.25,0.216375,47.25,5.875,10.125,59.125,4.625,1.25,8.25,1.0,44.5,0.25,0.125,0.875,0.15625,17.75,0.625,0.75,6.125,0.125,0.0,0.0,0.0,0.875
9142019,"Houston Baptist @ Tulsa, OK",W 3 - 2,5,50.88888888888889,20.555555555555557,142.77777777777774,0.21244444444444446,47.111111111111114,6.0,10.666666666666666,60.0,4.4444444444444455,1.4444444444444444,8.0,0.8888888888888888,46.88888888888889,0.3333333333333333,0.1111111111111111,0.8888888888888888,0.25,17.88888888888889,0.6666666666666666,0.7777777777777778,6.0,0.1111111111111111,0.0,0.0,0.0,1.0
9172019,UIW,W 3 - 0,3,49.7,18.9,136.4,0.2355,46.2,7.0,10.4,57.7,4.0,1.4,8.0,0.9,48.2,0.3,0.1,0.8,0.225,17.5,0.9,0.7,6.4,0.1,0.0,0.0,0.0,1.2
