Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,Player 5 Kills,Player 5 Errors,Player 5 Total Attacks,Player 5 Hit Pct,Player 5 Assists,Player 5 Aces,Player 5 SErr,Player 5 Digs,Player 5 RErr,Player 5 Block Solos,Player 5 Block Assists,Player 5 BErr,Player 5 PTS
8302019,"UCF @ Oxford, Miss.",L 2 - 3,5,53.0,26.0,143.0,0.189,45.0,3.0,12.0,39.0,5.0,3.0,8.0,2.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8312019,@ Ole Miss,W 3 - 1,4,50.0,21.0,140.0,0.2075,45.5,4.5,11.5,53.5,5.0,2.0,17.0,1.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
9032019,South Dakota,W 3 - 0,3,50.33333333333334,17.666666666666668,137.0,0.24,45.33333333333334,4.666666666666667,10.0,54.0,4.666666666666667,1.3333333333333333,14.0,0.6666666666666666,43.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
9062019,Penn St.,L 0 - 3,3,45.5,18.0,126.5,0.2115,41.25,4.0,9.25,50.25,4.5,1.0,12.0,0.5,41.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
9082019,LSU,L 2 - 3,5,47.0,20.6,136.6,0.19399999999999998,43.0,3.4,10.2,56.8,4.6,1.2,13.2,0.6,46.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0
9102019,UNI,W 3 - 1,4,49.33333333333334,19.666666666666668,142.16666666666666,0.2068333333333333,45.33333333333334,4.0,9.5,62.16666666666666,4.166666666666667,1.1666666666666667,13.0,0.8333333333333334,51.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.5
9132019,"Western Caro. @ Boone, NC",W 3 - 1,4,52.28571428571429,20.142857142857142,146.14285714285714,0.21671428571428566,47.57142857142857,5.285714285714286,9.571428571428571,61.42857142857143,4.428571428571429,1.4285714285714286,12.571428571428573,1.0,56.714285714285715,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.5714285714285714,1.0,0.0,0.0,0.0,0.0,0.7142857142857143
9132019,@ App State,W 3 - 0,3,51.75,18.5,139.125,0.246625,46.875,4.875,9.25,58.625,4.0,1.375,12.5,1.0,56.75,0.0,0.0,0.0,0.0,0.0,0.625,0.5,0.875,0.0,0.0,0.0,0.0,0.625
9142019,"NC State @ Boone, N.C.",W 3 - 1,4,52.444444444444436,18.11111111111111,138.66666666666666,0.2546666666666667,47.444444444444436,5.222222222222221,8.666666666666666,58.22222222222222,4.333333333333333,1.5555555555555556,13.0,1.0,59.055555555555564,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.4444444444444444,0.8888888888888888,0.0,0.0,0.0,0.0,0.5555555555555556
9192019,"Lipscomb @ Iowa City, IA",W 3 - 0,3,50.2,17.1,132.8,0.25670000000000004,45.4,5.5,8.4,55.9,4.2,1.5,14.0,0.9,58.2,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.8,0.0,0.0,0.0,0.0,0.5
