Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
9,"Mares, Ashton",Sr,OH,6-0,124,0,124,33.0,33.0,284,133,1038,0.145,50.0,25.0,35.0,361.0,33.0,6.0,52.0,5.0,341.0,1.0,
7,"Montini, Natalie",Sr,MB,6-0,124,0,124,33.0,32.0,325,94,679,0.34,5.0,6.0,8.0,60.0,,19.0,99.0,13.0,399.5,3.0,
22,"Ceriani, Lael",Sr,OH,6-1,124,0,124,33.0,33.0,375,142,1066,0.21899999999999997,21.0,19.0,9.0,268.0,18.0,4.0,39.0,3.0,417.5,,
10,"Markwith, Brandee",So,L/DS,5-8,123,0,123,33.0,,2,1,9,0.111,98.0,29.0,25.0,616.0,35.0,,,,31.0,2.0,
11,"Osuegbu, Toya",So,MH,5-11,123,0,123,33.0,33.0,182,71,461,0.24100000000000002,5.0,,4.0,24.0,,25.0,115.0,15.0,264.5,1.0,
3,"Wood, Bri",Fr,RS,5-10,118,0,118,33.0,27.0,287,99,721,0.261,6.0,,2.0,83.0,,2.0,65.0,4.0,321.5,1.0,
2,"Martin, Shelby",Fr,S,5-11,116,0,116,33.0,30.0,104,40,245,0.261,1084.0,17.0,20.0,193.0,1.0,1.0,42.0,19.0,143.0,29.0,
1,"Jessett, Alex",Sr,L,5-6,112,0,112,32.0,5.0,2,0,4,0.5,25.0,12.0,20.0,224.0,18.0,,,,14.0,,
12,"Hallow, Maggie",So,DS,5-9,83,0,83,31.0,,2,3,19,-0.053,5.0,3.0,6.0,79.0,8.0,,,,5.0,,
8,"Williams, Megan",Sr,DS,5-1,53,0,53,23.0,1.0,0,0,0,,3.0,3.0,10.0,10.0,,,,,3.0,,
3,"Clark, Madison",Jr,S,6-2,48,0,48,19.0,4.0,23,4,76,0.25,183.0,4.0,4.0,56.0,,1.0,16.0,1.0,36.0,13.0,
14,"Heyliger-Powell, Kaiya",Fr,OH,6-1,21,0,21,14.0,,21,11,58,0.172,,,,4.0,,1.0,6.0,5.0,25.0,1.0,
4,"Dunn, Samantha",Fr,DS,5-8,13,0,13,8.0,,0,0,0,,,,2.0,4.0,,,,,,,
13,"Smith, Logan",Fr,S,5-10,8,0,8,7.0,,0,0,0,,13.0,2.0,,4.0,,,,,2.0,1.0,
11,"Andruskova, Stephie",Fr,OH,6-1,2,0,2,2.0,,1,2,4,-0.25,,,,,,,,,1.0,,
-,TEAM,-,-,-,-,-,13,9.0,,0,0,0,,,,1.0,,11.0,,,,,,
-,Totals,-,-,-,-,-,124,,,1608,600,4380,0.23,1498.0,120.0,146.0,1986.0,124.0,59.0,434.0,65.0,2004.0,52.0,
-,Opponent Totals,-,-,-,-,-,124,,,1582,696,4529,0.196,1477.0,124.0,212.0,1899.0,120.0,37.0,292.0,37.0,1889.0,67.0,
