Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
1,"Bars, Lauren",Fr,S,6-2,138,0,138,36.0,56,20,146,0.247,737.0,26.0,18.0,171.0,,5.0,46.0,1.0,110.0,13.0,
13,"Stroup, Emily",So,OH,6-0,138,0,138,36.0,474,171,1096,0.276,36.0,27.0,62.0,291.0,18.0,15.0,36.0,4.0,534.0,1.0,
15,"Gibson, Kate",Sr,OH,6-0,138,0,138,36.0,423,246,1325,0.134,34.0,40.0,67.0,443.0,22.0,16.0,42.0,5.0,500.0,2.0,1.0
3,"Fate, Jordan",So,S,5-9,137,0,137,36.0,13,5,34,0.235,735.0,3.0,4.0,245.0,1.0,,,1.0,16.0,18.0,
14,"Thompson, Lexi",Sr,OH,6-1,137,0,137,36.0,384,176,1199,0.17300000000000001,36.0,20.0,21.0,364.0,36.0,17.0,54.0,3.0,448.0,3.0,
12,"Adams, Caroline",Jr,DS,5-3,134,0,134,35.0,1,0,2,0.5,114.0,8.0,16.0,522.0,34.0,,1.0,,9.5,3.0,
16,"Warnell, Nayo",So,MB,6-1,134,0,134,35.0,232,57,512,0.342,1.0,1.0,16.0,44.0,2.0,24.0,98.0,6.0,306.0,2.0,
5,"Purcell, Nicole",So,L/DS,5-9,123,0,123,35.0,0,1,4,-0.25,12.0,18.0,9.0,90.0,3.0,,,,18.0,,
6,"Scott, Bayleigh",Fr,MB,6-0,121,0,121,34.0,143,50,302,0.308,1.0,,,32.0,,16.0,75.0,4.0,196.5,1.0,
9,"Wernentin, Caitlin",Jr,OH,6-0,62,0,62,22.0,89,34,236,0.233,2.0,,,26.0,,2.0,16.0,,99.0,,
4,"Gallagher, Delaney",Jr,MB,6-2,31,0,31,13.0,24,12,80,0.15,,,,3.0,1.0,6.0,14.0,,37.0,1.0,
10,"Fischer, Audrey",Jr,MB,6-1,8,0,8,4.0,5,4,16,0.062,,,,2.0,,,4.0,1.0,7.0,1.0,
2,"Mulkey, Leah",Fr,OH,6-0,8,0,8,8.0,2,3,11,-0.091,,,1.0,5.0,,,,,2.0,,
-,TEAM,-,-,-,-,-,24,12.0,0,0,0,,,,,,14.0,,,,,,
-,Totals,-,-,-,-,-,138,,1846,779,4963,0.215,1708.0,143.0,214.0,2238.0,131.0,101.0,386.0,25.0,2283.0,45.0,
-,Opponent Totals,-,-,-,-,-,138,,1705,757,5035,0.188,1576.0,131.0,275.0,2031.0,144.0,83.0,494.0,38.0,2166.0,65.0,
