Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
5,"Cunningham, Taylor",Jr,MB,5-11,108,0,108,30.0,298,95,726,0.28,11.0,15.0,26.0,109.0,2.0,12.0,117.0,9.0,383.5,1.0,
4,"Vaughn, Jordyn",Sr,OH,5-11,108,0,108,30.0,412,201,1210,0.174,19.0,23.0,44.0,257.0,21.0,2.0,44.0,4.0,459.0,1.0,
1,"Ward, Jaclyn",Jr,S,5-7,108,0,108,30.0,58,21,197,0.188,1080.0,12.0,27.0,254.0,,1.0,66.0,7.0,104.0,31.0,
12,"White, Brooke",Sr,OH,5-8,107,0,107,30.0,367,172,1064,0.183,22.0,27.0,25.0,328.0,34.0,3.0,33.0,6.0,413.5,1.0,
16,"Wallace, Madison",Jr,OH,6-1,105,0,105,30.0,99,62,333,0.111,25.0,26.0,28.0,269.0,10.0,,44.0,7.0,147.0,1.0,
11,"Miller, Addison",So,L/DS,5-9,102,0,102,30.0,0,0,5,0.0,70.0,16.0,25.0,396.0,16.0,,,,16.0,,
8,"Littlefield, Courtney",Fr,MB,6-3,96,0,96,29.0,73,43,213,0.141,7.0,,,6.0,,11.0,70.0,7.0,119.0,1.0,
2,"Traylor, Ashleigh",So,DS,5-8,40,0,40,20.0,0,0,2,0.0,,,1.0,38.0,5.0,,,,,,
18,"Jones, Kayla",So,L/DS,5-8,37,0,37,19.0,0,0,1,0.0,7.0,,3.0,45.0,10.0,,,,,,
10,"Sheaff, Caroline",Fr,OH,6-2,26,0,26,16.0,18,10,48,0.16699999999999998,1.0,1.0,1.0,5.0,,1.0,13.0,,26.5,,
9,"Lewis, Ashley",Fr,OH,6-0,20,0,20,11.0,21,9,61,0.19699999999999998,,1.0,5.0,6.0,1.0,,1.0,1.0,22.5,,
6,"Kiley, Jordan",Fr,DS,6-0,20,0,20,13.0,11,8,42,0.071,,,,,,,3.0,,12.5,,
15,"Gooch, Amanda",Jr,MB,5-10,20,0,20,7.0,34,13,88,0.239,2.0,,1.0,5.0,,,10.0,2.0,39.0,,
7,"Miles, Madilyn",Fr,S,5-10,13,0,13,11.0,4,3,12,0.083,38.0,,1.0,9.0,,,,,4.0,,
3,"Martin, Amy",Fr,OH,5-8,13,0,13,9.0,0,1,2,-0.5,,2.0,4.0,1.0,,,,,2.0,,
-,TEAM,-,-,-,-,-,28,15.0,0,0,0,,1.0,,,,21.0,,,,,,
-,Totals,-,-,-,-,-,108,,1395,638,4004,0.18899999999999997,1283.0,123.0,191.0,1728.0,120.0,30.0,401.0,43.0,1748.5,36.0,
-,Opponent Totals,-,-,-,-,-,108,,1352,616,4032,0.183,1283.0,121.0,185.0,1722.0,122.0,43.0,401.0,45.0,1716.5,40.0,
