Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
9,"Bloss, Allison",Fr,MB,6-2,125,0,125,34.0,196,73,477,0.258,8.0,1.0,1.0,14.0,,19.0,102.0,5.0,267.0,,
18,"Atwood, Chandler",So,OH,6-0,125,0,125,34.0,380,160,1117,0.19699999999999998,4.0,,,76.0,4.0,10.0,52.0,5.0,416.0,,
16,"Hill, Emily",So,OH,6-1,125,0,125,34.0,416,195,1321,0.16699999999999998,21.0,23.0,26.0,307.0,26.0,10.0,51.0,6.0,474.5,1.0,
13,"Klepetka, Kate",Sr,DS,5-8,125,0,125,34.0,5,7,41,-0.049,80.0,28.0,33.0,481.0,22.0,,,,33.0,,
12,"Keenan, Katy",Jr,MB,6-1,122,0,122,33.0,259,76,565,0.324,3.0,8.0,19.0,58.0,1.0,10.0,86.0,15.0,320.0,1.0,
4,"Owens, Missy",Jr,S,6-1,112,0,112,31.0,131,34,277,0.35,1217.0,22.0,44.0,258.0,,3.0,48.0,3.0,180.0,17.0,
7,"Akiu, Reyn",Jr,L/DS,5-2,106,0,106,29.0,3,2,20,0.05,64.0,16.0,22.0,373.0,14.0,,,,19.0,1.0,
6,"Redding, Sarah",Jr,OH,6-1,105,0,105,30.0,226,102,578,0.215,3.0,,,41.0,,3.0,37.0,5.0,247.5,,
5,"Solano, Emerson",Fr,DS,5-7,96,0,96,29.0,4,12,41,-0.195,17.0,12.0,34.0,171.0,13.0,,,,16.0,,
2,"Rittimann, Kylie",So,DS,5-10,56,0,56,25.0,2,2,18,0.0,13.0,2.0,10.0,77.0,7.0,,,,4.0,1.0,
8,"Lopez, Madison",Jr,DS,5-9,37,0,37,19.0,0,1,10,-0.1,7.0,5.0,5.0,42.0,1.0,,,,5.0,,
1,"Harman, Haley",Fr,OH,6-1,35,0,35,17.0,31,6,112,0.223,,,,11.0,,,5.0,1.0,33.5,,
3,"Cowan, Kyndal",Jr,S,5-10,19,0,19,9.0,4,1,17,0.17600000000000002,118.0,2.0,7.0,35.0,,,1.0,,6.5,6.0,
10,"Dobbins, Eighmy",Fr,DS,5-10,18,0,18,10.0,0,0,1,0.0,2.0,,2.0,6.0,,,,,,,
24,"Martinez, Taylor",So,MB,6-1,10,0,10,7.0,3,5,11,-0.182,,1.0,1.0,,,,3.0,,5.5,,
27,"Haskins, Taylor",Jr,OH,6-1,5,0,5,4.0,0,1,7,-0.14300000000000002,,,2.0,2.0,1.0,,,,,,
14,"Standard, Ally",So,MB,6-4,5,0,5,5.0,0,0,2,0.0,,,,,,,,,,,
-,TEAM,-,-,-,-,-,17,15.0,0,0,0,,,,,,17.0,,,,,,
-,Totals,-,-,-,-,-,125,,1660,677,4615,0.213,1557.0,120.0,206.0,1952.0,106.0,55.0,385.0,40.0,2027.5,27.0,
-,Opponent Totals,-,-,-,-,-,125,,1646,653,4547,0.218,1559.0,106.0,243.0,1946.0,120.0,30.0,532.0,73.0,2048.0,40.0,
