Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
99,"Pedersen-Henry, Amanda",Jr,MB,6-0,108,0,108,30.0,30.0,287,106,643,0.281,12.0,21.0,32.0,95.0,2.0,16.0,51.0,4.0,349.5,3.0,
17,"Fitzgerald, Allison",Sr,L/DS,5-10,108,0,108,30.0,7.0,4,1,10,0.3,29.0,18.0,30.0,381.0,28.0,,1.0,,22.5,1.0,
4,"Decker, Emma",So,S,6-3,100,0,100,28.0,25.0,80,17,180,0.35,1054.0,22.0,49.0,176.0,1.0,4.0,33.0,3.0,122.5,9.0,
8,"Olsonoski, Allison",So,MB,6-1,99,0,99,29.0,26.0,133,37,369,0.26,4.0,,,27.0,1.0,2.0,48.0,5.0,159.0,1.0,
21,"Allman, Sarah",Fr,L/DS,5-8,93,0,93,27.0,10.0,2,1,5,0.2,9.0,16.0,49.0,185.0,14.0,,,,18.0,,
20,"Lough, Regan",So,L,5-6,92,0,92,25.0,5.0,2,1,7,0.14300000000000002,60.0,22.0,27.0,313.0,24.0,,,,24.0,,
2,"Fairchild, Remy",So,OH,6-0,85,0,85,25.0,18.0,217,100,673,0.174,8.0,3.0,4.0,129.0,14.0,5.0,9.0,2.0,229.5,,
28,"Loitz, Allie",Sr,OH,6-3,82,0,82,23.0,23.0,276,111,694,0.23800000000000002,28.0,32.0,39.0,197.0,16.0,5.0,28.0,4.0,327.0,2.0,
15,"Potts, Mallory",Fr,OH,6-0,76,0,76,24.0,10.0,238,72,646,0.257,7.0,,1.0,30.0,2.0,4.0,20.0,,252.0,,
68,"Wolf, Darcy",Jr,OH,6-0,74,0,74,24.0,13.0,156,64,511,0.18,5.0,1.0,2.0,45.0,2.0,6.0,9.0,6.0,167.5,,
13,"Massenburg, Myah",So,MB,5-11,42,0,42,16.0,7.0,44,20,106,0.226,1.0,,,7.0,,2.0,17.0,4.0,54.5,,
11,"Knight, Ashley",Jr,S,5-8,35,0,35,13.0,5.0,3,3,10,0.0,137.0,13.0,8.0,58.0,,,2.0,,17.0,5.0,
22,"Mathews, Michelle",Jr,DS,5-5,21,0,21,14.0,1.0,0,0,0,,,3.0,9.0,11.0,3.0,,,,3.0,,
19,"Davine, Emily",Jr,OH,6-0,2,0,2,2.0,,0,0,0,,,,,,,,,,,,
-,TEAM,-,-,-,-,-,15,12.0,,1,0,1,1.0,,,,,11.0,,,,1.0,,
-,Totals,-,-,-,-,-,108,,,1443,533,3855,0.23600000000000002,1354.0,151.0,250.0,1654.0,118.0,44.0,218.0,28.0,1747.0,21.0,
-,Opponent Totals,-,-,-,-,-,108,,,1373,542,3855,0.21600000000000003,1261.0,117.0,203.0,1574.0,151.0,58.0,319.0,69.0,1707.5,38.0,
