Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
11,"Ryan, Alayna",Fr,OH,5-11,108,0,108,32.0,,0,2,6,-0.33299999999999996,5.0,13.0,41.0,35.0,,,,,13.0,1.0,
7,"Stephens, Courtney",Sr,L,5-4,108,0,108,32.0,18.0,0,1,3,-0.33299999999999996,41.0,22.0,39.0,246.0,26.0,,,,22.0,,
5,"Rick, Maggie",Jr,S,5-10,108,0,108,32.0,32.0,82,15,216,0.31,1227.0,19.0,23.0,175.0,,1.0,32.0,4.0,118.0,10.0,
3,"Serrano, Daniele",So,MB,6-1,108,0,108,32.0,32.0,236,49,541,0.34600000000000003,7.0,1.0,,26.0,,24.0,70.0,4.0,296.0,1.0,
12,"VanLiew, Cortney",Fr,OH,5-11,106,0,106,32.0,29.0,308,130,886,0.201,11.0,17.0,27.0,223.0,27.0,5.0,26.0,5.0,343.0,,
1,"Rhoades, Karissa",Jr,OH,5-11,106,0,106,32.0,,2,1,11,0.091,99.0,21.0,30.0,460.0,23.0,,,,23.0,,
14,"Carroll, Amanda",Jr,OH,5-10,103,0,103,31.0,30.0,454,132,1109,0.29,18.0,34.0,42.0,344.0,12.0,11.0,46.0,4.0,522.0,,
8,"Burnam, Snowy",Fr,OH,5-11,83,0,83,28.0,9.0,187,62,497,0.252,11.0,2.0,2.0,119.0,2.0,5.0,49.0,3.0,218.5,1.0,
6,"Krivdo, Kaitlan",Jr,OPP,6-0,82,0,82,31.0,22.0,104,45,267,0.221,1.0,,,20.0,,4.0,72.0,5.0,144.0,,
2,"Borgiotti, Giovanna",So,OH,5-9,53,0,53,21.0,7.0,94,51,258,0.16699999999999998,3.0,1.0,4.0,34.0,3.0,2.0,18.0,2.0,106.0,,
15,"Pickering, Sharonda",Fr,MB,6-2,52,0,52,22.0,12.0,34,10,82,0.293,1.0,,,5.0,1.0,12.0,36.0,1.0,64.0,,
17,"DeBell, Ciara",So,OH,6-2,17,0,17,15.0,,12,10,34,0.059000000000000004,1.0,,3.0,5.0,3.0,2.0,2.0,,15.0,,
10,"Waller, Morgan",So,MB,6-0,6,0,6,4.0,1.0,2,2,10,0.0,,,,,,,4.0,,4.0,,
-,TEAM,-,-,-,-,-,18,10.0,,0,0,0,,,,,,15.0,,,,,,
-,Totals,-,-,-,-,-,108,,,1515,510,3920,0.256,1425.0,130.0,211.0,1692.0,112.0,66.0,355.0,28.0,1888.5,13.0,
-,Opponent Totals,-,-,-,-,-,108,,,1314,621,3887,0.17800000000000002,1224.0,112.0,221.0,1651.0,130.0,47.0,309.0,34.0,1627.5,42.0,
