Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MP.1,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
6,"Bojanjac, Lucija",Sr,S,5-8,106,0,106,29.0,,22.0,11,2,26,0.34600000000000003,591.0,8.0,24.0,181.0,2.0,,2.0,,20.0,14.0,
7,"Milos, Laura",Sr,OH,5-10,106,0,106,29.0,,29.0,560,187,1287,0.29,23.0,55.0,75.0,262.0,22.0,3.0,38.0,10.0,637.0,1.0,
1,"Roe, Tori",Jr,L,5-6,106,0,106,29.0,,,5,2,12,0.25,120.0,13.0,8.0,362.0,29.0,,,,18.0,2.0,
10,"Bergman, Bria",Jr,S,5-9,106,0,106,29.0,,7.0,29,10,67,0.284,561.0,8.0,17.0,119.0,,,5.0,1.0,39.5,12.0,
9,"Blomquist, Morgan",Fr,MB,6-0,104,0,104,29.0,,29.0,126,41,324,0.262,8.0,5.0,6.0,45.0,,9.0,65.0,11.0,172.5,,
12,"Greenlee, Bri",So,OH,6-1,95,0,95,27.0,,10.0,103,66,367,0.10099999999999999,3.0,2.0,2.0,39.0,,3.0,41.0,6.0,128.5,,
9,"Madison, CeCe",So,OH,5-10,84,0,84,24.0,,22.0,267,125,634,0.22399999999999998,15.0,23.0,19.0,207.0,25.0,,33.0,10.0,306.5,3.0,
2,"Cox, Shelby",Sr,MB,6-1,80,0,80,26.0,,19.0,148,53,357,0.266,7.0,3.0,7.0,24.0,1.0,2.0,41.0,6.0,173.5,1.0,
8,"Mikulic, Katarina",So,OH,5-10,64,0,64,20.0,,11.0,6,6,28,0.0,11.0,17.0,23.0,96.0,24.0,1.0,,,24.0,,
16,"Picht, Lara",Jr,OH,5-11,60,0,60,20.0,,1.0,87,58,295,0.098,2.0,,,39.0,6.0,,13.0,1.0,93.5,,
14,"Doran, Megan",Jr,MB,6-1,43,0,43,12.0,,12.0,49,17,106,0.302,2.0,,,10.0,,1.0,48.0,4.0,74.0,1.0,
11,"Nero, Taylan",So,OH,5-11,35,0,35,12.0,,9.0,41,20,126,0.16699999999999998,7.0,2.0,14.0,16.0,,4.0,11.0,1.0,52.5,1.0,
4,"DiPronio, Maggie",Sr,DS,5-8,32,0,32,15.0,,3.0,0,1,1,-1.0,2.0,1.0,12.0,33.0,5.0,,,,1.0,,
-,TEAM,-,-,-,-,-,9,8.0,,,0,0,0,,,,,,8.0,,,,,,
-,Totals,-,-,-,-,-,106,,,,1432,588,3630,0.233,1352.0,137.0,207.0,1433.0,122.0,23.0,297.0,50.0,1740.5,35.0,
-,Opponent Totals,-,-,-,-,-,106,,,,1292,476,3459,0.23600000000000002,1217.0,122.0,212.0,1402.0,137.0,33.0,323.0,63.0,1608.5,24.0,
