Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
22,"Donovan, Meghan",So,S,6-2,116,0,116,34.0,66,9,147,0.38799999999999996,1270.0,18.0,27.0,298.0,,,58.0,5.0,113.0,13.0,
15,"Gilliam, Sydney",Jr,DS,5-5,116,0,116,34.0,0,0,0,,2.0,29.0,38.0,38.0,,1.0,1.0,,30.5,,
20,"Anderson, Cassidy",Sr,DS,5-8,116,0,116,34.0,1,1,7,0.0,49.0,26.0,49.0,243.0,28.0,,,,27.0,1.0,
19,"Bass, Majesti",Jr,MB,6-2,115,0,115,34.0,285,102,611,0.3,,2.0,,10.0,,9.0,77.0,15.0,334.5,2.0,
24,"Ritchie, Rachel",Fr,OH,5-10,113,0,113,34.0,421,166,1076,0.237,11.0,25.0,37.0,154.0,12.0,2.0,23.0,1.0,459.5,,
1,"Ceasar, T'Ara",Fr,OH,6-1,112,0,112,34.0,464,190,1133,0.242,19.0,44.0,61.0,294.0,20.0,8.0,41.0,8.0,536.5,1.0,
8,"Glover, Kendall",Fr,DS,5-10,111,0,111,33.0,2,2,6,0.0,103.0,31.0,36.0,404.0,15.0,,,,33.0,,
2,"Dachs, Amanda",Sr,OH,6-1,88,0,88,29.0,100,42,269,0.21600000000000003,10.0,1.0,9.0,95.0,9.0,1.0,29.0,5.0,116.5,1.0,
17,"Young, Kianna",Fr,MB,6-2,73,0,73,27.0,88,33,219,0.251,1.0,,,8.0,,1.0,42.0,1.0,110.0,1.0,
7,"Kazor, Kendall",Sr,S,6-2,68,0,68,26.0,93,43,237,0.21100000000000002,,,,18.0,,1.0,26.0,4.0,107.0,,
11,"Karstens, Anna Kate",Jr,MB,6-3,61,0,61,23.0,36,27,144,0.062,1.0,,,14.0,,3.0,56.0,1.0,67.0,,
9,"Hans, Dalaney",Fr,S,5-11,30,0,30,14.0,1,1,2,0.0,11.0,2.0,5.0,12.0,,,1.0,,3.5,,
12,"Houser, Katie",Jr,OH,6-0,20,0,20,12.0,38,16,109,0.20199999999999999,1.0,1.0,10.0,28.0,3.0,,,,39.0,,
6,"Chandler, Brynn",Fr,S,5-11,13,0,13,7.0,0,1,1,-1.0,19.0,3.0,2.0,9.0,2.0,,,,3.0,2.0,
5,"McNamara, Erin",Fr,MB,6-0,1,0,1,1.0,0,0,0,,,,,,,,,,,,
-,TEAM,-,-,-,-,-,23,16.0,0,0,0,,,,,,25.0,,,,,,
-,Totals,-,-,-,-,-,116,,1595,633,3961,0.243,1497.0,182.0,274.0,1625.0,114.0,26.0,354.0,40.0,1980.0,21.0,
-,Opponent Totals,-,-,-,-,-,116,,1362,586,3845,0.20199999999999999,1282.0,115.0,213.0,1470.0,182.0,71.0,416.0,38.0,1756.0,44.0,
