Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
05,"Fey, Keaupono",Sr,MB,6-0,121,0,121,32.0,32.0,296,91,682,0.301,7.0,14.0,28.0,53.0,3.0,21.0,92.0,10.0,377.0,,
9,"Yamaguchi, Siani",Fr,,-,121,0,121,32.0,32.0,62,19,168,0.256,1218.0,30.0,33.0,296.0,,4.0,51.0,8.0,121.5,23.0,
12,"Gunter, Sydney",Fr,,-,121,0,121,32.0,28.0,323,141,810,0.225,3.0,1.0,2.0,43.0,1.0,6.0,44.0,7.0,352.0,,
20,"Lackey, Hannah",Fr,,-,120,0,120,32.0,4.0,3,1,8,0.25,47.0,29.0,23.0,273.0,24.0,,,,32.0,1.0,
03,"Skelton, Carlie",Jr,DS,5-2,107,0,107,28.0,5.0,1,0,8,0.125,60.0,30.0,20.0,446.0,32.0,,,,31.0,1.0,
1,"Sao, Puaoolelagi",Fr,,-,95,0,95,28.0,5.0,0,0,2,0.0,34.0,19.0,38.0,232.0,19.0,,,,19.0,,
7,"Kleffner, Jace",So,,-,84,0,84,24.0,15.0,232,90,700,0.203,3.0,4.0,10.0,55.0,18.0,2.0,20.0,6.0,248.0,,
17,"Vaucher, Marion",Jr,,-,73,0,73,25.0,9.0,176,87,580,0.153,1.0,,,45.0,11.0,2.0,21.0,9.0,188.5,1.0,
6,"Spevak, Hanna",Fr,,-,69,0,69,22.0,1.0,2,0,4,0.5,7.0,25.0,26.0,55.0,14.0,,,,27.0,1.0,
4,"Neyer, Tanja",So,,-,69,0,69,23.0,18.0,50,34,150,0.107,1.0,,,9.0,,7.0,38.0,7.0,76.0,,
10,"Wu, Phoebe",Jr,,-,65,0,65,19.0,17.0,226,105,711,0.17,8.0,17.0,12.0,192.0,12.0,2.0,10.0,,250.0,,
21,"Sandlin, Annie",Fr,,-,53,0,53,17.0,14.0,41,18,120,0.192,1.0,,,,,1.0,26.0,3.0,55.0,,
18,"Wilson, Ara",Fr,,-,44,0,44,14.0,9.0,95,65,333,0.09,3.0,6.0,7.0,72.0,14.0,,9.0,2.0,105.5,,
14,"Roper, Savannah",Fr,,-,29,0,29,13.0,3.0,0,0,0,,2.0,6.0,10.0,46.0,4.0,,,,6.0,,
13,"Schumacher, Cassidy",Fr,,-,12,0,12,8.0,,6,9,36,-0.083,1.0,,,1.0,,,2.0,,7.0,,
-,TEAM,-,-,-,-,-,55,21.0,,0,0,0,,,,2.0,,29.0,,,,,,
-,Totals,-,-,-,-,-,121,,,1513,660,4312,0.198,1396.0,181.0,211.0,1818.0,181.0,45.0,313.0,52.0,1895.5,27.0,
-,Opponent Totals,-,-,-,-,-,121,,,1446,637,4207,0.192,1322.0,181.0,220.0,1772.0,181.0,62.0,303.0,38.0,1840.5,45.0,
