Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
14,"Wright, Allie",Fr,MH,6-1,120,0,120,31.0,324,116,858,0.242,12.0,29.0,20.0,66.0,,20.0,64.0,11.0,405.0,,
10,"Eulitz, Erin",So,OH,5-10,120,0,120,31.0,352,152,1228,0.163,20.0,29.0,26.0,351.0,38.0,4.0,13.0,3.0,391.5,2.0,
2,"Henderson, Caroline",Fr,L,5-7,120,0,120,31.0,240,132,919,0.11800000000000001,22.0,13.0,30.0,336.0,31.0,2.0,17.0,4.0,263.5,3.0,
12,"Stewart, Ashton",Sr,MB,6-2,120,0,120,31.0,201,77,583,0.213,1.0,,,27.0,,15.0,51.0,10.0,241.5,,
17,"Brewington, Jaclyn",Jr,S,5-11,119,0,119,31.0,69,32,185,0.2,654.0,4.0,5.0,91.0,,2.0,36.0,15.0,93.0,46.0,
18,"Jones, Sierra",Fr,S,5-7,115,0,115,31.0,11,5,32,0.188,457.0,22.0,19.0,130.0,,,1.0,1.0,33.5,23.0,
1,"Gosnell, Daley",Jr,L/DS,5-9,110,0,110,29.0,1,6,34,-0.147,66.0,24.0,30.0,544.0,33.0,,,,25.0,8.0,
6,"Jones, Megan",So,L/DS,5-3,101,0,101,28.0,1,0,8,0.125,17.0,40.0,32.0,226.0,23.0,,,1.0,41.0,1.0,
15,"De Jong, Sydney",Fr,MB,6-1,77,0,77,20.0,153,67,420,0.205,3.0,,,41.0,1.0,4.0,34.0,6.0,174.0,,
11,"Shamley, Martina",Jr,MB,6-1,52,0,52,18.0,18,24,109,-0.055,,,,14.0,,2.0,12.0,3.0,26.0,1.0,
23,"Farmer, Taylor",Fr,L,5-8,35,0,35,15.0,1,0,4,0.25,8.0,2.0,9.0,85.0,15.0,,,,3.0,,
5,"Lankford, Sarah",Fr,S,5-9,9,0,9,6.0,1,1,6,0.0,7.0,3.0,,6.0,,,,,4.0,,
25,"Davis, Sierra",Jr,OH,6-1,8,0,8,3.0,11,12,60,-0.017,,,,5.0,2.0,,2.0,,12.0,,
-,TEAM,-,-,-,-,-,35,19.0,0,0,0,,,,,,28.0,,,,,,
-,Totals,-,-,-,-,-,120,,1383,624,4446,0.171,1267.0,166.0,171.0,1922.0,171.0,49.0,230.0,54.0,1713.0,84.0,
-,Opponent Totals,-,-,-,-,-,120,,1645,652,4472,0.222,1532.0,171.0,203.0,2101.0,166.0,62.0,294.0,72.0,2025.0,38.0,
