Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
20,"Sieck, Meredith",Fr,S,5-10,112,0,112,34.0,50,15,167,0.21,914.0,32.0,11.0,238.0,6.0,,21.0,4.0,92.5,31.0,
1,"Balsmeyer, Riley",Sr,S,5-7,112,0,112,34.0,3,1,20,0.1,62.0,25.0,14.0,212.0,24.0,,1.0,,28.5,3.0,
8,"Oliver, Courtney",Sr,MB,5-7,112,0,112,34.0,177,62,439,0.262,10.0,19.0,19.0,62.0,4.0,24.0,82.0,10.0,261.0,,
17,"Brooks, Terra",So,OH,5-10,111,0,111,34.0,290,155,885,0.153,27.0,30.0,23.0,251.0,27.0,7.0,46.0,2.0,350.0,1.0,
9,"Davis, Cierra",Jr,L/DS,5-3,110,0,110,33.0,15,8,103,0.068,35.0,19.0,20.0,287.0,26.0,,4.0,,36.0,,
6,"Gant, Jaelin",So,OH,5-1,108,0,108,34.0,169,96,603,0.121,10.0,5.0,6.0,98.0,21.0,5.0,47.0,4.0,202.5,1.0,
7,"Pride, Syretha",Sr,MH,5-9,106,0,106,32.0,239,85,524,0.294,5.0,3.0,4.0,26.0,3.0,38.0,77.0,12.0,318.5,,
10,"Figueiredo, Helea",So,DS,5-5,97,0,97,31.0,2,5,33,-0.091,64.0,10.0,6.0,308.0,17.0,,2.0,,13.0,3.0,
3,"Coleman, Mikel",So,OH,5-10,92,0,92,30.0,184,89,564,0.168,7.0,3.0,3.0,81.0,9.0,2.0,35.0,18.0,206.5,,
2,"Smith, Paris",Fr,RS,5-5,48,0,48,23.0,72,64,219,0.037000000000000005,3.0,,1.0,13.0,,,11.0,4.0,77.5,,
13,"Balsmeyer, Hannah",Sr,DS,5-3,16,0,16,11.0,2,0,2,1.0,,,5.0,13.0,6.0,,,,2.0,,
16,"Gray, Astonia",So,RS,5-10,15,0,15,11.0,8,6,24,0.083,1.0,2.0,7.0,4.0,1.0,1.0,3.0,,12.5,,
14,"Daffin, Josie",So,MB,5-6,11,0,11,6.0,9,4,18,0.278,1.0,,,1.0,,2.0,5.0,,13.5,,
11,"Pierce, Rebecca",Jr,L/DS,5-3,10,0,10,7.0,0,0,2,0.0,1.0,,3.0,17.0,,1.0,,,1.0,,
21,"Ortiz, Malvis",Jr,OH,6-3,9,0,9,6.0,10,7,39,0.077,,,,3.0,5.0,3.0,1.0,,13.5,,
5,"Davis, Tamar",Jr,DS,5-3,7,0,7,6.0,0,1,5,-0.2,,1.0,,3.0,2.0,,,,1.0,,
4,"Biggs, Nina",So,RS,5-8,7,0,7,5.0,0,1,1,-1.0,1.0,,,3.0,,,,,,,
12,"Moton, Germashia",So,DS,5-9,4,0,4,4.0,0,0,2,0.0,,,,,,,,,,,
23,"Pereira, Byanca",Jr,RS,5-3,1,0,1,1.0,0,0,0,,,,,,,,,1.0,,,
-,TEAM,-,-,-,-,-,52,25.0,0,0,0,,4.0,,,,42.0,,,,,,
-,Totals,-,-,-,-,-,113,,1230,599,3650,0.17300000000000001,1145.0,149.0,122.0,1620.0,193.0,83.0,335.0,55.0,1629.5,39.0,
-,Opponent Totals,-,-,-,-,-,113,,1437,686,3967,0.18899999999999997,1323.0,195.0,208.0,1567.0,148.0,55.0,268.0,30.0,1821.0,42.0,
