Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
3,"Long, Mackenzie",Sr,DS,5-4,105,0,105,28.0,,4,1,8,0.375,99.0,23.0,30.0,386.0,39.0,,,,27.0,,
15,"Leverenz, Lauren",Sr,MB,6-0,105,0,105,28.0,28.0,282,94,550,0.342,22.0,35.0,52.0,73.0,,8.0,71.0,11.0,360.5,3.0,
14,"Mershon, Lauren",So,MB,6-3,103,0,103,28.0,28.0,142,69,369,0.198,5.0,,,16.0,1.0,8.0,69.0,12.0,184.5,,
10,"Gallop, Sien",So,OH,5-10,100,0,100,28.0,28.0,299,191,857,0.126,25.0,67.0,87.0,234.0,41.0,1.0,25.0,21.0,379.5,3.0,
4,"Taylor, Maya",Fr,OH,5-11,99,0,99,26.0,22.0,347,133,875,0.245,14.0,5.0,17.0,106.0,25.0,1.0,30.0,8.0,368.0,1.0,
17,"Cordia, Kennedy",Fr,S,5-6,93,0,93,28.0,11.0,22,5,70,0.243,667.0,15.0,29.0,201.0,,,5.0,2.0,39.5,8.0,
12,"Phillips, Juliana",Fr,MB,6-4,77,0,77,24.0,4.0,63,22,188,0.218,2.0,5.0,9.0,13.0,,1.0,28.0,3.0,83.0,,
7,"Rivas, Camila",Jr,S,5-9,69,0,69,23.0,17.0,47,13,108,0.315,427.0,4.0,5.0,68.0,1.0,,14.0,1.0,58.0,7.0,
8,"Haak, Katia",Jr,OH,5-10,57,0,57,15.0,5.0,8,5,28,0.107,8.0,,9.0,64.0,24.0,,1.0,,8.5,,
9,"Oh, Maddie",Sr,DS,5-6,48,0,48,17.0,5.0,0,0,0,,4.0,8.0,16.0,52.0,4.0,,,,8.0,,
5,"Loftus, Monica",Jr,OH,6-0,47,0,47,17.0,7.0,49,21,119,0.235,1.0,,1.0,10.0,,,22.0,7.0,60.0,,
11,"Rosburg, Margaret",Fr,DS,5-9,43,0,43,18.0,,0,0,1,0.0,1.0,5.0,5.0,17.0,5.0,,,,5.0,,
13,"Okoro, Nenye",Sr,OH,5-9,37,0,37,11.0,11.0,114,89,361,0.069,14.0,3.0,26.0,95.0,6.0,1.0,19.0,1.0,127.5,,
2,"Backus, Jenny",Jr,DS,5-4,18,0,18,12.0,1.0,0,0,0,,,,3.0,16.0,,,,,,,
1,"Day, Emily",Fr,DS,5-3,10,0,10,7.0,,0,0,0,,,,,7.0,,,,,,,
-,TEAM,-,-,-,-,-,12,9.0,,0,0,0,,,,,,12.0,,,,,,
-,Totals,-,-,-,-,-,105,,,1377,643,3534,0.20800000000000002,1289.0,170.0,289.0,1358.0,158.0,20.0,284.0,66.0,1709.0,22.0,
-,Opponent Totals,-,-,-,-,-,105,,,1176,478,3217,0.217,1103.0,158.0,228.0,1294.0,170.0,33.0,418.0,64.0,1576.0,37.0,
