,Date,TeamA,TeamB,Result,S,Team A Kills,Team A Errors,Team A Total Attacks,Team A Hit Pct,Team A Assists,Team A Aces,Team A SErr,Team A Digs,Team A RErr,Team A Block Solos,Team A Block Assists,Team A BErr,Team A PTS,Team B Kills,Team B Errors,Team B Total Attacks,Team B Hit Pct,Team B Assists,Team B Aces,Team B SErr,Team B Digs,Team B RErr,Team B Block Solos,Team B Block Assists,Team B BErr,Team B PTS
0,8302019,A&M-Corpus Christi,UT Arlington,0,5.0,58,22,156,0.231,45,10,10,67,5,2,4,0,72.0,54,15,155,0.252,47,5,3,61,10,2,20,2,71.0
1,8302019,A&M-Corpus Christi,Houston,1,3.0,49,16,112,0.295,48,4,6,47,7,0,2,0,0.0,37,19,111,0.162,31,7,4,33,4,2,2,0,0.0
2,8312019,A&M-Corpus Christi,Arizona St.,0,4.0,46,17,147,0.197,37,2,5,64,12,1,0,0,49.0,52,14,146,0.26,43,12,8,65,3,5,0,0,69.0
3,9042019,A&M-Corpus Christi,UTRGV,0,5.0,61,26,167,0.21,57,6,9,60,7,4,6,0,74.0,58,19,146,0.267,56,7,8,61,6,7,20,0,82.0
4,9062019,A&M-Corpus Christi,New Mexico,1,3.0,48,12,104,0.34600000000000003,41,2,7,51,4,0,6,0,53.0,31,14,102,0.16699999999999998,28,4,5,38,2,1,4,4,38.0
5,9062019,A&M-Corpus Christi,UTEP,0,5.0,49,29,135,0.14800000000000002,45,5,7,49,11,2,4,1,58.0,47,24,126,0.183,42,11,7,50,5,8,10,3,71.0
6,9072019,A&M-Corpus Christi,Coppin St.,1,4.0,52,19,123,0.268,52,13,10,59,1,1,8,1,70.0,36,13,119,0.193,33,1,14,45,13,1,4,0,40.0
7,9122019,A&M-Corpus Christi,Southeastern La.,1,5.0,53,23,157,0.191,51,14,10,69,8,3,10,1,75.0,58,25,166,0.199,47,8,10,74,14,0,4,5,68.0
8,9132019,A&M-Corpus Christi,Jackson St.,1,4.0,46,27,139,0.13699999999999998,41,8,11,68,2,3,6,0,60.0,38,24,141,0.099,37,2,9,58,8,5,6,4,48.0
9,9172019,A&M-Corpus Christi,UTRGV,1,3.0,47,14,111,0.297,44,6,10,51,2,1,0,1,54.0,38,12,102,0.255,36,2,7,41,6,4,6,1,47.0
10,9202019,A&M-Corpus Christi,Purdue,0,3.0,22,11,84,0.131,18,0,7,27,6,0,2,0,23.0,49,3,84,0.5479999999999999,45,6,11,40,0,1,14,0,63.0
11,9202019,A&M-Corpus Christi,Eastern Mich.,0,3.0,38,19,127,0.15,35,4,5,61,4,0,10,1,47.0,45,10,121,0.289,42,4,5,60,4,0,16,0,57.0
12,9212019,A&M-Corpus Christi,Murray St.,1,4.0,53,10,114,0.377,50,12,14,46,10,1,6,1,69.0,55,18,133,0.278,48,10,16,35,12,0,0,0,65.0
13,9262019,A&M-Corpus Christi,SFA,0,3.0,39,19,134,0.149,39,1,13,51,3,0,0,1,40.0,37,8,103,0.282,34,3,5,61,1,3,8,3,47.0
14,9282019,A&M-Corpus Christi,Abilene Christian,0,4.0,59,24,161,0.217,55,4,10,84,6,1,4,5,66.0,52,19,158,0.209,48,6,9,65,4,0,18,0,67.0
15,10032019,A&M-Corpus Christi,Northwestern St.,0,4.0,58,18,175,0.229,54,7,3,70,11,1,6,0,69.0,58,13,158,0.285,56,11,8,69,7,1,10,0,75.0
16,10052019,A&M-Corpus Christi,Central Ark.,1,4.0,51,19,135,0.237,46,7,10,45,3,2,14,0,67.0,55,24,141,0.22,53,3,11,52,7,1,8,0,63.0
17,10082019,A&M-Corpus Christi,UIW,1,3.0,43,11,87,0.368,43,8,5,35,1,1,6,0,55.0,33,11,80,0.275,32,1,8,25,8,4,6,1,41.0
18,10172019,A&M-Corpus Christi,Sam Houston St.,1,4.0,63,20,147,0.293,61,3,3,63,3,1,12,1,73.0,54,18,142,0.254,53,3,7,56,3,1,16,3,66.0
19,10192019,A&M-Corpus Christi,Houston Baptist,1,4.0,57,17,181,0.221,55,3,3,97,5,1,8,1,65.0,59,26,189,0.175,55,5,11,88,3,1,12,1,71.0
20,10242019,A&M-Corpus Christi,Nicholls St.,1,5.0,62,19,157,0.274,55,8,10,70,6,1,8,3,75.0,59,14,147,0.306,55,6,12,62,8,2,18,1,76.0
21,10262019,A&M-Corpus Christi,New Orleans,1,3.0,29,12,92,0.185,29,10,7,38,6,1,2,1,41.0,40,24,105,0.152,39,6,9,43,10,1,8,2,51.0
22,10312019,A&M-Corpus Christi,McNeese,1,3.0,39,11,99,0.28300000000000003,39,6,6,49,6,2,8,4,51.0,37,18,110,0.173,36,6,11,43,6,5,2,2,49.0
23,11022019,A&M-Corpus Christi,Lamar University,1,4.0,50,14,114,0.316,47,9,6,64,6,1,8,0,64.0,43,25,137,0.131,41,6,10,47,9,0,2,0,50.0
24,11072019,A&M-Corpus Christi,SFA,0,5.0,54,34,209,0.096,53,5,7,94,4,1,8,0,64.0,62,24,186,0.204,56,4,9,104,5,2,16,2,76.0
25,11092019,A&M-Corpus Christi,Abilene Christian,1,3.0,50,10,113,0.354,48,5,6,49,8,0,2,0,56.0,36,8,96,0.292,33,8,7,40,5,0,10,2,49.0
26,11142019,A&M-Corpus Christi,Northwestern St.,1,3.0,39,12,104,0.26,36,6,5,45,8,3,4,1,50.0,40,16,106,0.226,39,8,13,45,6,3,4,0,53.0
27,11162019,A&M-Corpus Christi,Central Ark.,0,4.0,59,20,151,0.258,58,4,9,63,6,1,14,1,71.0,62,23,156,0.25,61,6,8,65,4,2,12,6,76.0
28,11222019,A&M-Corpus Christi,Central Ark.,1,3.0,46,15,120,0.258,42,3,3,62,2,3,6,1,55.0,35,20,122,0.123,34,2,4,56,3,1,8,3,42.0
29,11232019,A&M-Corpus Christi,SFA,0,4.0,60,26,159,0.214,56,7,6,73,4,0,2,1,68.0,57,7,141,0.355,50,4,6,63,7,1,16,4,70.0
30,8302019,Abilene Christian,Omaha,0,3.0,23,15,93,0.086,21,1,4,36,10,0,2,0,0.0,44,14,101,0.297,40,10,9,49,1,1,2,0,0.0
31,8312019,Abilene Christian,Idaho St.,0,4.0,54,31,169,0.136,50,4,11,72,4,0,11,3,0.0,48,12,136,0.265,42,4,3,75,4,0,10,5,0.0
32,9072019,Abilene Christian,Rice,0,3.0,27,20,98,0.071,25,0,5,40,3,1,10,1,33.0,43,15,103,0.272,36,3,4,46,0,2,4,2,50.0
33,9082019,Abilene Christian,Prairie View,1,4.0,57,18,141,0.277,55,7,8,63,4,2,16,0,74.0,51,28,156,0.147,47,4,5,56,7,1,10,0,61.0
34,9122019,Abilene Christian,Cal St. Fullerton,0,3.0,34,19,119,0.126,31,4,6,46,3,1,10,0,44.0,46,14,113,0.28300000000000003,41,3,5,62,4,1,2,2,51.0
35,9132019,Abilene Christian,Prairie View,1,5.0,48,26,175,0.126,45,11,5,71,7,2,22,2,72.0,64,39,187,0.134,55,7,6,91,11,1,18,1,81.0
36,9142019,Abilene Christian,North Texas,0,3.0,33,9,113,0.212,31,4,6,46,3,0,18,0,46.0,53,17,129,0.279,51,3,3,64,4,1,6,1,60.0
37,9162019,Abilene Christian,Texas Tech,0,3.0,29,16,99,0.131,27,1,6,42,2,1,6,0,34.0,48,18,116,0.259,42,2,3,45,1,1,2,0,52.0
38,9262019,Abilene Christian,UIW,1,3.0,39,10,89,0.326,35,10,6,29,4,1,14,1,57.0,42,21,96,0.219,39,4,5,34,10,1,8,4,51.0
39,9282019,Abilene Christian,A&M-Corpus Christi,1,4.0,52,19,158,0.209,48,6,9,65,4,0,18,0,67.0,59,24,161,0.217,55,4,10,84,6,1,4,5,66.0
40,10032019,Abilene Christian,McNeese,0,3.0,33,18,115,0.13,29,1,8,58,7,1,14,3,42.0,41,16,128,0.195,40,7,12,56,1,0,10,1,53.0
41,10052019,Abilene Christian,Lamar University,0,4.0,54,18,119,0.303,52,3,5,49,13,0,30,0,72.0,59,26,150,0.22,56,13,6,47,3,2,12,0,80.0
42,10102019,Abilene Christian,Nicholls St.,0,4.0,54,22,154,0.208,51,1,9,73,6,6,4,0,63.0,60,20,162,0.247,56,6,8,70,1,5,0,0,71.0
43,10122019,Abilene Christian,SFA,0,3.0,28,13,100,0.15,26,2,7,36,3,0,6,3,33.0,49,7,93,0.452,42,3,6,55,2,2,10,3,59.0
44,10172019,Abilene Christian,Southeastern La.,0,4.0,43,21,142,0.155,41,7,5,59,3,2,6,2,55.0,61,19,152,0.276,58,3,12,69,7,1,6,0,68.0
45,10222019,Abilene Christian,New Orleans,1,3.0,35,10,102,0.245,30,6,4,55,2,1,9,1,46.5,33,25,123,0.065,29,2,8,52,6,0,8,1,39.0
46,10242019,Abilene Christian,Northwestern St.,0,3.0,27,13,91,0.154,26,1,5,28,2,0,8,1,32.0,53,12,98,0.418,48,2,5,44,1,1,2,0,57.0
47,10262019,Abilene Christian,Central Ark.,0,3.0,30,15,90,0.16699999999999998,26,2,4,33,5,0,11,2,37.5,50,11,104,0.375,44,5,4,43,2,1,10,0,61.0
48,10292019,Abilene Christian,Houston Baptist,0,3.0,31,19,97,0.124,30,1,5,34,4,1,8,1,37.0,46,15,99,0.313,40,4,6,42,1,0,8,2,54.0
49,11022019,Abilene Christian,Sam Houston St.,0,5.0,47,25,173,0.127,45,2,4,78,4,1,24,1,62.0,70,32,198,0.192,63,4,6,89,2,0,22,2,85.0
50,11072019,Abilene Christian,UIW,0,5.0,57,19,174,0.218,53,4,8,75,9,0,34,0,78.0,67,33,189,0.18,59,9,6,89,5,2,8,1,82.0
51,11092019,Abilene Christian,A&M-Corpus Christi,0,3.0,36,8,96,0.292,33,8,7,40,5,0,10,2,49.0,50,10,113,0.354,48,5,6,49,8,0,2,0,56.0
52,11142019,Abilene Christian,McNeese,1,3.0,43,13,111,0.27,42,4,3,63,1,3,8,2,54.0,40,18,127,0.173,37,1,10,53,4,2,8,0,47.0
53,11162019,Abilene Christian,Lamar University,1,5.0,57,19,149,0.255,53,6,2,55,2,0,18,2,72.0,71,31,171,0.234,66,2,8,63,6,1,8,0,78.0
54,8302019,Air Force,Navy,0,3.0,35,14,98,0.214,35,7,9,34,5,2,8,0,0.0,42,15,99,0.273,39,5,4,39,7,2,2,1,0.0
