 


  
  

NCAA Women's Volleyball
Division IAces Per Set
Through Games 12/21/2019


"Rank","Name","Team","Cl","Ht","Pos","S","Aces","Per Set"
"1","Sophia Cerino","Western Ky.","Sr.","5-9","RS","118","83","0.70"
"2","Mariena Hayden","UNLV","Jr.","6-0","OH","102","70","0.69"
"3","Olivia Wassner","American","Jr.","6-0","S","107","64","0.60"
"4","Maia Dvoracek","Cal Poly","Jr.","6-1","OH","110","64","0.58"
"5","Roi Wallace","Morgan St.","Sr.","5-9","S","114","66","0.58"
"6","Brigitta Petrenko","Coastal Caro.","Fr.","6-0","S","116","67","0.58"
"7","Ivana Blazevic","UMES","Sr.","6-1","DS","125","71","0.57"
"8","Lauren Chastang","Kennesaw St.","Jr.","5-11","OH","115","65","0.57"
"9","Emma Granger","Robert Morris","Jr.","6-4","MB","107","60","0.56"
"10","Francela Ulate","Binghamton","Jr.","5-10","OH","72","40","0.56"
"11","Logan Eggleston","Texas","So.","6-2","-","98","52","0.53"
"12","Julia Bergmann","Georgia Tech","Fr.","6-5","OH","123","64","0.52"
"13","Hannah Nelson","Canisius","So.","6-0","OH","116","57","0.49"
"14","Hannah Angeli","Bradley","Sr.","6-0","S","82","40","0.49"
"15","Hollann Hans","Texas A&M","Sr.","6-1","OH","119","58","0.49"
"16","Cheyenne Huskey","Texas St.","Sr.","6-2","OH","117","57","0.49"
"17","Chiara Bosetti","American","Jr.","5-7","OH","115","56","0.49"
"18","Brianna Lang","Coppin St.","So.","5-8","S","111","54","0.49"
"19","Emily Weigand","Akron","Jr.","5-10","S","103","50","0.49"
"20","Hope Werch","Marquette","Jr.","6-1","OH","119","57","0.48"
"21","Emma Reilly","Appalachian St.","Jr.","5-6","L/DS","116","55","0.47"
"22","Kennedy Cordia","Saint Louis","Jr.","5-6","S","112","53","0.47"
"23","Morgan Dewyer","Houston Baptist","Jr.","5-8","S","113","53","0.47"
"24","Stella Johnson","UMES","So.","5-5","L/DS","127","59","0.46"
"25","Sharlissa de Jesus","The Citadel","Jr.","5-9","OH","93","43","0.46"
"26","Emily Ramirez","UTSA","Sr.","5-8","DS","111","51","0.46"
"27","Hannah Flowers","Memphis","Jr.","6-2","RS","109","50","0.46"
"28","Bella Almanza","Harvard","So.","6-1","S","87","39","0.45"
"29","Vivian Donovan","Manhattan","So.","6-1","OH","86","38","0.44"
"30","Kylie Kuyava-Deberg","Missouri","Jr.","6-4","OH","111","49","0.44"
"31","Megan Anderson","Hartford","Jr.","5-11","S","105","46","0.44"
"32","Jasmal CRUZ","Delaware St.","---","-","-","99","43","0.43"
"33","Anilee Sher","Rider","So.","5-8","S","104","45","0.43"
"34","Julianna Askew","North Florida","Fr.","6-0","S","126","54","0.43"
"35","Lauren Robeck","UNC Greensboro","Sr.","6-1","MH","87","37","0.43"
"36","Rachel Ahrens","Pepperdine","So.","6-4","OPP","113","48","0.42"
"37","Madelyn Halteman","Fresno St.","Sr.","5-10","S","104","44","0.42"
"","Alexsa Parker","Saint Mary's (CA)","Sr.","5-8","S","104","44","0.42"
"39","Olivia Cunningham","ETSU","Fr.","5-11","OH","95","40","0.42"
"","Norene Iosia","Hawaii","Sr.","5-11","S","114","48","0.42"
"41","Carissa Barnes","A&M-Corpus Christi","Fr.","5-7","OH","117","48","0.41"
"","Lydia Bartalo","Denver","Jr.","5-10","OH","117","48","0.41"
"43","Jena Otec","Purdue","Jr.","5-10","DS","122","50","0.41"
"44","Michelle Shaffer","Santa Clara","So.","5-11","OH","123","50","0.41"
"","Lolo Weideman","South Dakota","So.","5-7","OH","123","50","0.41"
"46","Allena Heath","Campbell","Sr.","6-1","OH","106","43","0.41"
"47","Teddie Sauer","Wright St.","Jr.","6-0","MB","111","45","0.41"
"48","Izzy Ashburn","Wisconsin","Fr.","5-11","S","116","47","0.41"
"49","Iva Vujosevic","Georgetown","Sr.","5-11","OH","109","44","0.40"
"50","Paty Valle","George Washington","Sr.","6-4","MB","92","37","0.40"
"51","Manuela Nicolini","Fairfield","Sr.","5-9","S","108","43","0.40"
"","Kizzy Rodriguez","St. Francis Brooklyn","So.","5-4","L","108","43","0.40"
"53","Megan Kratzer","High Point","Fr.","6-2","OH","103","41","0.40"
"54","Sydney Lostumo","Marshall","Jr.","6-0","S","88","35","0.40"
"55","Jelena Novakovic","Virginia","Sr.","6-3","RS","106","42","0.40"
"56","Addie Barnes","Loyola Chicago","Fr.","5-11","OH","124","49","0.40"
"57","Jamie Peterson","Dayton","So.","6-4","OH","114","45","0.39"
"58","Madelyn Cole","Creighton","Sr.","5-10","S","107","42","0.39"
"59","Ashton Terrill","Northern Ky.","Jr.","5-8","L/DS","123","48","0.39"
"60","Allie Wright","Presbyterian","Jr.","6-1","MB","103","40","0.39"
"61","Erica Kostelac","Creighton","Jr.","6-2","OH","80","31","0.39"
"62","McKenna Miller","BYU","Sr.","6-1","OH","111","43","0.39"
"63","Ashley Downer","Gardner-Webb","Fr.","5-7","L/DS","62","24","0.39"
"64","Maria Yvett Garcia","Florida A&M","Sr.","6-1","OH","101","39","0.39"
"65","Sarah Davis","Sacramento St.","Sr.","5-10","OH","130","50","0.38"
"","Alyssa Pieh","N.C. Central","Fr.","5-7","L/DS","117","45","0.38"
"67","Jordan Thompson","Cincinnati","Sr.","6-4","OH","125","48","0.38"
"68","Paola Caten","Coppin St.","Fr.","5-11","OH","94","36","0.38"
"69","Katie Myers","Maryland","So.","6-2","MB","121","46","0.38"
"70","Kennedy Croft","Gonzaga","So.","5-10","OH","108","41","0.38"
"","Chasidy Sharpe","Wofford","Fr.","5-1","L","108","41","0.38"
"72","Kyndall Feather","Northern Colo.","So.","5-6","DS","132","50","0.38"
"73","Catie Cronister","Wofford","Sr.","5-10","OH","111","42","0.38"
"74","Maria Mallon","Cincinnati","So.","5-9","OH","119","45","0.38"
"75","Jamie Calandro","Fairfield","Sr.","5-7","DS","82","31","0.38"
"76","Samaret Caraballo","UTRGV","Jr.","5-10","L","114","43","0.38"
"77","Erica Di Maulo","St. John's (NY)","Sr.","6-0","S","117","44","0.38"
"78","Jacqueline Quade","Illinois","Sr.","6-2","OH","118","44","0.37"
"79","Wren Macaulay","New Hampshire","Fr.","5-9","S","102","38","0.37"
"80","Anett Nemeth","Coastal Caro.","So.","6-1","OPP","105","39","0.37"
"","Brooke Pehrson","Idaho St.","Sr.","6-3","MB","105","39","0.37"
"82","Natalie Mikels","New Mexico St.","Jr.","5-10","S","108","40","0.37"
"83","Alyssa Bert","Colorado St.","Fr.","5-10","DS","100","37","0.37"
"84","Allena Carmody","Robert Morris","Fr.","5-7","L/DS","103","38","0.37"
"85","Annie Ell","Rhode Island","Jr.","5-8","S","95","35","0.37"
"","Mikayla Shields","South Carolina","Sr.","6-0","RS","114","42","0.37"
"87","Ansley Rooks","UNC Asheville","Sr.","5-9","RS","90","33","0.37"
"88","Madison Jurgens","South Dakota","So.","5-9","S","123","45","0.37"
"89","Riley James","Bryant","Fr.","5-10","OH","104","38","0.37"
"90","Clare Delaplane","Villanova","So.","5-11","OH","85","31","0.36"
"91","Chardea Berthelot","Mississippi Val.","So.","5-9","MH","96","35","0.36"
"","Ilayda Nurkan","Florida A&M","Jr.","6-1","S","96","35","0.36"
"93","Laney Malloy","Southeast Mo. St.","Jr.","6-0","OH","129","47","0.36"
"94","Karolina Nova","LIU Brooklyn","Fr.","5-10","OH","99","36","0.36"
"95","Grace Zilbert","Portland","Fr.","5-8","L","105","38","0.36"
"96","Kate Blasingame","La.-Monroe","So.","5-10","OH","108","39","0.36"
"","Halley McKnight","Norfolk St.","Sr.","5-6","DS","72","26","0.36"
"98","Lily Barber","Cornell","Sr.","5-6","L","86","31","0.36"
"99","Hannah Harris","South Alabama","Jr.","6-0","OH","114","41","0.36"
"","Caitlyn Newton","Purdue","Jr.","6-1","OH","114","41","0.36"
