 


  
  

NCAA Women's Volleyball
Division IAces Per Set
Through Games 12/15/2018


"Rank","Name","S","W-L","Aces","Per Set"
"1","Denver","110","27-3","219","1.99"
"2","Alcorn","110","10-20","218","1.98"
"3","UNLV","130","22-12","251","1.93"
"4","Marquette","115","28-7","211","1.83"
"5","Georgetown","111","17-13","199","1.79"
"6","N.C. A&T","93","14-12","163","1.75"
"7","LMU (CA)","112","21-10","195","1.74"
"","Manhattan","112","5-27","195","1.74"
"9","UMES","92","10-16","160","1.74"
"10","Creighton","118","29-5","204","1.73"
"11","Weber St.","105","18-10","179","1.70"
"12","Fla. Atlantic","99","21-7","168","1.70"
"13","Radford","106","22-7","179","1.69"
"14","Hofstra","127","25-8","214","1.69"
"15","Sacramento St.","120","16-16","201","1.68"
"16","San Jose St.","103","16-11","172","1.67"
"17","Morgan St.","102","13-15","168","1.65"
"18","Illinois","132","32-4","216","1.64"
"19","Saint Mary's (CA)","114","19-10","186","1.63"
"20","Colorado St.","112","23-8","182","1.63"
"21","Hampton","103","8-19","167","1.62"
"22","Nebraska","133","29-7","215","1.62"
"23","Washington","123","20-13","197","1.60"
"24","Houston Baptist","127","16-16","202","1.59"
"25","UC Santa Barbara","112","17-12","178","1.59"
"26","Pepperdine","111","22-9","175","1.58"
"27","Canisius","104","17-12","163","1.57"
"","High Point","104","21-10","163","1.57"
"29","Presbyterian","112","10-17","174","1.55"
"30","Holy Cross","107","8-21","166","1.55"
"31","Portland","124","20-13","192","1.55"
"32","South Carolina","112","20-10","173","1.54"
"33","Iona","102","20-8","157","1.54"
"34","South Dakota","111","21-10","170","1.53"
"35","Northern Ariz.","132","26-9","202","1.53"
"36","Norfolk St.","70","4-17","107","1.53"
"37","Miami (FL)","94","13-12","143","1.52"
"38","Jacksonville","106","5-24","161","1.52"
"39","Delaware St.","99","2-27","150","1.52"
"40","St. John's (NY)","138","23-12","209","1.51"
"41","Chattanooga","108","10-20","163","1.51"
"42","SFA","120","32-3","181","1.51"
"43","Winthrop","112","16-14","168","1.50"
"44","UT Martin","123","14-17","184","1.50"
"45","Western Ky.","117","20-10","175","1.50"
"46","Northern Colo.","111","15-14","166","1.50"
"47","UTSA","105","19-8","157","1.50"
"48","Yale","81","19-5","121","1.49"
"49","St. Francis Brooklyn","104","10-18","155","1.49"
"50","Kentucky","109","26-5","162","1.49"
"51","Sacred Heart","99","17-10","147","1.48"
"52","Appalachian St.","112","22-9","166","1.48"
"53","Alabama St.","142","23-18","210","1.48"
"54","Georgia","115","15-14","170","1.48"
"55","VCU","105","19-9","155","1.48"
"56","Navy","118","23-9","174","1.47"
"57","Robert Morris","116","11-18","171","1.47"
"58","Omaha","112","17-12","165","1.47"
"59","Northern Ky.","121","21-10","178","1.47"
"60","Rider","116","19-11","170","1.47"
"61","Florida","123","26-7","180","1.46"
"62","Columbia","87","10-14","127","1.46"
"63","Kennesaw St.","120","24-7","175","1.46"
"64","La Salle","107","18-12","156","1.46"
"65","Texas A&M","123","17-13","179","1.46"
"66","Michigan St.","121","17-16","176","1.45"
"67","Ohio","117","13-18","170","1.45"
"68","UNCW","104","15-12","151","1.45"
"69","Utah","128","19-14","185","1.45"
"70","Campbell","95","9-17","137","1.44"
"71","Pittsburgh","114","30-2","163","1.43"
"72","Boise St.","112","18-11","160","1.43"
"","George Mason","91","10-14","130","1.43"
"74","UTRGV","115","22-9","164","1.43"
"75","Air Force","128","17-15","182","1.42"
"76","Central Conn. St.","95","13-13","135","1.42"
"77","Houston","126","17-16","179","1.42"
"78","Missouri","119","24-8","169","1.42"
"79","Seattle U","112","11-19","159","1.42"
"","James Madison","112","22-7","159","1.42"
"81","Tulane","143","29-9","203","1.42"
"82","Ohio St.","122","12-20","173","1.42"
"","CSU Bakersfield","122","14-16","173","1.42"
"84","Southern U.","111","13-17","157","1.41"
"85","UAB","100","13-15","141","1.41"
"86","Akron","103","11-16","145","1.41"
"87","Louisville","116","22-9","163","1.41"
"88","BYU","107","31-2","150","1.40"
"89","Southern California","125","22-11","175","1.40"
"","Villanova","115","17-14","161","1.40"
"91","Pacific","113","13-16","158","1.40"
"92","Stanford","121","34-1","169","1.40"
"93","Troy","116","11-19","162","1.40"
"94","Miami (OH)","124","23-9","173","1.40"
"95","Savannah St.","81","3-21","113","1.40"
"96","Cincinnati","133","26-8","185","1.39"
"97","South Carolina St.","82","1-25","114","1.39"
"98","Wright St.","114","15-14","158","1.39"
"99","Ark.-Pine Bluff","99","8-21","137","1.38"
"100","Grand Canyon","107","11-17","148","1.38"
"101","UC Irvine","105","16-13","145","1.38"
"102","Central Ark.","121","26-7","167","1.38"
"","New Orleans","121","12-19","167","1.38"
"104","New Mexico St.","124","24-8","171","1.38"
"105","Bowling Green","114","19-12","157","1.38"
"106","UIC","118","18-13","162","1.37"
"107","Washington St.","130","23-10","178","1.37"
"108","Maryland","114","18-14","156","1.37"
"109","Notre Dame","106","16-12","145","1.37"
"110","Marist","115","14-15","157","1.37"
"111","Davidson","87","12-13","118","1.36"
"112","Bradley","127","24-9","172","1.35"
"113","Nicholls St.","100","3-26","135","1.35"
"114","Arkansas St.","126","19-14","170","1.35"
"115","Southeast Mo. St.","112","16-14","151","1.35"
"116","TCU","102","15-12","137","1.34"
"117","Wofford","111","14-16","149","1.34"
"118","Alabama A&M","129","22-16","173","1.34"
"119","San Francisco","109","9-20","146","1.34"
"120","Samford","136","19-15","182","1.34"
"121","Saint Louis","98","8-20","131","1.34"
"122","UC Davis","107","16-12","143","1.34"
"123","Nevada","113","8-21","151","1.34"
"","Morehead St.","113","21-10","151","1.34"
"125","Lipscomb","108","18-12","144","1.33"
"","Harvard","90","11-12","120","1.33"
"127","Tennessee Tech","118","11-19","157","1.33"
"128","Liberty","116","15-17","154","1.33"
"129","Northwestern St.","101","12-15","134","1.33"
"130","Elon","105","13-15","139","1.32"
"131","Hawaii","102","18-9","135","1.32"
"132","UNC Asheville","100","16-12","132","1.32"
"133","Delaware","107","9-19","141","1.32"
"134","Purdue","130","24-9","171","1.32"
"","Fresno St.","130","22-11","171","1.32"
