 


  
  

NCAA Women's Volleyball
Division IAces Per Set
Through Games 12/19/2015


"Rank","Name","S","W-L","Aces","Per Set"
"1","UMES","103","22-7","204","1.98"
"2","Manhattan","127","20-14","242","1.91"
"3","Seattle U","107","18-11","202","1.89"
"4","Marist","118","21-10","221","1.87"
"5","New Orleans","126","19-16","228","1.81"
"6","Alcorn","107","12-22","191","1.79"
"7","Northern Ariz.","121","28-5","214","1.77"
"8","Niagara","110","13-17","192","1.75"
"9","New Hampshire","106","21-9","183","1.73"
"10","Murray St.","101","27-3","173","1.71"
"11","Northwestern St.","106","7-22","179","1.69"
"12","American","116","28-7","195","1.68"
"13","Mercer","112","10-19","188","1.68"
"14","Sacred Heart","120","15-14","201","1.68"
"15","Navy","109","9-20","182","1.67"
"16","Sacramento St.","122","26-7","203","1.66"
"17","Gardner-Webb","119","9-22","198","1.66"
"18","La.-Monroe","111","14-18","184","1.66"
"19","Lehigh","111","19-13","182","1.64"
"20","DePaul","122","16-15","197","1.61"
"21","Idaho St.","118","23-10","189","1.60"
"22","Nevada","107","12-18","171","1.60"
"23","Belmont","122","17-15","192","1.57"
"24","James Madison","112","22-8","176","1.57"
"","ETSU","112","19-12","176","1.57"
"26","La Salle","111","6-25","174","1.57"
"27","Santa Clara","113","22-9","176","1.56"
"28","Campbell","112","14-17","174","1.55"
"29","Youngstown St.","114","10-21","177","1.55"
"30","Nicholls St.","100","9-19","155","1.55"
"31","Villanova","122","25-9","189","1.55"
"32","LIU Brooklyn","97","14-14","150","1.55"
"33","Saint Louis","120","22-10","185","1.54"
"34","Lafayette","98","11-16","151","1.54"
"35","A&M-Corpus Christi","126","31-5","194","1.54"
"36","Southern California","130","33-3","200","1.54"
"","Central Ark.","104","16-13","160","1.54"
"38","St. Francis Brooklyn","106","7-23","163","1.54"
"39","UMBC","97","12-14","149","1.54"
"40","Oral Roberts","118","14-16","181","1.53"
"41","NC State","119","16-16","182","1.53"
"42","Charlotte","99","8-19","149","1.51"
"43","Winthrop","122","14-18","182","1.49"
"44","Akron","111","8-21","165","1.49"
"45","Iowa St.","107","19-11","159","1.49"
"46","Coastal Caro.","102","25-5","151","1.48"
"47","Ole Miss","125","22-11","185","1.48"
"48","Tennessee St.","118","16-14","174","1.47"
"49","Yale","95","15-9","140","1.47"
"50","Canisius","112","11-19","165","1.47"
"51","Towson","125","26-6","184","1.47"
"52","Samford","98","15-12","144","1.47"
"53","Ohio","117","25-8","171","1.46"
"54","Hawaii","109","29-2","159","1.46"
"55","Valparaiso","127","27-8","185","1.46"
"56","Stony Brook","114","12-19","166","1.46"
"57","Maryland","122","15-19","177","1.45"
"58","Cal Poly","100","19-8","145","1.45"
"59","Iona","114","10-20","165","1.45"
"60","Tennessee Tech","120","10-21","172","1.43"
"61","USC Upstate","112","15-15","160","1.43"
"62","UTSA","122","24-9","174","1.43"
"63","UAB","118","9-23","168","1.42"
"64","Mississippi St.","111","17-15","158","1.42"
"65","Washington","116","31-3","165","1.42"
"66","Cornell","95","6-18","135","1.42"
"67","Duquesne","113","14-15","160","1.42"
"68","Portland St.","104","9-19","147","1.41"
"69","Wofford","127","16-18","179","1.41"
"70","Chattanooga","121","26-6","170","1.40"
"71","UC Santa Barbara","99","7-20","139","1.40"
"72","UTRGV","107","12-19","150","1.40"
"73","Providence","112","10-22","157","1.40"
"74","Dayton","123","27-6","172","1.40"
"75","Utah Valley","101","14-14","141","1.40"
"76","Miami (FL)","119","21-10","166","1.39"
"77","Boise St.","109","23-7","152","1.39"
"78","High Point","118","21-10","164","1.39"
"79","Texas St.","111","19-12","154","1.39"
"80","Pacific","113","17-13","156","1.38"
"81","Morgan St.","100","13-15","138","1.38"
"82","Howard","116","18-14","160","1.38"
"83","Norfolk St.","90","4-21","124","1.38"
"84","Rider","130","16-17","179","1.38"
"85","Missouri","128","27-6","176","1.38"
"86","Holy Cross","107","7-22","147","1.37"
"87","Virginia","116","18-13","159","1.37"
"88","Houston","123","19-13","168","1.37"
"89","Rhode Island","118","20-9","161","1.36"
"90","Indiana St.","132","17-16","180","1.36"
"91","San Francisco","108","17-14","147","1.36"
"92","UC Davis","114","15-15","155","1.36"
"","Washington St.","114","16-16","155","1.36"
"94","Lamar University","112","14-16","152","1.36"
"95","Georgetown","116","10-21","157","1.35"
"96","Memphis","122","19-14","164","1.34"
"97","Alabama","126","17-15","169","1.34"
"98","William & Mary","115","10-20","154","1.34"
"99","Weber St.","101","6-22","135","1.34"
"100","Bryant","124","19-14","165","1.33"
"101","VCU","118","14-17","157","1.33"
"102","San Jose St.","115","13-18","153","1.33"
"103","FIU","104","15-13","138","1.33"
"104","Albany (NY)","98","17-9","130","1.33"
"105","Indiana","116","16-16","153","1.32"
"106","Kansas","113","30-3","149","1.32"
"107","Air Force","126","12-21","166","1.32"
"108","Tulsa","127","15-17","167","1.31"
"109","Notre Dame","121","7-25","159","1.31"
"110","Morehead St.","118","10-21","155","1.31"
"111","Kent St.","115","20-10","151","1.31"
"112","Kentucky","112","21-10","147","1.31"
"113","UIC","117","12-19","153","1.31"
"114","Fla. Atlantic","101","18-11","132","1.31"
"115","Northern Ill.","105","19-11","137","1.30"
"116","Little Rock","102","14-14","133","1.30"
"117","Fordham","112","8-23","146","1.30"
"118","BYU","113","28-4","147","1.30"
"119","Denver","128","27-8","166","1.30"
"120","Oakland","118","18-13","153","1.30"
"121","Austin Peay","120","10-22","155","1.29"
"122","South Fla.","116","11-21","149","1.28"
"123","Georgia St.","102","7-19","131","1.28"
"124","Kennesaw St.","103","19-9","132","1.28"
"125","Portland","114","16-15","146","1.28"
"126","Loyola Chicago","118","20-12","151","1.28"
"127","NJIT","105","6-25","134","1.28"
"128","Sam Houston St.","116","14-18","148","1.28"
"129","Omaha","124","19-13","158","1.27"
"130","Fairfield","117","21-10","149","1.27"
"","Central Mich.","117","11-18","149","1.27"
"132","Xavier","118","18-12","150","1.27"
"133","UC Riverside","107","10-19","136","1.27"
"134","Houston Baptist","126","17-17","160","1.27"
"135","Eastern Ill.","130","16-15","165","1.27"
