 


  
  

NCAA Women's Volleyball
Division IAces Per Set
Through Games 12/15/2018


"Rank","Name","Team","Cl","Ht","Pos","S","Aces","Per Set"
"1","Mariena Hayden","UNLV","So.","6-0","OH","127","114","0.90"
"2","Aubrey Ezell","South Carolina","Sr.","5-8","L/DS","112","75","0.67"
"3","Fiapaipai Iosia","Alcorn","So.","5-7","L/DS","109","72","0.66"
"4","Regan Wright","Holy Cross","Fr.","5-11","OH","98","55","0.56"
"5","Sandra Lozanova","Manhattan","Sr.","5-11","OH","79","44","0.56"
"6","Lydia Bartalo","Denver","So.","5-10","OH","110","60","0.55"
"7","Hollann Hans","Texas A&M","Jr.","6-1","OH","120","64","0.53"
"8","Kylie Kuyava-Deberg","Missouri","So.","6-4","OH","119","59","0.50"
"9","Emma Granger","Robert Morris","So.","6-4","MB","109","53","0.49"
"10","Ashlyn Power","Weber St.","So.","5-8","S","105","51","0.49"
"11","Hope Werch","Marquette","So.","6-1","OH","115","55","0.48"
"12","Luiza Andrade","San Jose St.","Sr.","5-5","L","103","49","0.48"
"13","Emma Henderson","Central Conn. St.","So.","5-10","OH","93","44","0.47"
"14","Katie Myers","Maryland","Fr.","6-2","MB","114","53","0.46"
"15","Haley Kleespies","Radford","Sr.","5-8","S","106","49","0.46"
"16","Brenna McIlroy","Auburn","Sr.","5-11","OH","104","48","0.46"
"17","Skyler Takeda","Sacramento St.","Sr.","5-9","DS","120","55","0.46"
"18","Abby Marjama","UC Irvine","Fr.","6-0","OH","105","48","0.46"
"19","Emily Weigand","Akron","So.","5-10","S","103","47","0.46"
"20","Morgan Hughes","Boise St.","Sr.","5-10","MB","112","51","0.46"
"21","Jaime Kosiorek","Ohio","Sr.","6-0","OH","117","53","0.45"
"22","Anilee Sher","Rider","Fr.","5-8","S","109","49","0.45"
"23","Megann Delgado","Hampton","Jr.","6-2","RS","103","46","0.45"
"24","Kaylie McHugh","Tulane","Jr.","5-6","L","142","63","0.44"
"25","Alexsa Parker","Saint Mary's (CA)","Jr.","5-8","S","114","50","0.44"
"26","Molly Livingston","High Point","Sr.","6-2","MB","101","44","0.44"
"","Massiel Matos","Fla. Atlantic","Jr.","6-0","OH","101","44","0.44"
"28","Catie Cronister","Wofford","Jr.","5-10","OH","111","48","0.43"
"29","Madelyn Cole","Creighton","Jr.","5-10","S","118","51","0.43"
"30","Amber Seaman","Ball St.","Jr.","5-11","S","119","51","0.43"
"31","Lizzie Stephens","Ohio","Jr.","6-0","OH","117","50","0.43"
"32","Ashlynn Dunbar","San Diego St.","Jr.","6-0","OH","115","49","0.43"
"33","Lucia Babic","UMES","Sr.","5-10","OH","92","39","0.42"
"34","Kat Miller","Quinnipiac","Sr.","5-11","RS","112","47","0.42"
