Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
1,"Ward, Jaclyn",Sr,S,5-7,108,,108,30.0,30.0,64,29,221,0.158,938.0,12.0,26.0,236.0,,2.0,43.0,5.0,99.5,26.0,,
5,"Cunningham, Taylor",Sr,MB,5-11,108,,108,30.0,30.0,422,111,1044,0.298,22.0,15.0,15.0,356.0,38.0,11.0,116.0,8.0,506.0,2.0,1.0,
16,"Wallace, Madison",Sr,OH,6-1,107,,107,30.0,7.0,32,30,115,0.017,48.0,42.0,42.0,524.0,24.0,3.0,11.0,1.0,82.5,1.0,,
11,"Miller, Addison",Jr,L/DS,5-9,107,,107,30.0,18.0,1,1,14,0.0,43.0,14.0,15.0,287.0,9.0,,1.0,,15.5,,,
4,"Chausse, Breanne",Fr,OH,5-9,106,,106,30.0,19.0,266,121,683,0.212,3.0,,,34.0,1.0,8.0,48.0,4.0,298.0,1.0,,
9,"Lewis, Ashley",So,OH,6-0,92,,92,28.0,20.0,154,81,568,0.129,8.0,21.0,23.0,108.0,3.0,7.0,40.0,5.0,202.0,1.0,,
15,"Gooch, Amanda",Jr,MB,5-10,88,,88,28.0,14.0,117,57,378,0.159,8.0,5.0,7.0,43.0,,2.0,40.0,2.0,144.0,1.0,,
10,"Sheaff, Caroline",So,OH,6-2,83,,83,27.0,18.0,165,70,497,0.191,4.0,5.0,8.0,45.0,,5.0,30.0,3.0,190.0,,,
6,"Kiley, Jordan",So,DS,6-0,74,,74,27.0,15.0,84,41,338,0.127,3.0,,1.0,26.0,,6.0,23.0,4.0,101.5,,,
2,"Traylor, Ashleigh",Jr,DS,5-8,74,,74,27.0,7.0,10,13,47,-0.064,13.0,3.0,5.0,122.0,8.0,1.0,1.0,1.0,14.5,,,
3,"Martin, Amy",So,OH,5-8,68,,68,26.0,,0,0,4,0.0,8.0,4.0,18.0,53.0,,,,,4.0,,,
7,"Miles, Madilyn",So,S,5-10,48,,48,20.0,1.0,3,1,10,0.2,150.0,2.0,5.0,66.0,1.0,,1.0,,5.5,10.0,,
12,"Smith, Elise",Fr,OH,6-1,33,,33,12.0,1.0,39,19,104,0.192,,,,9.0,,1.0,25.0,2.0,52.5,,,
8,"Littlefield, Courtney",So,MB,6-3,12,,12,9.0,,4,4,15,0.0,,,,,,2.0,5.0,1.0,8.5,,,
-,TEAM,-,-,-,-,-,39,19.0,,0,0,0,,6.0,,,,10.0,,,,,,,
-,Totals,-,-,-,-,-,108,,,1361,578,4038,0.19399999999999998,1254.0,123.0,165.0,1909.0,94.0,48.0,384.0,36.0,1724.0,42.0,,
-,Opponent Totals,-,-,-,-,-,108,,,1307,654,4186,0.156,1235.0,94.0,203.0,1831.0,124.0,58.0,403.0,51.0,1660.5,66.0,,
