Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
18,"Moore, Rachel",Sr,OH,6-0,114,,114,31.0,31.0,308,119,843,0.22399999999999998,20.0,23.0,43.0,286.0,11.0,4.0,65.0,7.0,367.5,1.0,,
4,"Savadove, Elyse",Fr,MH,6-2,114,,114,31.0,1.0,232,108,815,0.152,5.0,,,60.0,11.0,9.0,30.0,3.0,256.0,,,
25,"Pardo, Mariah",Jr,S,5-9,114,,114,31.0,31.0,50,13,176,0.21,985.0,17.0,30.0,281.0,,,17.0,1.0,75.5,16.0,,
1,"Horsfall, Taylor",Jr,L/DS,5-8,114,,114,31.0,1.0,9,4,43,0.11599999999999999,130.0,21.0,54.0,640.0,16.0,,,,30.0,2.0,,
16,"Cook, Callie",So,MB,6-2,113,,113,31.0,30.0,227,69,502,0.315,5.0,,6.0,45.0,2.0,20.0,104.0,16.0,299.0,,,
2,"Thorson, Emily",Sr,OH,6-2,113,,113,31.0,30.0,370,135,1357,0.17300000000000001,19.0,33.0,52.0,263.0,44.0,19.0,39.0,6.0,441.5,,,
3,"Hembree, Maggie",So,MB,6-4,97,,97,29.0,24.0,169,56,392,0.28800000000000003,3.0,1.0,5.0,26.0,2.0,12.0,51.0,21.0,207.5,1.0,,
23,"Flora, Maddie",Fr,L/DS,5-2,96,,96,26.0,24.0,0,2,4,-0.5,18.0,14.0,31.0,220.0,10.0,,,,14.0,1.0,,
8,"Hubbard, Emily",So,OH,6-0,93,,93,30.0,5.0,17,9,84,0.095,3.0,13.0,29.0,61.0,9.0,2.0,,,32.0,,,
5,"Overmyer, Hannah",Fr,S,5-10,50,,50,23.0,4.0,23,16,94,0.07400000000000001,2.0,1.0,12.0,36.0,4.0,2.0,9.0,2.0,30.5,2.0,,
15,"Rhoder, Maddie",Jr,MB,6-0,48,,48,23.0,5.0,28,14,95,0.147,3.0,,1.0,15.0,,3.0,12.0,2.0,37.0,,,
13,"Ledyard, Lindsey",So,S,5-8,44,,44,18.0,,2,0,4,0.5,131.0,2.0,4.0,67.0,1.0,,1.0,,4.5,6.0,,
24,"Wolff, Leslie",Fr,L/DS,5-3,3,,3,3.0,,0,0,0,,,,,,,,,,,,,
11,"Isenberg, Lauren",Fr,OH,5-10,1,,1,1.0,,0,0,0,,,,,,,,,,,,,
-,TEAM,-,-,-,-,-,22,13.0,,0,0,0,,,,,,21.0,,,,,,,
-,Totals,-,-,-,-,-,114,,,1435,545,4409,0.20199999999999999,1324.0,125.0,267.0,2000.0,131.0,71.0,328.0,58.0,1795.0,29.0,,
-,Opponent Totals,-,-,-,-,-,114,,,1463,656,4402,0.183,1351.0,131.0,268.0,2081.0,125.0,43.0,292.0,57.0,1783.0,27.0,,
