Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
14,"LaFace, Alyssa",Sr,L/DS,5-7,126,,126,35.0,,2,2,15,0.0,109.0,17.0,30.0,725.0,25.0,,,,19.0,3.0,,
12,"Smith, Jordan",Sr,OH,5-10,126,,126,35.0,33.0,456,174,1293,0.218,19.0,25.0,45.0,246.0,49.0,7.0,38.0,7.0,507.0,,,
3,"Rajewski, Mallory",Sr,S,5-10,125,,125,34.0,30.0,68,16,172,0.302,965.0,18.0,23.0,333.0,,1.0,18.0,6.0,96.0,13.0,,
8,"Taylor, Riley",Jr,S,5-11,123,,123,34.0,12.0,14,6,34,0.235,507.0,39.0,55.0,261.0,,,4.0,1.0,55.0,11.0,,
15,"Hamby, Ariel",Jr,RS,6-2,123,,123,35.0,10.0,225,79,586,0.249,2.0,,,37.0,,2.0,68.0,10.0,261.0,,,
13,"Haut, Cassie",Jr,RS,6-2,122,,122,33.0,33.0,392,103,769,0.376,9.0,16.0,20.0,56.0,1.0,25.0,93.0,4.0,479.5,,,
1,"Strefling, Franki",So,OH,5-10,119,,119,35.0,34.0,232,113,848,0.14,32.0,17.0,31.0,347.0,34.0,3.0,27.0,5.0,265.5,1.0,,
2,"Houston, April",So,MB,5-11,116,,116,33.0,32.0,220,74,550,0.265,16.0,21.0,43.0,65.0,1.0,13.0,92.0,6.0,300.0,2.0,,
10,"Fisher, Julia",Fr,MB,6-2,111,,111,34.0,15.0,134,72,393,0.158,8.0,,2.0,46.0,1.0,3.0,50.0,1.0,162.0,1.0,,
6,"Schomer, Camille",Jr,L/DS,5-5,65,,65,26.0,5.0,0,0,0,,19.0,2.0,5.0,95.0,7.0,,,,2.0,,,
5,"Garis, Mackenzie",Fr,L/DS,5-7,57,,57,31.0,1.0,0,0,0,,3.0,8.0,6.0,25.0,4.0,,,,8.0,,,
9,"Fausze, Heidi",Fr,OH,5-11,33,,33,17.0,2.0,33,14,152,0.125,3.0,4.0,8.0,64.0,9.0,1.0,2.0,,39.0,,,
11,"Kearney, Abbey",Fr,MB,6-2,15,,15,8.0,3.0,15,5,38,0.263,,,,1.0,,,2.0,,16.0,,,
4,"Spalt, Carissa",So,OH,6-0,6,,6,5.0,,4,3,14,0.071,,,1.0,2.0,,,2.0,,5.0,,,
-,TEAM,-,-,-,-,-,23,14.0,,0,0,0,,,,,,13.0,,,,,,,
-,Totals,-,-,-,-,-,128,,,1795,661,4864,0.233,1692.0,167.0,269.0,2303.0,144.0,55.0,396.0,40.0,2215.0,31.0,,
-,Opponent Totals,-,-,-,-,-,128,,,1475,690,4735,0.166,1371.0,144.0,185.0,2109.0,167.0,49.0,365.0,54.0,1850.5,37.0,,
