Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
12,"Busswitz, Kate",So,MH,6-2,126,,126,34.0,34.0,270,86,699,0.263,21.0,17.0,31.0,77.0,,12.0,54.0,12.0,326.0,3.0,,
6,"Sorge, Kendyl",Sr,L/DS,5-7,126,,126,34.0,,1,3,5,-0.4,111.0,21.0,18.0,592.0,26.0,,,,22.0,1.0,,
14,"Koop, Rachel",Jr,S,5-9,126,,126,34.0,34.0,76,18,163,0.35600000000000004,1508.0,14.0,25.0,311.0,1.0,4.0,38.0,9.0,113.0,12.0,,
17,"Thomas, Piper",Sr,MH,6-1,126,,126,34.0,34.0,465,116,1015,0.344,22.0,,9.0,39.0,,26.0,72.0,13.0,527.0,3.0,,
16,"Seehase, Jaydlin",So,OH,6-1,126,,126,34.0,7.0,381,180,1128,0.17800000000000002,5.0,,,79.0,7.0,16.0,21.0,2.0,407.5,,,
13,"Rotto, Inga",Fr,MB,6-1,123,,123,34.0,32.0,112,36,283,0.26899999999999996,6.0,,,51.0,1.0,7.0,53.0,6.0,145.5,5.0,,
11,"Taylor, Karlie",Jr,OH,5-11,118,,118,32.0,32.0,563,258,1452,0.21,27.0,21.0,45.0,378.0,39.0,16.0,27.0,8.0,613.5,1.0,,
20,"Hedges, Taylor",So,DS,5-7,112,,112,34.0,2.0,3,0,3,1.0,43.0,18.0,18.0,293.0,17.0,,,,21.0,,,
18,"Staack, Abbi",Jr,DS,5-8,108,,108,34.0,27.0,1,2,16,-0.062,26.0,14.0,20.0,224.0,16.0,,,,15.0,1.0,,
8,"Petersen, Baylee",Fr,OH,5-8,94,,94,31.0,2.0,15,12,62,0.048,15.0,13.0,15.0,194.0,18.0,2.0,6.0,,33.0,,,
15,"Spies, Carly",Fr,MB,6-3,12,,12,9.0,,3,0,3,1.0,,,,3.0,,,4.0,1.0,5.0,,,
5,"Astor, Lexi",Sr,OH,5-10,10,,10,5.0,,0,0,0,,,1.0,1.0,4.0,,,,,1.0,,,
23,"Sindlinger, Jamie",Jr,OH,5-10,2,,2,2.0,,0,0,0,,,,1.0,,,,,,,,,
-,TEAM,-,-,-,-,-,10,8.0,,0,0,0,,,,,,7.0,,,,,,,
-,Totals,-,-,-,-,-,126,,,1890,711,4829,0.244,1784.0,119.0,183.0,2245.0,132.0,83.0,275.0,51.0,2229.5,26.0,,
-,Opponent Totals,-,-,-,-,-,126,,,1543,622,4699,0.196,1438.0,132.0,194.0,1916.0,119.0,32.0,374.0,60.0,1894.0,36.0,,
