Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
5,"Hinds, Sydney",Sr,L/DS,5-2,112,,112,31.0,7.0,0,2,7,-0.28600000000000003,32.0,21.0,12.0,207.0,22.0,,,,21.0,,,
13,"Spicer, Kara",So,MB,6-2,111,,111,31.0,31.0,317,111,703,0.293,7.0,37.0,44.0,77.0,1.0,28.0,81.0,15.0,422.5,,,
4,"Reilly, Emma",So,L/DS,5-6,111,,111,31.0,,8,0,21,0.381,111.0,40.0,45.0,500.0,15.0,,,,48.0,1.0,,
11,"Longley, Emma",Jr,OH,5-11,109,,109,31.0,31.0,406,156,1235,0.20199999999999999,16.0,12.0,24.0,216.0,22.0,12.0,17.0,2.0,438.5,,,
3,"Farthing, Sydney",Jr,L/DS,5-5,106,,106,30.0,9.0,0,2,2,-1.0,35.0,23.0,37.0,253.0,13.0,,,,23.0,,,
10,"Porter, Becky",Sr,S,6-1,104,,104,31.0,31.0,113,26,288,0.302,1126.0,22.0,19.0,274.0,,8.0,58.0,8.0,172.0,25.0,,
17,"McMath, Melissa",Jr,OH,5-11,77,,77,26.0,15.0,188,92,495,0.19399999999999998,1.0,,,16.0,,3.0,15.0,3.0,198.5,,,
2,"Wilform, Victoria",Fr,OH,5-8,73,,73,25.0,11.0,180,93,508,0.171,3.0,,,36.0,5.0,5.0,15.0,3.0,192.5,,,
15,"Kinsch, Grace",Fr,L/DS,5-5,69,,69,27.0,,0,0,1,0.0,4.0,7.0,7.0,65.0,4.0,,,,7.0,,,
7,"Kincaid, Anna",Fr,MH,6-1,65,,65,23.0,17.0,77,28,193,0.254,2.0,,2.0,14.0,1.0,6.0,24.0,7.0,95.0,,,
6,"Morrison, Grace",So,OH,5-10,51,,51,17.0,8.0,82,41,244,0.168,,,,12.0,,2.0,16.0,,92.0,,,
22,"Kohut, Lexi",So,OH,6-0,49,,49,17.0,12.0,111,57,313,0.17300000000000001,1.0,,1.0,21.0,6.0,5.0,6.0,4.0,119.0,,,
1,"Giger, Amya",Fr,MB,6-0,32,,32,12.0,8.0,43,19,100,0.24,,1.0,1.0,10.0,,,16.0,3.0,52.0,,,
24,"Armstrong, Daryn",Fr,MH,6-0,25,,25,9.0,5.0,11,8,42,0.071,,,,5.0,,1.0,9.0,2.0,16.5,,,
8,"Owens, Jana",Fr,S,5-9,20,,20,8.0,,8,2,29,0.207,102.0,3.0,9.0,36.0,1.0,1.0,2.0,,13.0,2.0,,
12,"Talbert, Jenna",Jr,OH,5-11,3,,3,3.0,,3,1,6,0.33299999999999996,,,,1.0,,,1.0,,3.5,,,
18,"Smith, Holli",Fr,L/DS,5-6,3,,3,3.0,,0,0,0,,,,1.0,,,,,,,,,
-,TEAM,-,-,-,-,-,8,7.0,,0,0,0,,,,,,5.0,,,,,,,
-,Totals,-,-,-,-,-,112,,,1547,638,4187,0.217,1440.0,166.0,202.0,1743.0,95.0,71.0,260.0,47.0,1914.0,28.0,,
-,Opponent Totals,-,-,-,-,-,112,,,1371,590,3917,0.19899999999999998,1299.0,95.0,196.0,1739.0,166.0,65.0,304.0,40.0,1683.0,27.0,,
