Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
17,"Conte, Manuela",So,OH,6-1,118,,118,31.0,17.0,120,56,428,0.15,84.0,41.0,20.0,516.0,30.0,1.0,15.0,1.0,169.5,2.0,,
4,"Borcic, Marija",Fr,S,5-10,118,,118,31.0,31.0,37,15,98,0.22399999999999998,999.0,36.0,23.0,335.0,,1.0,27.0,1.0,87.5,10.0,,
10,"Witt, Ali",Sr,MB,6-0,116,,116,31.0,31.0,196,72,483,0.257,9.0,10.0,12.0,94.0,,4.0,110.0,6.0,265.0,,,
15,"Lamb, Clara",Fr,OPP,6-3,114,,114,31.0,11.0,237,95,677,0.21,5.0,,,38.0,,4.0,78.0,11.0,280.0,1.0,,
20,"Minkova, Velina",Fr,L/DS,5-9,106,,106,31.0,14.0,1,2,3,-0.33299999999999996,41.0,15.0,22.0,315.0,35.0,,,,16.0,,,
1,"James, Kiera",Fr,OH,5-8,105,,105,31.0,21.0,354,141,989,0.215,2.0,1.0,3.0,67.0,3.0,3.0,42.0,12.0,379.0,,,
8,"Santiago, Paola",Fr,OH,5-9,104,,104,28.0,22.0,301,154,868,0.16899999999999998,17.0,16.0,39.0,273.0,23.0,3.0,42.0,4.0,341.0,1.0,,
16,"Ndekwe, Tatyana",Jr,MB,5-10,101,,101,29.0,27.0,173,67,433,0.245,3.0,,,9.0,1.0,4.0,102.0,5.0,228.0,2.0,,
5,"Salvato, Carla",Sr,L,5-5,90,,90,28.0,1.0,1,0,2,0.5,21.0,18.0,17.0,197.0,21.0,,,,19.0,,,
18,"Musante, Lauren",Fr,S,5-8,82,,82,26.0,1.0,3,1,5,0.4,330.0,18.0,17.0,122.0,,1.0,3.0,1.0,23.5,14.0,,
9,"Hicks, Alexandria",So,OPP,5-9,72,,72,27.0,6.0,95,61,335,0.10099999999999999,3.0,,,31.0,,2.0,41.0,3.0,117.5,1.0,,
23,"Kelly, Emily",Fr,OH,5-11,69,,69,27.0,1.0,29,19,102,0.098,1.0,6.0,11.0,45.0,,1.0,1.0,,36.5,,,
12,"Glover, Michelle",Fr,MB,5-10,33,,33,14.0,3.0,63,26,143,0.259,,1.0,2.0,9.0,,6.0,31.0,5.0,85.5,,,
-,TEAM,-,-,-,-,-,16,12.0,,0,0,0,,,,1.0,,9.0,,,,,,,
-,Totals,-,-,-,-,-,118,,,1610,709,4566,0.19699999999999998,1515.0,162.0,167.0,2051.0,122.0,30.0,492.0,49.0,2048.0,31.0,,
-,Opponent Totals,-,-,-,-,-,118,,,1481,678,4487,0.179,1389.0,122.0,174.0,1936.0,162.0,60.0,427.0,69.0,1876.5,33.0,,
