Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
6,"Gant, Jaelin",Jr,OH,5-1,128,,128,38.0,37.0,340,135,939,0.218,23.0,21.0,28.0,310.0,48.0,7.0,34.0,14.0,385.0,1.0,,
8,"Cox, Alana",Fr,OH,6-0,127,,127,38.0,37.0,332,140,885,0.217,18.0,23.0,26.0,136.0,26.0,8.0,67.0,42.0,396.5,1.0,,
17,"Brooks, Terra",Jr,OH,5-10,127,,127,38.0,36.0,354,173,1001,0.18100000000000002,37.0,33.0,27.0,315.0,53.0,8.0,38.0,5.0,414.0,2.0,,
15,"Evans, Megan",So,S,6-0,122,,122,38.0,26.0,94,19,245,0.306,1056.0,20.0,10.0,201.0,4.0,5.0,12.0,8.0,125.0,23.0,,
9,"Evans, Maya",So,MH,6-0,122,,122,37.0,35.0,249,57,520,0.369,4.0,29.0,11.0,61.0,3.0,14.0,69.0,6.0,326.5,2.0,,
10,"Jackson, Ashley",Fr,MH,6-0,101,,101,37.0,35.0,75,38,179,0.207,5.0,,,12.0,1.0,13.0,70.0,23.0,123.0,,,
20,"Sieck, Meredith",So,S,5-10,96,,96,37.0,11.0,6,0,23,0.261,172.0,13.0,12.0,135.0,9.0,2.0,,3.0,21.0,7.0,,
1,"Centinoz, Mine",Sr,L/DS,5-7,85,,85,25.0,,3,0,15,0.2,74.0,21.0,23.0,370.0,39.0,,,,24.0,3.0,,
5,"Battle, Maci",Fr,RS,5-5,53,,53,22.0,,2,1,13,0.077,11.0,8.0,12.0,148.0,21.0,,,,10.0,,,
11,"Pierce, Rebecca",Sr,L/DS,5-3,45,,45,26.0,,0,1,2,-0.5,1.0,2.0,9.0,56.0,8.0,,,,2.0,1.0,,
16,"Gray, Astonia",Jr,RS,5-10,42,,42,19.0,1.0,40,13,88,0.307,4.0,3.0,3.0,10.0,,10.0,16.0,2.0,61.0,,,
7,"Wilson, Valencia",Fr,MH,5-11,27,,27,17.0,,4,7,21,-0.14300000000000002,,,,7.0,,,15.0,1.0,11.5,,,
3,"Coleman, Mikel",Jr,OH,5-10,13,,13,10.0,1.0,12,9,35,0.086,2.0,,,7.0,6.0,,1.0,1.0,12.5,,,
14,"Daffin, Josie",Jr,MB,5-6,12,,12,9.0,2.0,3,4,15,-0.067,1.0,,,2.0,1.0,2.0,5.0,2.0,7.5,,,
2,"Smith, Paris",So,RS,5-5,10,,10,6.0,,4,9,33,-0.152,1.0,,2.0,6.0,3.0,,,1.0,4.0,,,
12,"Brennen, Alana",Fr,OH,5-10,3,,3,3.0,,1,1,3,0.0,,,,,,,,,1.0,,,
13,"Ezell, Ariana",Fr,OH,5-10,1,,1,1.0,1.0,0,0,0,,,,,,,,,,,,,
-,TEAM,-,-,-,-,-,45,25.0,,2,1,3,0.33299999999999996,6.0,,,1.0,17.0,1.0,,,3.0,,,
-,Totals,-,-,-,-,-,129,,,1521,608,4020,0.22699999999999998,1415.0,173.0,163.0,1777.0,239.0,70.0,327.0,108.0,1927.5,40.0,,
-,Opponent Totals,-,-,-,-,-,129,,,1609,761,4396,0.193,1483.0,239.0,237.0,1641.0,171.0,56.0,302.0,40.0,2055.0,57.0,,
