Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
3,"Bowman, Bella",Fr,L,5-7,102,,102,26.0,,2,0,6,0.33299999999999996,44.0,26.0,15.0,473.0,29.0,,,,28.0,,,
12,"Welch, Sydney",So,L,5-4,102,,102,26.0,20.0,2,0,7,0.28600000000000003,57.0,21.0,23.0,241.0,36.0,,,,23.0,1.0,,
2,"Lete, Alexis",Sr,MB,6-2,99,,99,26.0,26.0,182,49,465,0.28600000000000003,3.0,11.0,5.0,34.0,2.0,6.0,72.0,9.0,235.0,1.0,,
6,"Iott, Skylar",Jr,OH,6-0,99,,99,25.0,25.0,385,233,1216,0.125,21.0,21.0,45.0,261.0,56.0,3.0,35.0,4.0,426.5,3.0,,
4,"Clark, Kelsey",Sr,DS,5-11,98,,98,25.0,19.0,229,108,741,0.163,10.0,5.0,14.0,108.0,5.0,2.0,50.0,10.0,261.0,,,
14,"Lee, Jaimeson",Jr,S,5-10,92,,92,23.0,23.0,37,13,116,0.207,877.0,15.0,36.0,268.0,,8.0,61.0,10.0,90.5,21.0,,
16,"Young, Jordan",Jr,OH,6-0,88,,88,25.0,23.0,185,100,639,0.133,7.0,20.0,20.0,86.0,4.0,,40.0,1.0,225.0,,,
9,"Merryman, Heather",Fr,S,5-8,70,,70,21.0,4.0,0,1,4,-0.25,99.0,13.0,13.0,103.0,2.0,,1.0,1.0,13.5,,,
1,"Fauntlery, Callie",So,MB,6-2,68,,68,24.0,12.0,69,33,237,0.152,3.0,,,10.0,1.0,5.0,43.0,5.0,95.5,1.0,,
5,"Warren, Marianna",So,OH,6-1,44,,44,16.0,2.0,82,55,249,0.10800000000000001,3.0,,4.0,27.0,6.0,2.0,14.0,3.0,91.0,,,
11,"Dozie-Nnamah, Paz",Fr,MH,6-1,31,,31,9.0,2.0,33,38,117,-0.043,,,,12.0,5.0,1.0,7.0,5.0,37.5,1.0,,
18,"Dwyer, Noelle",Fr,OH,6-1,6,,6,4.0,,1,1,5,0.0,,,,2.0,,,,,1.0,,,
17,"De Carvalho Peixe, Daria",Fr,OH,6-3,4,,4,2.0,,4,0,8,0.5,,,,,,,1.0,,4.5,,,
-,TEAM,-,-,-,-,-,13,9.0,,0,0,0,,,,,,10.0,,,,,,,
-,Totals,-,-,-,-,-,102,,,1211,631,3810,0.152,1124.0,132.0,175.0,1625.0,156.0,27.0,324.0,48.0,1532.0,28.0,,
-,Opponent Totals,-,-,-,-,-,102,,,1271,528,3675,0.20199999999999999,1210.0,156.0,214.0,1746.0,131.0,31.0,367.0,44.0,1641.5,24.0,,
